Date,WisdomTree Global High Dividend_Open_average,WisdomTree Global High Dividend_Open_max,WisdomTree Global High Dividend_Open_min,WisdomTree Global High Dividend_Open_volatility,WisdomTree Global High Dividend_Open_change,WisdomTree Global High Dividend_High_average,WisdomTree Global High Dividend_High_max,WisdomTree Global High Dividend_High_min,WisdomTree Global High Dividend_High_volatility,WisdomTree Global High Dividend_High_change,WisdomTree Global High Dividend_Low_average,WisdomTree Global High Dividend_Low_max,WisdomTree Global High Dividend_Low_min,WisdomTree Global High Dividend_Low_volatility,WisdomTree Global High Dividend_Low_change,WisdomTree Global High Dividend_Close_average,WisdomTree Global High Dividend_Close_max,WisdomTree Global High Dividend_Close_min,WisdomTree Global High Dividend_Close_volatility,WisdomTree Global High Dividend_Close_change
2018-01-14,50.14,50.14,50.14,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-01-21,50.88,50.88,50.88,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-01-28,48.72,48.72,48.72,0.0,0.0,48.72,48.72,48.72,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2018-02-04,46.77,46.77,46.77,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2018-02-11,48.14,48.14,48.14,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-02-18,48.2,48.2,48.2,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-02-25,46.74,46.74,46.74,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2018-03-04,47.99,47.99,47.99,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-03-11,47.49,47.49,47.49,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2018-03-18,46.09,46.09,46.09,0.0,0.0,46.26,46.26,46.26,0.0,0.0,45.69,45.69,45.69,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2018-03-25,46.28,46.28,46.28,0.0,0.0,46.41,46.41,46.41,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2018-04-01,46.54,46.54,46.54,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-04-08,47.32,47.32,47.32,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.31,47.31,47.31,0.0,0.0
