Date,DCOM_stock_Open_average,DCOM_stock_Open_max,DCOM_stock_Open_min,DCOM_stock_Open_volatility,DCOM_stock_Open_change,DCOM_stock_High_average,DCOM_stock_High_max,DCOM_stock_High_min,DCOM_stock_High_volatility,DCOM_stock_High_change,DCOM_stock_Low_average,DCOM_stock_Low_max,DCOM_stock_Low_min,DCOM_stock_Low_volatility,DCOM_stock_Low_change,DCOM_stock_Close_average,DCOM_stock_Close_max,DCOM_stock_Close_min,DCOM_stock_Close_volatility,DCOM_stock_Close_change,DCOM_stock_Volume_average,DCOM_stock_Volume_max,DCOM_stock_Volume_min,DCOM_stock_Volume_volatility,DCOM_stock_Volume_change
2018-01-14,21.7375,22.0,21.4,0.6000000000000014,-0.6000000000000014,21.825000000000003,22.1,21.55,0.5500000000000007,-0.5500000000000007,21.4375,21.5,21.35,0.14999999999999858,-0.14999999999999858,21.6,21.75,21.45,0.3000000000000007,-0.1999999999999993,166839,244335,126642,117693,105923
2018-01-21,21.6,21.9,21.5,0.3999999999999986,0.0,21.84,21.95,21.55,0.3999999999999986,-0.3000000000000007,21.04,21.4,19.95,1.4499999999999993,-1.4499999999999993,21.330000000000002,21.8,20.1,1.6999999999999993,-1.4499999999999993,335652,708433,127258,581175,468596
2018-01-28,19.34,19.8,18.95,0.8500000000000014,-0.5500000000000007,19.56,20.0,19.3,0.6999999999999993,-0.6000000000000014,19.07,19.55,18.85,0.6999999999999993,-0.6000000000000014,19.25,19.6,19.0,0.6000000000000014,-0.45000000000000284,237975,289615,202838,86777,38521
2018-02-04,18.48,19.05,18.05,1.0,-0.75,18.756,19.23,18.55,0.6799999999999997,-0.6799999999999997,18.094,18.3,17.95,0.3500000000000014,-0.3500000000000014,18.43,18.6,18.15,0.45000000000000284,-0.10000000000000142,293932,349569,208761,140808,-140808
2018-02-11,18.45,18.65,18.3,0.34999999999999787,0.20000000000000284,18.59,18.8,18.4,0.40000000000000213,0.3000000000000007,18.29,18.6,18.0,0.6000000000000014,0.6000000000000014,18.53,18.75,18.35,0.3999999999999986,0.3999999999999986,123443,179090,71877,107213,-67743
2018-02-18,18.45,18.75,18.25,0.5,-0.5,18.6625,18.8,18.45,0.3500000000000014,-0.3500000000000014,18.25,18.4,18.1,0.29999999999999716,-0.20000000000000284,18.362499999999997,18.45,18.15,0.3000000000000007,0.05000000000000071,178351,243428,118404,125024,115001
2018-02-25,18.22,18.45,17.9,0.5500000000000007,-0.5500000000000007,18.48,18.6,18.25,0.3500000000000014,-0.05000000000000071,18.036,18.35,17.8,0.5500000000000007,-0.5500000000000007,18.23,18.4,18.0,0.3999999999999986,0.0,157762,197376,109828,87548,-11523
2018-03-04,18.73,19.0,18.3,0.6999999999999993,0.6999999999999993,18.95,19.2,18.75,0.4499999999999993,0.4499999999999993,18.509999999999998,18.75,18.1,0.6499999999999986,0.6499999999999986,18.89,19.2,18.7,0.5,0.5,139938,201230,107687,93543,-91786
2018-03-11,18.99,19.2,18.65,0.5500000000000007,-0.09999999999999787,19.166,19.4,18.9,0.5,0.16999999999999815,18.78,19.0,18.6,0.3999999999999986,0.14999999999999858,18.990000000000002,19.25,18.6,0.6499999999999986,0.05000000000000071,198052,341191,155436,185755,183076
2018-03-18,18.849999999999998,19.2,18.4,0.8000000000000007,-0.8000000000000007,19.0,19.25,18.8,0.4499999999999993,-0.4499999999999993,18.43,18.75,17.75,1.0,-1.0,18.580000000000002,19.15,17.75,1.3999999999999986,-1.3999999999999986,135113,157667,112507,45160,-3854
