Date,iShares MSCI Global Silver Miners_Open_average,iShares MSCI Global Silver Miners_Open_max,iShares MSCI Global Silver Miners_Open_min,iShares MSCI Global Silver Miners_Open_volatility,iShares MSCI Global Silver Miners_Open_change,iShares MSCI Global Silver Miners_High_average,iShares MSCI Global Silver Miners_High_max,iShares MSCI Global Silver Miners_High_min,iShares MSCI Global Silver Miners_High_volatility,iShares MSCI Global Silver Miners_High_change,iShares MSCI Global Silver Miners_Low_average,iShares MSCI Global Silver Miners_Low_max,iShares MSCI Global Silver Miners_Low_min,iShares MSCI Global Silver Miners_Low_volatility,iShares MSCI Global Silver Miners_Low_change,iShares MSCI Global Silver Miners_Close_average,iShares MSCI Global Silver Miners_Close_max,iShares MSCI Global Silver Miners_Close_min,iShares MSCI Global Silver Miners_Close_volatility,iShares MSCI Global Silver Miners_Close_change
2018-01-14,11.0,11.0,11.0,0.0,0.0,11.05,11.05,11.05,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.98,10.98,10.98,0.0,0.0
2018-01-21,11.05,11.05,11.05,0.0,0.0,11.05,11.05,11.05,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2018-01-28,10.43,10.43,10.43,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.14,10.14,10.14,0.0,0.0,10.3,10.3,10.3,0.0,0.0
2018-02-04,9.61,9.61,9.61,0.0,0.0,10.03,10.03,10.03,0.0,0.0,9.61,9.61,9.61,0.0,0.0,9.98,9.98,9.98,0.0,0.0
2018-02-11,10.35,10.35,10.35,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.32,10.32,10.32,0.0,0.0
2018-02-18,10.08,10.08,10.08,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.08,10.08,10.08,0.0,0.0,10.31,10.31,10.31,0.0,0.0
2018-02-25,9.96,9.96,9.96,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.91,9.91,9.91,0.0,0.0
2018-03-04,9.9,9.9,9.9,0.0,0.0,10.14,10.14,10.14,0.0,0.0,9.89,9.89,9.89,0.0,0.0,10.13,10.13,10.13,0.0,0.0
2018-03-11,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.9,9.9,9.9,0.0,0.0
2018-03-18,10.49,10.49,10.49,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.29,10.29,10.29,0.0,0.0,10.33,10.33,10.33,0.0,0.0
2018-03-25,10.41,10.41,10.41,0.0,0.0,10.41,10.41,10.41,0.0,0.0,10.23,10.23,10.23,0.0,0.0,10.28,10.28,10.28,0.0,0.0
