Date,iShares Edge MSCI Min Vol EAFE_Open_average,iShares Edge MSCI Min Vol EAFE_Open_max,iShares Edge MSCI Min Vol EAFE_Open_min,iShares Edge MSCI Min Vol EAFE_Open_volatility,iShares Edge MSCI Min Vol EAFE_Open_change,iShares Edge MSCI Min Vol EAFE_High_average,iShares Edge MSCI Min Vol EAFE_High_max,iShares Edge MSCI Min Vol EAFE_High_min,iShares Edge MSCI Min Vol EAFE_High_volatility,iShares Edge MSCI Min Vol EAFE_High_change,iShares Edge MSCI Min Vol EAFE_Low_average,iShares Edge MSCI Min Vol EAFE_Low_max,iShares Edge MSCI Min Vol EAFE_Low_min,iShares Edge MSCI Min Vol EAFE_Low_volatility,iShares Edge MSCI Min Vol EAFE_Low_change,iShares Edge MSCI Min Vol EAFE_Close_average,iShares Edge MSCI Min Vol EAFE_Close_max,iShares Edge MSCI Min Vol EAFE_Close_min,iShares Edge MSCI Min Vol EAFE_Close_volatility,iShares Edge MSCI Min Vol EAFE_Close_change
2018-01-14,75.12,75.12,75.12,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-01-21,75.86,75.86,75.86,0.0,0.0,75.88,75.88,75.88,0.0,0.0,75.62,75.62,75.62,0.0,0.0,75.77,75.77,75.77,0.0,0.0
2018-01-28,73.38,73.38,73.38,0.0,0.0,73.67,73.67,73.67,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.86,71.86,71.86,0.0,0.0
2018-02-04,71.5,71.5,71.5,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.47,71.47,71.47,0.0,0.0,72.03,72.03,72.03,0.0,0.0
2018-02-11,73.86,73.86,73.86,0.0,0.0,74.26,74.26,74.26,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.02,74.02,74.02,0.0,0.0
2018-02-18,74.49,74.49,74.49,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.32,74.32,74.32,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2018-02-25,72.44,72.44,72.44,0.0,0.0,73.13,73.13,73.13,0.0,0.0,72.41,72.41,72.41,0.0,0.0,73.06,73.06,73.06,0.0,0.0
2018-03-04,74.24,74.24,74.24,0.0,0.0,74.38,74.38,74.38,0.0,0.0,74.19,74.19,74.19,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2018-03-11,73.75,73.75,73.75,0.0,0.0,74.0,74.0,74.0,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.57,73.57,73.57,0.0,0.0
2018-03-18,72.95,72.95,72.95,0.0,0.0,73.11,73.11,73.11,0.0,0.0,72.45,72.45,72.45,0.0,0.0,73.09,73.09,73.09,0.0,0.0
