Date,First Trust Enhanced Short Maturity_Open_average,First Trust Enhanced Short Maturity_Open_max,First Trust Enhanced Short Maturity_Open_volatility,First Trust Enhanced Short Maturity_Open_change,First Trust Enhanced Short Maturity_High_average,First Trust Enhanced Short Maturity_High_max,First Trust Enhanced Short Maturity_High_volatility,First Trust Enhanced Short Maturity_High_change,First Trust Enhanced Short Maturity_Low_average,First Trust Enhanced Short Maturity_Low_max,First Trust Enhanced Short Maturity_Low_volatility,First Trust Enhanced Short Maturity_Low_change,First Trust Enhanced Short Maturity_Close_average,First Trust Enhanced Short Maturity_Close_max,First Trust Enhanced Short Maturity_Close_volatility,First Trust Enhanced Short Maturity_Close_change
2016-01-03,59.87,59.87,0.0,0.0,59.92,59.92,0.0,0.0,59.86,59.86,0.0,0.0,59.87,59.87,0.0,0.0
2016-01-10,59.92,59.92,0.0,0.0,59.93,59.93,0.0,0.0,59.87,59.87,0.0,0.0,59.9,59.9,0.0,0.0
2016-01-17,59.95,59.95,0.0,0.0,59.95,59.95,0.0,0.0,59.81,59.81,0.0,0.0,59.86,59.86,0.0,0.0
2016-01-24,59.84,59.84,0.0,0.0,59.9,59.9,0.0,0.0,59.8,59.8,0.0,0.0,59.87,59.87,0.0,0.0
2016-01-31,59.84,59.84,0.0,0.0,59.94,59.94,0.0,0.0,59.84,59.84,0.0,0.0,59.92,59.92,0.0,0.0
2016-02-07,59.93,59.93,0.0,0.0,59.93,59.93,0.0,0.0,59.85,59.85,0.0,0.0,59.89,59.89,0.0,0.0
2016-02-14,59.87,59.87,0.0,0.0,59.94,59.94,0.0,0.0,59.87,59.87,0.0,0.0,59.93,59.93,0.0,0.0
2016-02-21,59.88,59.88,0.0,0.0,59.88,59.88,0.0,0.0,59.8,59.8,0.0,0.0,59.88,59.88,0.0,0.0
2016-02-28,59.83,59.83,0.0,0.0,59.9,59.9,0.0,0.0,59.83,59.83,0.0,0.0,59.89,59.89,0.0,0.0
2016-03-06,59.86,59.86,0.0,0.0,59.91,59.91,0.0,0.0,59.86,59.86,0.0,0.0,59.89,59.89,0.0,0.0
2016-03-13,59.88,59.88,0.0,0.0,59.94,59.94,0.0,0.0,59.88,59.88,0.0,0.0,59.92,59.92,0.0,0.0
2016-03-20,59.85,59.85,0.0,0.0,59.85,59.85,0.0,0.0,59.79,59.79,0.0,0.0,59.83,59.83,0.0,0.0
2016-03-27,59.85,59.85,0.0,0.0,59.87,59.87,0.0,0.0,59.84,59.84,0.0,0.0,59.85,59.85,0.0,0.0
2016-04-03,59.89,59.89,0.0,0.0,59.92,59.92,0.0,0.0,59.88,59.88,0.0,0.0,59.9,59.9,0.0,0.0
2016-04-10,59.88,59.88,0.0,0.0,59.92,59.92,0.0,0.0,59.88,59.88,0.0,0.0,59.92,59.92,0.0,0.0
2016-04-17,59.83,59.83,0.0,0.0,59.88,59.88,0.0,0.0,59.83,59.83,0.0,0.0,59.84,59.84,0.0,0.0
2016-04-24,59.87,59.87,0.0,0.0,59.9,59.9,0.0,0.0,59.85,59.85,0.0,0.0,59.89,59.89,0.0,0.0
2016-05-01,59.93,59.93,0.0,0.0,59.97,59.97,0.0,0.0,59.91,59.91,0.0,0.0,59.93,59.93,0.0,0.0
2016-05-08,59.96,59.96,0.0,0.0,59.97,59.97,0.0,0.0,59.91,59.91,0.0,0.0,59.97,59.97,0.0,0.0
2016-05-15,59.89,59.89,0.0,0.0,59.93,59.93,0.0,0.0,59.88,59.88,0.0,0.0,59.89,59.89,0.0,0.0
2016-05-22,59.87,59.87,0.0,0.0,59.92,59.92,0.0,0.0,59.87,59.87,0.0,0.0,59.89,59.89,0.0,0.0
2016-05-29,59.9,59.9,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.91,59.91,0.0,0.0
2016-06-05,59.94,59.94,0.0,0.0,59.98,59.98,0.0,0.0,59.94,59.94,0.0,0.0,59.96,59.96,0.0,0.0
2016-06-12,59.92,59.92,0.0,0.0,59.98,59.98,0.0,0.0,59.9,59.9,0.0,0.0,59.9,59.9,0.0,0.0
2016-06-19,59.91,59.91,0.0,0.0,59.94,59.94,0.0,0.0,59.89,59.89,0.0,0.0,59.93,59.93,0.0,0.0
2016-06-26,59.87,59.87,0.0,0.0,59.9,59.9,0.0,0.0,59.85,59.85,0.0,0.0,59.88,59.88,0.0,0.0
2016-07-03,59.97,59.97,0.0,0.0,59.97,59.97,0.0,0.0,59.85,59.85,0.0,0.0,59.85,59.85,0.0,0.0
2016-07-10,59.97,59.97,0.0,0.0,59.97,59.97,0.0,0.0,59.92,59.92,0.0,0.0,59.92,59.92,0.0,0.0
2016-07-17,59.87,59.87,0.0,0.0,59.9,59.9,0.0,0.0,59.86,59.86,0.0,0.0,59.87,59.87,0.0,0.0
2016-07-24,59.9,59.9,0.0,0.0,59.94,59.94,0.0,0.0,59.89,59.89,0.0,0.0,59.9,59.9,0.0,0.0
2016-07-31,60.01,60.01,0.0,0.0,60.01,60.01,0.0,0.0,59.89,59.89,0.0,0.0,59.96,59.96,0.0,0.0
2016-08-07,59.94,59.94,0.0,0.0,59.98,59.98,0.0,0.0,59.93,59.93,0.0,0.0,59.97,59.97,0.0,0.0
2016-08-14,59.96,59.96,0.0,0.0,59.99,59.99,0.0,0.0,59.94,59.94,0.0,0.0,59.96,59.96,0.0,0.0
2016-08-21,59.89,59.89,0.0,0.0,59.95,59.95,0.0,0.0,59.88,59.88,0.0,0.0,59.94,59.94,0.0,0.0
2016-08-28,59.99,59.99,0.0,0.0,59.99,59.99,0.0,0.0,59.93,59.93,0.0,0.0,59.93,59.93,0.0,0.0
2016-09-04,59.93,59.93,0.0,0.0,59.97,59.97,0.0,0.0,59.92,59.92,0.0,0.0,59.93,59.93,0.0,0.0
2016-09-11,59.98,59.98,0.0,0.0,59.99,59.99,0.0,0.0,59.94,59.94,0.0,0.0,59.98,59.98,0.0,0.0
2016-09-18,59.94,59.94,0.0,0.0,59.94,59.94,0.0,0.0,59.92,59.92,0.0,0.0,59.94,59.94,0.0,0.0
2016-09-25,59.93,59.93,0.0,0.0,59.96,59.96,0.0,0.0,59.93,59.93,0.0,0.0,59.95,59.95,0.0,0.0
2016-10-02,59.94,59.94,0.0,0.0,59.97,59.97,0.0,0.0,59.94,59.94,0.0,0.0,59.95,59.95,0.0,0.0
2016-10-09,59.98,59.98,0.0,0.0,59.98,59.98,0.0,0.0,59.96,59.96,0.0,0.0,59.96,59.96,0.0,0.0
2016-10-16,59.9,59.9,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.93,59.93,0.0,0.0
2016-10-23,59.93,59.93,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.9,59.9,0.0,0.0
2016-10-30,59.94,59.94,0.0,0.0,59.98,59.98,0.0,0.0,59.94,59.94,0.0,0.0,59.95,59.95,0.0,0.0
2016-11-06,59.94,59.94,0.0,0.0,59.97,59.97,0.0,0.0,59.9,59.9,0.0,0.0,59.93,59.93,0.0,0.0
2016-11-13,59.99,59.99,0.0,0.0,59.99,59.99,0.0,0.0,59.96,59.96,0.0,0.0,59.98,59.98,0.0,0.0
2016-11-20,59.9,59.9,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.92,59.92,0.0,0.0
2016-11-27,59.9,59.9,0.0,0.0,59.93,59.93,0.0,0.0,59.89,59.89,0.0,0.0,59.91,59.91,0.0,0.0
2016-12-04,59.94,59.94,0.0,0.0,59.95,59.95,0.0,0.0,59.91,59.91,0.0,0.0,59.91,59.91,0.0,0.0
2016-12-11,59.95,59.95,0.0,0.0,59.97,59.97,0.0,0.0,59.91,59.91,0.0,0.0,59.94,59.94,0.0,0.0
2016-12-18,59.9,59.9,0.0,0.0,59.92,59.92,0.0,0.0,59.89,59.89,0.0,0.0,59.9,59.9,0.0,0.0
2016-12-25,59.91,59.91,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.94,59.94,0.0,0.0
2017-01-01,59.93,59.93,0.0,0.0,59.94,59.94,0.0,0.0,59.9,59.9,0.0,0.0,59.92,59.92,0.0,0.0
2017-01-08,59.97,59.97,0.0,0.0,59.98,59.98,0.0,0.0,59.94,59.94,0.0,0.0,59.95,59.95,0.0,0.0
2017-01-15,59.9,59.9,0.0,0.0,59.95,59.95,0.0,0.0,59.9,59.9,0.0,0.0,59.91,59.91,0.0,0.0
2017-01-22,59.91,59.91,0.0,0.0,59.93,59.93,0.0,0.0,59.91,59.91,0.0,0.0,59.92,59.92,0.0,0.0
2017-01-29,59.93,59.93,0.0,0.0,59.98,59.98,0.0,0.0,59.92,59.92,0.0,0.0,59.96,59.96,0.0,0.0
2017-02-05,59.95,59.95,0.0,0.0,60.0,60.0,0.0,0.0,59.95,59.95,0.0,0.0,59.98,59.98,0.0,0.0
2017-02-12,60.03,60.03,0.0,0.0,60.03,60.03,0.0,0.0,59.96,59.96,0.0,0.0,59.98,59.98,0.0,0.0
2017-02-19,59.96,59.96,0.0,0.0,59.99,59.99,0.0,0.0,59.95,59.95,0.0,0.0,59.96,59.96,0.0,0.0
2017-02-26,59.99,59.99,0.0,0.0,59.99,59.99,0.0,0.0,59.98,59.98,0.0,0.0,59.99,59.99,0.0,0.0
2017-03-05,60.0,60.0,0.0,0.0,60.02,60.02,0.0,0.0,59.98,59.98,0.0,0.0,60.01,60.01,0.0,0.0
2017-03-12,60.0,60.0,0.0,0.0,60.03,60.03,0.0,0.0,60.0,60.0,0.0,0.0,60.01,60.01,0.0,0.0
2017-03-19,59.99,59.99,0.0,0.0,60.02,60.02,0.0,0.0,59.94,59.94,0.0,0.0,59.96,59.96,0.0,0.0
2017-03-26,59.98,59.98,0.0,0.0,60.0,60.0,0.0,0.0,59.97,59.97,0.0,0.0,59.97,59.97,0.0,0.0
2017-04-02,59.98,59.98,0.0,0.0,59.99,59.99,0.0,0.0,59.97,59.97,0.0,0.0,59.98,59.98,0.0,0.0
2017-04-09,59.99,59.99,0.0,0.0,60.02,60.02,0.0,0.0,59.99,59.99,0.0,0.0,60.01,60.01,0.0,0.0
