Date,iShares US Financials_Open_average,iShares US Financials_Open_max,iShares US Financials_Open_min,iShares US Financials_Open_volatility,iShares US Financials_Open_change,iShares US Financials_High_average,iShares US Financials_High_max,iShares US Financials_High_min,iShares US Financials_High_volatility,iShares US Financials_High_change,iShares US Financials_Low_average,iShares US Financials_Low_max,iShares US Financials_Low_min,iShares US Financials_Low_volatility,iShares US Financials_Low_change,iShares US Financials_Close_average,iShares US Financials_Close_max,iShares US Financials_Close_min,iShares US Financials_Close_volatility,iShares US Financials_Close_change
2018-01-14,123.95,123.95,123.95,0.0,0.0,125.02,125.02,125.02,0.0,0.0,123.95,123.95,123.95,0.0,0.0,125.0,125.0,125.0,0.0,0.0
2018-01-21,126.36,126.36,126.36,0.0,0.0,126.54,126.54,126.54,0.0,0.0,125.48,125.48,125.48,0.0,0.0,125.57,125.57,125.57,0.0,0.0
2018-01-28,121.19,121.19,121.19,0.0,0.0,122.55,122.55,122.55,0.0,0.0,116.7,116.7,116.7,0.0,0.0,117.52,117.52,117.52,0.0,0.0
2018-02-04,117.44,117.44,117.44,0.0,0.0,118.88,118.88,118.88,0.0,0.0,116.5,116.5,116.5,0.0,0.0,118.09,118.09,118.09,0.0,0.0
2018-02-11,121.28,121.28,121.28,0.0,0.0,122.54,122.54,122.54,0.0,0.0,121.11,121.11,121.11,0.0,0.0,121.81,121.81,121.81,0.0,0.0
2018-02-18,122.65,122.65,122.65,0.0,0.0,123.48,123.48,123.48,0.0,0.0,122.07,122.07,122.07,0.0,0.0,123.48,123.48,123.48,0.0,0.0
2018-02-25,118.89,118.89,118.89,0.0,0.0,121.65,121.65,121.65,0.0,0.0,118.73,118.73,118.73,0.0,0.0,121.12,121.12,121.12,0.0,0.0
2018-03-04,124.68,124.68,124.68,0.0,0.0,124.87,124.87,124.87,0.0,0.0,124.03,124.03,124.03,0.0,0.0,124.31,124.31,124.31,0.0,0.0
2018-03-11,122.71,122.71,122.71,0.0,0.0,122.71,122.71,122.71,0.0,0.0,120.7,120.7,120.7,0.0,0.0,121.68,121.68,121.68,0.0,0.0
2018-03-18,116.65,116.65,116.65,0.0,0.0,117.96,117.96,117.96,0.0,0.0,115.61,115.61,115.61,0.0,0.0,117.81,117.81,117.81,0.0,0.0
2018-03-25,117.59,117.59,117.59,0.0,0.0,117.81,117.81,117.81,0.0,0.0,114.11,114.11,114.11,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2018-04-01,116.68,116.68,116.68,0.0,0.0,118.52,118.52,118.52,0.0,0.0,116.38,116.38,116.38,0.0,0.0,116.48,116.48,116.48,0.0,0.0
2018-04-08,117.41,117.41,117.41,0.0,0.0,118.24,118.24,118.24,0.0,0.0,117.41,117.41,117.41,0.0,0.0,117.61,117.61,117.61,0.0,0.0
2018-04-15,118.66,118.66,118.66,0.0,0.0,118.75,118.75,118.75,0.0,0.0,117.9,117.9,117.9,0.0,0.0,118.34,118.34,118.34,0.0,0.0
2018-04-22,118.75,118.75,118.75,0.0,0.0,119.3,119.3,119.3,0.0,0.0,117.68,117.68,117.68,0.0,0.0,117.68,117.68,117.68,0.0,0.0
2018-04-29,117.97,117.97,117.97,0.0,0.0,118.96,118.96,118.96,0.0,0.0,117.87,117.87,117.87,0.0,0.0,118.59,118.59,118.59,0.0,0.0
2018-05-06,121.53,121.53,121.53,0.0,0.0,121.74,121.74,121.74,0.0,0.0,120.8,120.8,120.8,0.0,0.0,121.05,121.05,121.05,0.0,0.0
2018-05-13,120.27,120.27,120.27,0.0,0.0,120.9,120.9,120.9,0.0,0.0,120.27,120.27,120.27,0.0,0.0,120.7,120.7,120.7,0.0,0.0
2018-05-20,120.1,120.1,120.1,0.0,0.0,120.28,120.28,120.28,0.0,0.0,119.61,119.61,119.61,0.0,0.0,120.05,120.05,120.05,0.0,0.0
2018-05-27,119.94,119.94,119.94,0.0,0.0,120.19,120.19,120.19,0.0,0.0,119.69,119.69,119.69,0.0,0.0,120.14,120.14,120.14,0.0,0.0
2018-06-03,122.3,122.3,122.3,0.0,0.0,122.48,122.48,122.48,0.0,0.0,121.6,121.6,121.6,0.0,0.0,121.66,121.66,121.66,0.0,0.0
2018-06-10,119.47,119.47,119.47,0.0,0.0,120.23,120.23,120.23,0.0,0.0,119.21,119.21,119.21,0.0,0.0,120.19,120.19,120.19,0.0,0.0
2018-06-17,119.09,119.09,119.09,0.0,0.0,119.16,119.16,119.16,0.0,0.0,117.54,117.54,117.54,0.0,0.0,118.24,118.24,118.24,0.0,0.0
2018-06-24,116.68,116.68,116.68,0.0,0.0,117.63,117.63,117.63,0.0,0.0,116.2,116.2,116.2,0.0,0.0,117.58,117.58,117.58,0.0,0.0
2018-07-01,118.7,118.7,118.7,0.0,0.0,120.08,120.08,120.08,0.0,0.0,118.66,118.66,118.66,0.0,0.0,120.07,120.07,120.07,0.0,0.0
2018-07-08,119.17,119.17,119.17,0.0,0.0,120.43,120.43,120.43,0.0,0.0,119.17,119.17,119.17,0.0,0.0,120.33,120.33,120.33,0.0,0.0
2018-07-15,120.84,120.84,120.84,0.0,0.0,122.0,122.0,122.0,0.0,0.0,120.78,120.78,120.78,0.0,0.0,121.84,121.84,121.84,0.0,0.0
2018-07-22,122.21,122.21,122.21,0.0,0.0,122.52,122.52,122.52,0.0,0.0,121.76,121.76,121.76,0.0,0.0,121.9,121.9,121.9,0.0,0.0
2018-07-29,122.92,122.92,122.92,0.0,0.0,123.39,123.39,123.39,0.0,0.0,122.79,122.79,122.79,0.0,0.0,123.11,123.11,123.11,0.0,0.0
2018-08-05,122.06,122.06,122.06,0.0,0.0,122.39,122.39,122.39,0.0,0.0,121.2,121.2,121.2,0.0,0.0,121.23,121.23,121.23,0.0,0.0
2018-08-12,123.49,123.49,123.49,0.0,0.0,124.0,124.0,124.0,0.0,0.0,123.49,123.49,123.49,0.0,0.0,123.79,123.79,123.79,0.0,0.0
2018-08-19,124.0,124.0,124.0,0.0,0.0,125.14,125.14,125.14,0.0,0.0,124.0,124.0,124.0,0.0,0.0,124.9,124.9,124.9,0.0,0.0
