Date,iShares Core US Growth_Open_average,iShares Core US Growth_Open_max,iShares Core US Growth_Open_min,iShares Core US Growth_Open_volatility,iShares Core US Growth_Open_change,iShares Core US Growth_High_average,iShares Core US Growth_High_max,iShares Core US Growth_High_min,iShares Core US Growth_High_volatility,iShares Core US Growth_High_change,iShares Core US Growth_Low_average,iShares Core US Growth_Low_max,iShares Core US Growth_Low_min,iShares Core US Growth_Low_volatility,iShares Core US Growth_Low_change,iShares Core US Growth_Close_average,iShares Core US Growth_Close_max,iShares Core US Growth_Close_min,iShares Core US Growth_Close_volatility,iShares Core US Growth_Close_change
2018-01-14,56.99,56.99,56.99,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.95,56.95,56.95,0.0,0.0,57.43,57.43,57.43,0.0,0.0
2018-01-21,58.28,58.28,58.28,0.0,0.0,58.33,58.33,58.33,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-01-28,55.7,55.7,55.7,0.0,0.0,56.45,56.45,56.45,0.0,0.0,53.82,53.82,53.82,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-02-04,53.98,53.98,53.98,0.0,0.0,54.65,54.65,54.65,0.0,0.0,53.57,53.57,53.57,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2018-02-11,56.24,56.24,56.24,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-02-18,57.09,57.09,57.09,0.0,0.0,57.47,57.47,57.47,0.0,0.0,56.98,56.98,56.98,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2018-02-25,55.57,55.57,55.57,0.0,0.0,56.55,56.55,56.55,0.0,0.0,55.43,55.43,55.43,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2018-03-04,58.11,58.11,58.11,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-03-11,57.34,57.34,57.34,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2018-03-18,54.69,54.69,54.69,0.0,0.0,55.38,55.38,55.38,0.0,0.0,53.96,53.96,53.96,0.0,0.0,55.32,55.32,55.32,0.0,0.0
2018-03-25,54.32,54.32,54.32,0.0,0.0,54.55,54.55,54.55,0.0,0.0,52.73,52.73,52.73,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2018-04-01,54.13,54.13,54.13,0.0,0.0,54.74,54.74,54.74,0.0,0.0,53.85,53.85,53.85,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-04-08,55.26,55.26,55.26,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2018-04-15,55.42,55.42,55.42,0.0,0.0,55.52,55.52,55.52,0.0,0.0,54.86,54.86,54.86,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2018-04-22,55.24,55.24,55.24,0.0,0.0,55.42,55.42,55.42,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-04-29,55.91,55.91,55.91,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2018-05-06,57.3,57.3,57.3,0.0,0.0,57.4,57.4,57.4,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2018-05-13,56.87,56.87,56.87,0.0,0.0,57.25,57.25,57.25,0.0,0.0,56.87,56.87,56.87,0.0,0.0,57.11,57.11,57.11,0.0,0.0
2018-05-20,57.11,57.11,57.11,0.0,0.0,57.35,57.35,57.35,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-05-27,58.07,58.07,58.07,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.9,57.9,57.9,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2018-06-03,58.87,58.87,58.87,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2018-06-10,58.7,58.7,58.7,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-06-17,58.11,58.11,58.11,0.0,0.0,58.12,58.12,58.12,0.0,0.0,56.92,56.92,56.92,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-06-24,56.91,56.91,56.91,0.0,0.0,57.52,57.52,57.52,0.0,0.0,56.74,56.74,56.74,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2018-07-01,58.51,58.51,58.51,0.0,0.0,58.82,58.82,58.82,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2018-07-08,59.42,59.42,59.42,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2018-07-15,59.22,59.22,59.22,0.0,0.0,59.58,59.58,59.58,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.57,59.57,59.57,0.0,0.0
2018-07-22,59.16,59.16,59.16,0.0,0.0,59.49,59.49,59.49,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2018-07-29,60.05,60.05,60.05,0.0,0.0,60.22,60.22,60.22,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2018-08-05,59.99,59.99,59.99,0.0,0.0,60.34,60.34,60.34,0.0,0.0,59.8,59.8,59.8,0.0,0.0,59.85,59.85,59.85,0.0,0.0
2018-08-12,60.37,60.37,60.37,0.0,0.0,60.37,60.37,60.37,0.0,0.0,60.09,60.09,60.09,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2018-08-19,61.06,61.06,61.06,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.06,61.06,61.06,0.0,0.0,61.43,61.43,61.43,0.0,0.0
2018-08-26,61.82,61.82,61.82,0.0,0.0,62.03,62.03,62.03,0.0,0.0,61.72,61.72,61.72,0.0,0.0,61.91,61.91,61.91,0.0,0.0
2018-09-02,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.98,60.98,60.98,0.0,0.0,61.11,61.11,61.11,0.0,0.0
2018-09-09,61.98,61.98,61.98,0.0,0.0,61.99,61.99,61.99,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2018-09-16,61.91,61.91,61.91,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.6,61.6,61.6,0.0,0.0,62.01,62.01,62.01,0.0,0.0
2018-09-23,62.52,62.52,62.52,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-09-30,60.55,60.55,60.55,0.0,0.0,60.86,60.86,60.86,0.0,0.0,59.94,59.94,59.94,0.0,0.0,60.51,60.51,60.51,0.0,0.0
2018-10-07,58.39,58.39,58.39,0.0,0.0,58.44,58.44,58.44,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-10-14,58.26,58.26,58.26,0.0,0.0,58.45,58.45,58.45,0.0,0.0,57.85,57.85,57.85,0.0,0.0,58.14,58.14,58.14,0.0,0.0
2018-10-21,56.73,56.73,56.73,0.0,0.0,57.03,57.03,57.03,0.0,0.0,54.33,54.33,54.33,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2018-10-28,57.22,57.22,57.22,0.0,0.0,57.38,57.38,57.38,0.0,0.0,56.74,56.74,56.74,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-11-04,58.12,58.12,58.12,0.0,0.0,58.12,58.12,58.12,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-11-11,57.08,57.08,57.08,0.0,0.0,57.11,57.11,57.11,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2018-11-18,55.37,55.37,55.37,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.75,55.75,55.75,0.0,0.0
2018-11-25,59.02,59.02,59.02,0.0,0.0,59.25,59.25,59.25,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.75,58.75,58.75,0.0,0.0
