Date,DeltaShares S&P 500 Managed Risk_Open_average,DeltaShares S&P 500 Managed Risk_Open_max,DeltaShares S&P 500 Managed Risk_Open_min,DeltaShares S&P 500 Managed Risk_Open_volatility,DeltaShares S&P 500 Managed Risk_Open_change,DeltaShares S&P 500 Managed Risk_High_average,DeltaShares S&P 500 Managed Risk_High_max,DeltaShares S&P 500 Managed Risk_High_min,DeltaShares S&P 500 Managed Risk_High_volatility,DeltaShares S&P 500 Managed Risk_High_change,DeltaShares S&P 500 Managed Risk_Low_average,DeltaShares S&P 500 Managed Risk_Low_max,DeltaShares S&P 500 Managed Risk_Low_min,DeltaShares S&P 500 Managed Risk_Low_volatility,DeltaShares S&P 500 Managed Risk_Low_change,DeltaShares S&P 500 Managed Risk_Close_average,DeltaShares S&P 500 Managed Risk_Close_max,DeltaShares S&P 500 Managed Risk_Close_min,DeltaShares S&P 500 Managed Risk_Close_volatility,DeltaShares S&P 500 Managed Risk_Close_change
2018-01-14,58.21,58.21,58.21,0.0,0.0,58.21,58.21,58.21,0.0,0.0,57.07,57.07,57.07,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-01-21,57.95,57.95,57.95,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2018-01-28,56.22,56.22,56.22,0.0,0.0,56.26,56.26,56.26,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-02-04,53.84,53.84,53.84,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2018-02-11,54.22,54.22,54.22,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2018-02-18,55.17,55.17,55.17,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2018-02-25,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-03-04,55.56,55.56,55.56,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2018-03-11,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-03-18,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-03-25,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-04-01,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-04-08,53.35,53.35,53.35,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2018-04-15,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2018-04-22,53.54,53.54,53.54,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.2,53.2,53.2,0.0,0.0
2018-04-29,53.34,53.34,53.34,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2018-05-06,54.41,54.41,54.41,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-05-13,54.58,54.58,54.58,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.28,54.28,54.28,0.0,0.0
