Date,iShares Int High Yield Bond_Open_average,iShares Int High Yield Bond_Open_max,iShares Int High Yield Bond_Open_min,iShares Int High Yield Bond_Open_volatility,iShares Int High Yield Bond_Open_change,iShares Int High Yield Bond_High_average,iShares Int High Yield Bond_High_max,iShares Int High Yield Bond_High_min,iShares Int High Yield Bond_High_volatility,iShares Int High Yield Bond_High_change,iShares Int High Yield Bond_Low_average,iShares Int High Yield Bond_Low_max,iShares Int High Yield Bond_Low_min,iShares Int High Yield Bond_Low_volatility,iShares Int High Yield Bond_Low_change,iShares Int High Yield Bond_Close_average,iShares Int High Yield Bond_Close_max,iShares Int High Yield Bond_Close_min,iShares Int High Yield Bond_Close_volatility,iShares Int High Yield Bond_Close_change
2018-01-14,56.01,56.01,56.01,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.9,55.9,55.9,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-01-21,56.48,56.48,56.48,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2018-01-28,56.27,56.27,56.27,0.0,0.0,57.61,57.61,57.61,0.0,0.0,54.03,54.03,54.03,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2018-02-04,55.28,55.28,55.28,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-02-11,56.2,56.2,56.2,0.0,0.0,56.23,56.23,56.23,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2018-02-18,55.6,55.6,55.6,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.51,55.51,55.51,0.0,0.0
2018-02-25,55.45,55.45,55.45,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-04,55.63,55.63,55.63,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2018-03-11,55.65,55.65,55.65,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-18,55.94,55.94,55.94,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2018-03-25,55.54,55.54,55.54,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2018-04-01,55.72,55.72,55.72,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-04-08,56.25,56.25,56.25,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2018-04-15,55.56,55.56,55.56,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2018-04-22,54.81,54.81,54.81,0.0,0.0,54.89,54.89,54.89,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-04-29,53.93,53.93,53.93,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2018-05-06,54.35,54.35,54.35,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-05-13,53.11,53.11,53.11,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2018-05-20,52.44,52.44,52.44,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-05-27,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-06-03,52.82,52.82,52.82,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-06-10,52.16,52.16,52.16,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-06-17,52.25,52.25,52.25,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-06-24,51.51,51.51,51.51,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.68,51.68,51.68,0.0,0.0
