Date,ProShares Ultra Financials_Open_average,ProShares Ultra Financials_Open_max,ProShares Ultra Financials_Open_min,ProShares Ultra Financials_Open_volatility,ProShares Ultra Financials_Open_change,ProShares Ultra Financials_High_average,ProShares Ultra Financials_High_max,ProShares Ultra Financials_High_min,ProShares Ultra Financials_High_volatility,ProShares Ultra Financials_High_change,ProShares Ultra Financials_Low_average,ProShares Ultra Financials_Low_max,ProShares Ultra Financials_Low_min,ProShares Ultra Financials_Low_volatility,ProShares Ultra Financials_Low_change,ProShares Ultra Financials_Close_average,ProShares Ultra Financials_Close_max,ProShares Ultra Financials_Close_min,ProShares Ultra Financials_Close_volatility,ProShares Ultra Financials_Close_change
2018-01-14,45.92,45.92,45.92,0.0,0.0,46.71,46.71,46.71,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.71,46.71,46.71,0.0,0.0
2018-01-21,47.86,47.86,47.86,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2018-01-28,43.62,43.62,43.62,0.0,0.0,44.8,44.8,44.8,0.0,0.0,40.46,40.46,40.46,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-02-04,41.12,41.12,41.12,0.0,0.0,41.82,41.82,41.82,0.0,0.0,40.28,40.28,40.28,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-02-11,43.55,43.55,43.55,0.0,0.0,44.48,44.48,44.48,0.0,0.0,43.55,43.55,43.55,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-02-18,44.46,44.46,44.46,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.18,44.18,44.18,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-02-25,41.62,41.62,41.62,0.0,0.0,43.73,43.73,43.73,0.0,0.0,41.6,41.6,41.6,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-03-04,45.89,45.89,45.89,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-03-11,44.32,44.32,44.32,0.0,0.0,44.33,44.33,44.33,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.72,43.72,43.72,0.0,0.0
2018-03-18,40.14,40.14,40.14,0.0,0.0,41.17,41.17,41.17,0.0,0.0,39.55,39.55,39.55,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2018-03-25,40.89,40.89,40.89,0.0,0.0,41.0,41.0,41.0,0.0,0.0,38.46,38.46,38.46,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-04-01,40.16,40.16,40.16,0.0,0.0,41.43,41.43,41.43,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.06,40.06,40.06,0.0,0.0
2018-04-08,40.7,40.7,40.7,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-04-15,41.53,41.53,41.53,0.0,0.0,41.54,41.54,41.54,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2018-04-22,41.55,41.55,41.55,0.0,0.0,41.85,41.85,41.85,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-04-29,41.04,41.04,41.04,0.0,0.0,41.61,41.61,41.61,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-05-06,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-05-13,42.51,42.51,42.51,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-05-20,42.36,42.36,42.36,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2018-05-27,42.03,42.03,42.03,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2018-06-03,43.68,43.68,43.68,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-06-10,41.71,41.71,41.71,0.0,0.0,42.28,42.28,42.28,0.0,0.0,41.53,41.53,41.53,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2018-06-17,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-06-24,39.97,39.97,39.97,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2018-07-01,41.42,41.42,41.42,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.42,41.42,41.42,0.0,0.0,42.4,42.4,42.4,0.0,0.0
