Date,iShares MSCI World_Open_average,iShares MSCI World_Open_max,iShares MSCI World_Open_min,iShares MSCI World_Open_volatility,iShares MSCI World_Open_change,iShares MSCI World_High_average,iShares MSCI World_High_max,iShares MSCI World_High_min,iShares MSCI World_High_volatility,iShares MSCI World_High_change,iShares MSCI World_Low_average,iShares MSCI World_Low_max,iShares MSCI World_Low_min,iShares MSCI World_Low_volatility,iShares MSCI World_Low_change,iShares MSCI World_Close_average,iShares MSCI World_Close_max,iShares MSCI World_Close_min,iShares MSCI World_Close_volatility,iShares MSCI World_Close_change
2018-01-14,92.35,92.35,92.35,0.0,0.0,92.36,92.36,92.36,0.0,0.0,92.13,92.13,92.13,0.0,0.0,92.29,92.29,92.29,0.0,0.0
2018-01-21,93.67,93.67,93.67,0.0,0.0,94.23,94.23,94.23,0.0,0.0,93.67,93.67,93.67,0.0,0.0,94.07,94.07,94.07,0.0,0.0
2018-01-28,91.98,91.98,91.98,0.0,0.0,92.05,92.05,92.05,0.0,0.0,90.72,90.72,90.72,0.0,0.0,90.72,90.72,90.72,0.0,0.0
2018-02-04,86.05,86.05,86.05,0.0,0.0,86.45,86.45,86.45,0.0,0.0,83.58,83.58,83.58,0.0,0.0,86.15,86.15,86.15,0.0,0.0
2018-02-11,89.48,89.48,89.48,0.0,0.0,89.9,89.9,89.9,0.0,0.0,89.48,89.48,89.48,0.0,0.0,89.69,89.69,89.69,0.0,0.0
2018-02-18,89.12,89.12,89.12,0.0,0.0,89.94,89.94,89.94,0.0,0.0,89.04,89.04,89.04,0.0,0.0,89.94,89.94,89.94,0.0,0.0
2018-02-25,86.91,86.91,86.91,0.0,0.0,87.86,87.86,87.86,0.0,0.0,86.65,86.65,86.65,0.0,0.0,87.75,87.75,87.75,0.0,0.0
2018-03-04,89.67,89.67,89.67,0.0,0.0,90.36,90.36,90.36,0.0,0.0,89.46,89.46,89.46,0.0,0.0,90.28,90.28,90.28,0.0,0.0
2018-03-11,89.56,89.56,89.56,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.52,89.52,89.52,0.0,0.0
2018-03-18,86.74,86.74,86.74,0.0,0.0,86.8,86.8,86.8,0.0,0.0,85.16,85.16,85.16,0.0,0.0,85.24,85.24,85.24,0.0,0.0
2018-03-25,86.47,86.47,86.47,0.0,0.0,87.44,87.44,87.44,0.0,0.0,86.47,86.47,86.47,0.0,0.0,87.13,87.13,87.13,0.0,0.0
2018-04-01,86.9,86.9,86.9,0.0,0.0,86.9,86.9,86.9,0.0,0.0,85.76,85.76,85.76,0.0,0.0,86.16,86.16,86.16,0.0,0.0
2018-04-08,88.48,88.48,88.48,0.0,0.0,88.48,88.48,88.48,0.0,0.0,87.59,87.59,87.59,0.0,0.0,87.8,87.8,87.8,0.0,0.0
2018-04-15,88.79,88.79,88.79,0.0,0.0,88.79,88.79,88.79,0.0,0.0,88.09,88.09,88.09,0.0,0.0,88.27,88.27,88.27,0.0,0.0
2018-04-22,88.31,88.31,88.31,0.0,0.0,88.31,88.31,88.31,0.0,0.0,88.1,88.1,88.1,0.0,0.0,88.2,88.2,88.2,0.0,0.0
