Date,SIM_Open_average,SIM_Open_max,SIM_Open_min,SIM_Open_volatility,SIM_Open_change,SIM_High_average,SIM_High_max,SIM_High_min,SIM_High_volatility,SIM_High_change,SIM_Low_average,SIM_Low_max,SIM_Low_min,SIM_Low_volatility,SIM_Low_change,SIM_Close_average,SIM_Close_max,SIM_Close_min,SIM_Close_volatility,SIM_Close_change,SIM_Volume_average,SIM_Volume_max,SIM_Volume_min,SIM_Volume_volatility,SIM_Volume_change
2018-01-14,10.514,10.76,10.25,0.5099999999999998,0.2400000000000002,10.6008,10.76,10.504000000000001,0.25599999999999845,-0.019999999999999574,10.466,10.63,10.25,0.3800000000000008,0.2400000000000002,10.5428,10.63,10.504000000000001,0.12599999999999945,-0.019999999999999574,301,572,58,514,-209
2018-01-21,10.58,10.7,10.41,0.28999999999999915,0.17999999999999972,10.6325,10.7,10.59,0.10999999999999943,-0.02999999999999936,10.45925,10.52,10.4,0.11999999999999922,-0.009999999999999787,10.51175,10.62,10.4,0.21999999999999886,-0.21999999999999886,386,667,216,451,-210
2018-01-28,10.35,10.49,10.26,0.23000000000000043,-0.16999999999999993,10.364,10.49,10.32,0.16999999999999993,-0.16999999999999993,10.24,10.34,10.08,0.2599999999999998,-0.2400000000000002,10.246,10.34,10.08,0.2599999999999998,-0.2400000000000002,245,888,9,879,-39
2018-02-04,9.8025,10.08,9.54,0.5400000000000009,-0.5400000000000009,9.879999999999999,10.08,9.79,0.2900000000000009,-0.23000000000000043,9.69725,9.87,9.54,0.33000000000000007,-0.33000000000000007,9.77975,9.89,9.589,0.30100000000000016,-0.040000000000000924,464,765,192,573,-265
2018-02-11,9.852500000000001,10.06,9.71,0.34999999999999964,0.22000000000000064,9.875,10.06,9.71,0.34999999999999964,0.21000000000000085,9.77725,9.818999999999999,9.71,0.10899999999999821,-0.0389999999999997,9.79975,9.88,9.71,0.16999999999999993,-0.028999999999999915,418,600,193,407,280
2018-02-18,9.77,10.07,9.6,0.47000000000000064,0.34999999999999964,9.8475,10.07,9.71,0.35999999999999943,0.34999999999999964,9.69875,9.9,9.6,0.3000000000000007,0.2900000000000009,9.77375,9.91,9.61,0.3000000000000007,0.3000000000000007,471,527,424,103,93
2018-02-25,9.775,9.91,9.65,0.2599999999999998,-0.17999999999999972,9.807500000000001,9.91,9.65,0.2599999999999998,-0.17999999999999972,9.725,9.79,9.65,0.1399999999999988,-0.09999999999999964,9.7675,9.83,9.65,0.17999999999999972,-0.15000000000000036,463,900,0,900,-900
2018-03-04,9.6775,9.75,9.56,0.1899999999999995,0.1899999999999995,9.75,9.87,9.65,0.21999999999999886,0.1399999999999988,9.6775,9.75,9.56,0.1899999999999995,0.1899999999999995,9.7325,9.87,9.65,0.21999999999999886,0.20999999999999908,204,415,0,415,12
2018-03-11,9.6795,10.0,9.32,0.6799999999999997,-0.6799999999999997,9.724499999999999,10.0,9.5,0.5,-0.5,9.624500000000001,9.9,9.32,0.5800000000000001,-0.5800000000000001,9.647,9.9,9.41,0.4900000000000002,-0.4900000000000002,200,400,0,400,-100
2018-03-18,9.456,9.58,9.3,0.27999999999999936,-0.27999999999999936,9.4916,9.58,9.41,0.16999999999999993,-0.14000000000000057,9.426,9.58,9.26,0.3200000000000003,-0.27999999999999936,9.461599999999999,9.58,9.26,0.3200000000000003,-0.14000000000000057,152,260,0,260,260
2018-03-25,9.215,9.34,9.1,0.2400000000000002,-0.16999999999999993,9.2375,9.4,9.1,0.3000000000000007,-0.20000000000000107,9.19,9.3,9.1,0.20000000000000107,-0.19000000000000128,9.215,9.4,9.1,0.3000000000000007,-0.2900000000000009,302,600,0,600,-100
2018-04-01,9.5724,9.9,9.2,0.7000000000000011,0.38200000000000145,9.8124,10.2,9.34,0.8599999999999994,0.24200000000000088,9.5284,9.74,9.2,0.5400000000000009,0.38200000000000145,9.7684,10.2,9.34,0.8599999999999994,0.24200000000000088,508,1123,0,1123,-400
