Date,DRAD_Open_average,DRAD_Open_max,DRAD_Open_min,DRAD_Open_volatility,DRAD_Open_change,DRAD_High_average,DRAD_High_max,DRAD_High_min,DRAD_High_volatility,DRAD_High_change,DRAD_Low_average,DRAD_Low_max,DRAD_Low_min,DRAD_Low_volatility,DRAD_Low_change,DRAD_Close_average,DRAD_Close_max,DRAD_Close_min,DRAD_Close_volatility,DRAD_Close_change,DRAD_Volume_average,DRAD_Volume_max,DRAD_Volume_min,DRAD_Volume_volatility,DRAD_Volume_change
2018-01-14,27.0,27.5,26.0,1.5,-1.5,27.1,27.5,26.5,1.0,-1.0,26.2,26.5,26.0,0.5,-0.5,26.45,27.0,26.0,1.0,-1.0,5147,9327,3432,5895,-666
2018-01-21,25.7,26.5,25.0,1.5,-1.5,25.9,26.5,25.0,1.5,-1.5,24.9,26.0,24.5,1.5,-1.5,25.14,26.0,24.7,1.3000000000000007,-1.3000000000000007,7895,9718,5106,4612,618
2018-01-28,23.7,25.0,22.5,2.5,-2.0,24.34,25.25,23.5,1.75,-1.75,22.9,24.5,21.5,3.0,-2.5,23.2,24.5,22.5,2.0,-2.0,7592,9772,5259,4513,753
2018-02-04,22.6,23.0,22.5,0.5,0.5,23.0,23.5,22.5,1.0,0.5,22.1,23.0,21.5,1.5,1.0,22.6,23.0,22.0,1.0,0.5,7661,10924,4113,6811,-1518
2018-02-11,23.0,23.5,22.5,1.0,-0.5,23.375,23.5,23.0,0.5,0.0,22.375,23.0,22.0,1.0,-1.0,22.875,23.5,22.5,1.0,-0.5,5078,10851,2402,8449,890
2018-02-18,22.5,23.5,21.5,2.0,-1.5,22.902,23.5,22.0,1.5,-1.5,21.82,23.0,20.5,2.5,-2.0,22.3,23.5,20.5,3.0,-2.0,7639,16834,3664,13170,1374
2018-02-25,21.0,21.5,20.5,1.0,-0.5,21.4,21.5,21.0,0.5,-0.5,20.2,20.5,19.5,1.0,-0.5,20.55,21.5,19.5,2.0,-1.0,5469,7693,3732,3961,3064
2018-03-04,20.4,21.0,19.5,1.5,1.5,20.9,21.0,20.5,0.5,0.5,20.038,20.5,19.5,1.0,0.5,20.4,21.0,20.0,1.0,0.5,4290,5456,2677,2779,-1886
2018-03-11,19.5,21.0,18.5,2.5,-2.5,19.69,21.0,18.5,2.5,-2.5,18.51,19.5,17.5,2.0,-2.0,18.85,20.0,17.5,2.5,-2.5,5860,6941,4964,1977,1605
2018-03-18,17.7,18.0,17.5,0.5,-0.5,17.7,18.0,17.5,0.5,-0.5,16.8,17.5,15.5,2.0,-2.0,17.2,18.0,16.0,2.0,-2.0,6935,13344,2129,11215,9977
2018-03-25,15.875,16.0,15.5,0.5,0.0,16.15,16.6,16.0,0.6000000000000014,-0.6000000000000014,15.125,15.5,15.0,0.5,-0.5,15.5,16.0,15.0,1.0,-1.0,4186,5772,1130,4642,114
2018-04-01,14.8,16.0,14.0,2.0,-2.0,14.9,16.0,14.0,2.0,-2.0,13.8,15.0,12.5,2.5,-2.5,14.1,15.0,13.0,2.0,-2.0,11282,18845,5897,12948,12127
