Date,Direxion Daily Small Cap Bull 3X Shares_Open_average,Direxion Daily Small Cap Bull 3X Shares_Open_max,Direxion Daily Small Cap Bull 3X Shares_Open_min,Direxion Daily Small Cap Bull 3X Shares_Open_volatility,Direxion Daily Small Cap Bull 3X Shares_Open_change,Direxion Daily Small Cap Bull 3X Shares_High_average,Direxion Daily Small Cap Bull 3X Shares_High_max,Direxion Daily Small Cap Bull 3X Shares_High_min,Direxion Daily Small Cap Bull 3X Shares_High_volatility,Direxion Daily Small Cap Bull 3X Shares_High_change,Direxion Daily Small Cap Bull 3X Shares_Low_average,Direxion Daily Small Cap Bull 3X Shares_Low_max,Direxion Daily Small Cap Bull 3X Shares_Low_min,Direxion Daily Small Cap Bull 3X Shares_Low_volatility,Direxion Daily Small Cap Bull 3X Shares_Low_change,Direxion Daily Small Cap Bull 3X Shares_Close_average,Direxion Daily Small Cap Bull 3X Shares_Close_max,Direxion Daily Small Cap Bull 3X Shares_Close_min,Direxion Daily Small Cap Bull 3X Shares_Close_volatility,Direxion Daily Small Cap Bull 3X Shares_Close_change
2018-01-14,78.33,78.33,78.33,0.0,0.0,79.9,79.9,79.9,0.0,0.0,78.28,78.28,78.28,0.0,0.0,79.89,79.89,79.89,0.0,0.0
2018-01-21,79.32,79.32,79.32,0.0,0.0,80.48,80.48,80.48,0.0,0.0,78.66,78.66,78.66,0.0,0.0,78.79,78.79,78.79,0.0,0.0
2018-01-28,69.89,69.89,69.89,0.0,0.0,71.51,71.51,71.51,0.0,0.0,63.5,63.5,63.5,0.0,0.0,63.54,63.54,63.54,0.0,0.0
2018-02-04,61.81,61.81,61.81,0.0,0.0,64.28,64.28,64.28,0.0,0.0,60.01,60.01,60.01,0.0,0.0,63.32,63.32,63.32,0.0,0.0
2018-02-11,69.06,69.06,69.06,0.0,0.0,71.28,71.28,71.28,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-02-18,71.49,71.49,71.49,0.0,0.0,72.56,72.56,72.56,0.0,0.0,70.17,70.17,70.17,0.0,0.0,72.14,72.14,72.14,0.0,0.0
2018-02-25,67.77,67.77,67.77,0.0,0.0,70.94,70.94,70.94,0.0,0.0,67.22,67.22,67.22,0.0,0.0,70.13,70.13,70.13,0.0,0.0
2018-03-04,77.84,77.84,77.84,0.0,0.0,78.44,78.44,78.44,0.0,0.0,76.77,76.77,76.77,0.0,0.0,77.8,77.8,77.8,0.0,0.0
2018-03-11,74.74,74.74,74.74,0.0,0.0,74.8,74.8,74.8,0.0,0.0,70.9,70.9,70.9,0.0,0.0,73.54,73.54,73.54,0.0,0.0
2018-03-18,67.91,67.91,67.91,0.0,0.0,69.6,69.6,69.6,0.0,0.0,65.77,65.77,65.77,0.0,0.0,69.57,69.57,69.57,0.0,0.0
2018-03-25,66.98,66.98,66.98,0.0,0.0,67.68,67.68,67.68,0.0,0.0,61.14,61.14,61.14,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-04-01,66.4,66.4,66.4,0.0,0.0,67.91,67.91,67.91,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.2,65.2,65.2,0.0,0.0
2018-04-08,70.86,70.86,70.86,0.0,0.0,72.15,72.15,72.15,0.0,0.0,69.87,69.87,69.87,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-04-15,72.03,72.03,72.03,0.0,0.0,72.7,72.7,72.7,0.0,0.0,70.34,70.34,70.34,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2018-04-22,70.88,70.88,70.88,0.0,0.0,71.71,71.71,71.71,0.0,0.0,68.54,68.54,68.54,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2018-04-29,72.37,72.37,72.37,0.0,0.0,74.58,74.58,74.58,0.0,0.0,72.18,72.18,72.18,0.0,0.0,73.41,73.41,73.41,0.0,0.0
2018-05-06,77.64,77.64,77.64,0.0,0.0,78.58,78.58,78.58,0.0,0.0,76.28,76.28,76.28,0.0,0.0,76.54,76.54,76.54,0.0,0.0
2018-05-13,81.0,81.0,81.0,0.0,0.0,82.27,82.27,82.27,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.85,81.85,81.85,0.0,0.0
2018-05-20,80.07,80.07,80.07,0.0,0.0,80.62,80.62,80.62,0.0,0.0,79.61,79.61,79.61,0.0,0.0,80.05,80.05,80.05,0.0,0.0
2018-05-27,83.67,83.67,83.67,0.0,0.0,84.25,84.25,84.25,0.0,0.0,82.2,82.2,82.2,0.0,0.0,84.2,84.2,84.2,0.0,0.0
2018-06-03,87.2,87.2,87.2,0.0,0.0,87.89,87.89,87.89,0.0,0.0,86.64,86.64,86.64,0.0,0.0,87.38,87.38,87.38,0.0,0.0
2018-06-10,87.5,87.5,87.5,0.0,0.0,90.13,90.13,90.13,0.0,0.0,87.18,87.18,87.18,0.0,0.0,90.09,90.09,90.09,0.0,0.0
2018-06-17,87.8,87.8,87.8,0.0,0.0,88.05,88.05,88.05,0.0,0.0,83.03,83.03,83.03,0.0,0.0,84.47,84.47,84.47,0.0,0.0
2018-06-24,80.74,80.74,80.74,0.0,0.0,84.06,84.06,84.06,0.0,0.0,80.35,80.35,80.35,0.0,0.0,83.98,83.98,83.98,0.0,0.0
2018-07-01,91.29,91.29,91.29,0.0,0.0,91.71,91.71,91.71,0.0,0.0,90.24,90.24,90.24,0.0,0.0,91.71,91.71,91.71,0.0,0.0
2018-07-08,89.07,89.07,89.07,0.0,0.0,89.57,89.57,89.57,0.0,0.0,86.29,86.29,86.29,0.0,0.0,87.56,87.56,87.56,0.0,0.0
2018-07-15,89.88,89.88,89.88,0.0,0.0,91.17,91.17,91.17,0.0,0.0,89.04,89.04,89.04,0.0,0.0,90.42,90.42,90.42,0.0,0.0
2018-07-22,84.84,84.84,84.84,0.0,0.0,85.99,85.99,85.99,0.0,0.0,83.04,83.04,83.04,0.0,0.0,83.24,83.24,83.24,0.0,0.0
2018-07-29,86.28,86.28,86.28,0.0,0.0,88.13,88.13,88.13,0.0,0.0,85.69,85.69,85.69,0.0,0.0,87.84,87.84,87.84,0.0,0.0
2018-08-05,88.5,88.5,88.5,0.0,0.0,88.89,88.89,88.89,0.0,0.0,85.52,85.52,85.52,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2018-08-12,90.0,90.0,90.0,0.0,0.0,90.49,90.49,90.49,0.0,0.0,88.43,88.43,88.43,0.0,0.0,89.93,89.93,89.93,0.0,0.0
2018-08-19,95.17,95.17,95.17,0.0,0.0,96.5,96.5,96.5,0.0,0.0,94.38,94.38,94.38,0.0,0.0,94.75,94.75,94.75,0.0,0.0
2018-08-26,94.8,94.8,94.8,0.0,0.0,97.12,97.12,97.12,0.0,0.0,94.76,94.76,94.76,0.0,0.0,96.51,96.51,96.51,0.0,0.0
2018-09-02,93.5,93.5,93.5,0.0,0.0,94.15,94.15,94.15,0.0,0.0,92.11,92.11,92.11,0.0,0.0,92.89,92.89,92.89,0.0,0.0
2018-09-09,93.66,93.66,93.66,0.0,0.0,93.83,93.83,93.83,0.0,0.0,90.31,90.31,90.31,0.0,0.0,90.56,90.56,90.56,0.0,0.0
2018-09-16,91.69,91.69,91.69,0.0,0.0,92.0,92.0,92.0,0.0,0.0,89.22,89.22,89.22,0.0,0.0,90.81,90.81,90.81,0.0,0.0
2018-09-23,90.6,90.6,90.6,0.0,0.0,90.68,90.68,90.68,0.0,0.0,85.03,85.03,85.03,0.0,0.0,85.79,85.79,85.79,0.0,0.0
2018-09-30,78.82,78.82,78.82,0.0,0.0,79.74,79.74,79.74,0.0,0.0,77.04,77.04,77.04,0.0,0.0,78.96,78.96,78.96,0.0,0.0
2018-10-07,66.87,66.87,66.87,0.0,0.0,69.33,69.33,69.33,0.0,0.0,65.75,65.75,65.75,0.0,0.0,67.92,67.92,67.92,0.0,0.0
2018-10-14,67.2,67.2,67.2,0.0,0.0,67.85,67.85,67.85,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.98,65.98,65.98,0.0,0.0
2018-10-21,60.61,60.61,60.61,0.0,0.0,62.38,62.38,62.38,0.0,0.0,55.76,55.76,55.76,0.0,0.0,57.77,57.77,57.77,0.0,0.0
2018-10-28,66.54,66.54,66.54,0.0,0.0,67.3,67.3,67.3,0.0,0.0,64.34,64.34,64.34,0.0,0.0,66.31,66.31,66.31,0.0,0.0
2018-11-04,66.31,66.31,66.31,0.0,0.0,66.45,66.45,66.45,0.0,0.0,62.17,62.17,62.17,0.0,0.0,62.46,62.46,62.46,0.0,0.0
