Date,First Trust SMID Cap Rising Dividend Achievers_Open_average,First Trust SMID Cap Rising Dividend Achievers_Open_max,First Trust SMID Cap Rising Dividend Achievers_Open_min,First Trust SMID Cap Rising Dividend Achievers_Open_volatility,First Trust SMID Cap Rising Dividend Achievers_Open_change,First Trust SMID Cap Rising Dividend Achievers_High_average,First Trust SMID Cap Rising Dividend Achievers_High_max,First Trust SMID Cap Rising Dividend Achievers_High_min,First Trust SMID Cap Rising Dividend Achievers_High_volatility,First Trust SMID Cap Rising Dividend Achievers_High_change,First Trust SMID Cap Rising Dividend Achievers_Low_average,First Trust SMID Cap Rising Dividend Achievers_Low_max,First Trust SMID Cap Rising Dividend Achievers_Low_min,First Trust SMID Cap Rising Dividend Achievers_Low_volatility,First Trust SMID Cap Rising Dividend Achievers_Low_change,First Trust SMID Cap Rising Dividend Achievers_Close_average,First Trust SMID Cap Rising Dividend Achievers_Close_max,First Trust SMID Cap Rising Dividend Achievers_Close_min,First Trust SMID Cap Rising Dividend Achievers_Close_volatility,First Trust SMID Cap Rising Dividend Achievers_Close_change
2018-01-14,21.62,21.62,21.62,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2018-01-21,21.89,21.89,21.89,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2018-01-28,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2018-02-04,20.17,20.17,20.17,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2018-02-11,21.4,21.4,21.4,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-02-18,21.37,21.37,21.37,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-02-25,20.79,20.79,20.79,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-03-04,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2018-03-11,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-03-18,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.53,20.53,20.53,0.0,0.0
