Date,SPDR S&P TransportationEtf_Open_average,SPDR S&P TransportationEtf_Open_max,SPDR S&P TransportationEtf_Open_min,SPDR S&P TransportationEtf_Open_volatility,SPDR S&P TransportationEtf_Open_change,SPDR S&P TransportationEtf_High_average,SPDR S&P TransportationEtf_High_max,SPDR S&P TransportationEtf_High_min,SPDR S&P TransportationEtf_High_volatility,SPDR S&P TransportationEtf_High_change,SPDR S&P TransportationEtf_Low_average,SPDR S&P TransportationEtf_Low_max,SPDR S&P TransportationEtf_Low_min,SPDR S&P TransportationEtf_Low_volatility,SPDR S&P TransportationEtf_Low_change,SPDR S&P TransportationEtf_Close_average,SPDR S&P TransportationEtf_Close_max,SPDR S&P TransportationEtf_Close_min,SPDR S&P TransportationEtf_Close_volatility,SPDR S&P TransportationEtf_Close_change
2018-01-14,68.28,68.28,68.28,0.0,0.0,68.82,68.82,68.82,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.82,68.82,68.82,0.0,0.0
2018-01-21,67.56,67.56,67.56,0.0,0.0,68.04,68.04,68.04,0.0,0.0,67.29,67.29,67.29,0.0,0.0,67.97,67.97,67.97,0.0,0.0
2018-01-28,66.66,66.66,66.66,0.0,0.0,66.66,66.66,66.66,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-02-04,62.28,62.28,62.28,0.0,0.0,62.28,62.28,62.28,0.0,0.0,60.1,60.1,60.1,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-02-11,63.73,63.73,63.73,0.0,0.0,64.45,64.45,64.45,0.0,0.0,63.73,63.73,63.73,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2018-02-18,63.58,63.58,63.58,0.0,0.0,63.88,63.88,63.88,0.0,0.0,63.35,63.35,63.35,0.0,0.0,63.88,63.88,63.88,0.0,0.0
2018-02-25,61.85,61.85,61.85,0.0,0.0,62.74,62.74,62.74,0.0,0.0,61.66,61.66,61.66,0.0,0.0,62.73,62.73,62.73,0.0,0.0
2018-03-04,64.21,64.21,64.21,0.0,0.0,65.24,65.24,65.24,0.0,0.0,64.12,64.12,64.12,0.0,0.0,65.24,65.24,65.24,0.0,0.0
2018-03-11,64.88,64.88,64.88,0.0,0.0,65.69,65.69,65.69,0.0,0.0,64.88,64.88,64.88,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-03-18,63.32,63.32,63.32,0.0,0.0,63.56,63.56,63.56,0.0,0.0,62.08,62.08,62.08,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2018-03-25,62.24,62.24,62.24,0.0,0.0,63.18,63.18,63.18,0.0,0.0,62.24,62.24,62.24,0.0,0.0,62.8,62.8,62.8,0.0,0.0
2018-04-01,63.1,63.1,63.1,0.0,0.0,63.27,63.27,63.27,0.0,0.0,61.27,61.27,61.27,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2018-04-08,62.79,62.79,62.79,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.28,62.28,62.28,0.0,0.0,62.42,62.42,62.42,0.0,0.0
2018-04-15,63.79,63.79,63.79,0.0,0.0,63.85,63.85,63.85,0.0,0.0,63.08,63.08,63.08,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2018-04-22,61.99,61.99,61.99,0.0,0.0,62.47,62.47,62.47,0.0,0.0,61.99,61.99,61.99,0.0,0.0,62.47,62.47,62.47,0.0,0.0
2018-04-29,61.1,61.1,61.1,0.0,0.0,62.26,62.26,62.26,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.92,61.92,61.92,0.0,0.0
2018-05-06,63.19,63.19,63.19,0.0,0.0,64.37,64.37,64.37,0.0,0.0,63.19,63.19,63.19,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2018-05-13,64.38,64.38,64.38,0.0,0.0,64.62,64.62,64.62,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2018-05-20,65.1,65.1,65.1,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.52,65.52,65.52,0.0,0.0
