Date,ProShares Russell 2000 Dividend Gro_etf_Open_average,ProShares Russell 2000 Dividend Gro_etf_Open_max,ProShares Russell 2000 Dividend Gro_etf_Open_min,ProShares Russell 2000 Dividend Gro_etf_Open_volatility,ProShares Russell 2000 Dividend Gro_etf_Open_change,ProShares Russell 2000 Dividend Gro_etf_High_average,ProShares Russell 2000 Dividend Gro_etf_High_max,ProShares Russell 2000 Dividend Gro_etf_High_min,ProShares Russell 2000 Dividend Gro_etf_High_volatility,ProShares Russell 2000 Dividend Gro_etf_High_change,ProShares Russell 2000 Dividend Gro_etf_Low_average,ProShares Russell 2000 Dividend Gro_etf_Low_max,ProShares Russell 2000 Dividend Gro_etf_Low_min,ProShares Russell 2000 Dividend Gro_etf_Low_volatility,ProShares Russell 2000 Dividend Gro_etf_Low_change,ProShares Russell 2000 Dividend Gro_etf_Close_average,ProShares Russell 2000 Dividend Gro_etf_Close_max,ProShares Russell 2000 Dividend Gro_etf_Close_min,ProShares Russell 2000 Dividend Gro_etf_Close_volatility,ProShares Russell 2000 Dividend Gro_etf_Close_change
2018-01-14,54.97,54.97,54.97,0.0,0.0,55.74,55.74,55.74,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2018-01-21,56.03,56.03,56.03,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.76,55.76,55.76,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2018-01-28,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-02-04,52.07,52.07,52.07,0.0,0.0,52.48,52.48,52.48,0.0,0.0,51.18,51.18,51.18,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-02-11,53.53,53.53,53.53,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-02-18,53.56,53.56,53.56,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-02-25,52.1,52.1,52.1,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-03-04,54.07,54.07,54.07,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-03-11,54.0,54.0,54.0,0.0,0.0,54.54,54.54,54.54,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2018-03-18,53.54,53.54,53.54,0.0,0.0,53.54,53.54,53.54,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.16,52.16,52.16,0.0,0.0
2018-03-25,53.34,53.34,53.34,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-04-01,53.95,53.95,53.95,0.0,0.0,54.2,54.2,54.2,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-04-08,53.93,53.93,53.93,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-04-15,54.53,54.53,54.53,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-04-22,54.58,54.58,54.58,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-04-29,53.67,53.67,53.67,0.0,0.0,55.09,55.09,55.09,0.0,0.0,53.62,53.62,53.62,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2018-05-06,55.36,55.36,55.36,0.0,0.0,55.36,55.36,55.36,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2018-05-13,55.11,55.11,55.11,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2018-05-20,56.02,56.02,56.02,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-05-27,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.46,56.46,56.46,0.0,0.0
2018-06-03,57.0,57.0,57.0,0.0,0.0,57.14,57.14,57.14,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2018-06-10,57.03,57.03,57.03,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2018-06-17,58.1,58.1,58.1,0.0,0.0,58.27,58.27,58.27,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2018-06-24,57.21,57.21,57.21,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.07,57.07,57.07,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-07-01,58.74,58.74,58.74,0.0,0.0,58.98,58.98,58.98,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-07-08,58.4,58.4,58.4,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-07-15,58.57,58.57,58.57,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.5,58.5,58.5,0.0,0.0
