Date,SPDR S&P Homebuilders_etf_Open_average,SPDR S&P Homebuilders_etf_Open_max,SPDR S&P Homebuilders_etf_Open_min,SPDR S&P Homebuilders_etf_Open_volatility,SPDR S&P Homebuilders_etf_Open_change,SPDR S&P Homebuilders_etf_High_average,SPDR S&P Homebuilders_etf_High_max,SPDR S&P Homebuilders_etf_High_min,SPDR S&P Homebuilders_etf_High_volatility,SPDR S&P Homebuilders_etf_High_change,SPDR S&P Homebuilders_etf_Low_average,SPDR S&P Homebuilders_etf_Low_max,SPDR S&P Homebuilders_etf_Low_min,SPDR S&P Homebuilders_etf_Low_volatility,SPDR S&P Homebuilders_etf_Low_change,SPDR S&P Homebuilders_etf_Close_average,SPDR S&P Homebuilders_etf_Close_max,SPDR S&P Homebuilders_etf_Close_min,SPDR S&P Homebuilders_etf_Close_volatility,SPDR S&P Homebuilders_etf_Close_change
2018-01-14,46.23,46.23,46.23,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-01-21,46.32,46.32,46.32,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2018-01-28,44.12,44.12,44.12,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-02-04,41.45,41.45,41.45,0.0,0.0,41.62,41.62,41.62,0.0,0.0,40.13,40.13,40.13,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2018-02-11,42.72,42.72,42.72,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-02-18,42.3,42.3,42.3,0.0,0.0,42.49,42.49,42.49,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2018-02-25,39.82,39.82,39.82,0.0,0.0,40.35,40.35,40.35,0.0,0.0,39.54,39.54,39.54,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-03-04,41.42,41.42,41.42,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.15,41.15,41.15,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2018-03-11,41.15,41.15,41.15,0.0,0.0,41.73,41.73,41.73,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2018-03-18,40.69,40.69,40.69,0.0,0.0,41.02,41.02,41.02,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2018-03-25,40.36,40.36,40.36,0.0,0.0,40.99,40.99,40.99,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-04-01,41.33,41.33,41.33,0.0,0.0,41.73,41.73,41.73,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2018-04-08,40.23,40.23,40.23,0.0,0.0,40.31,40.31,40.31,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-04-15,39.95,39.95,39.95,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2018-04-22,39.51,39.51,39.51,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2018-04-29,38.91,38.91,38.91,0.0,0.0,39.77,39.77,39.77,0.0,0.0,38.79,38.79,38.79,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-05-06,39.51,39.51,39.51,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.73,39.73,39.73,0.0,0.0
2018-05-13,39.32,39.32,39.32,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-05-20,39.34,39.34,39.34,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-05-27,39.37,39.37,39.37,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-06-03,40.5,40.5,40.5,0.0,0.0,41.38,41.38,41.38,0.0,0.0,40.49,40.49,40.49,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-06-10,40.8,40.8,40.8,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-06-17,40.09,40.09,40.09,0.0,0.0,40.27,40.27,40.27,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2018-06-24,39.53,39.53,39.53,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2018-07-01,40.26,40.26,40.26,0.0,0.0,40.49,40.49,40.49,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2018-07-08,40.42,40.42,40.42,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-07-15,41.34,41.34,41.34,0.0,0.0,41.43,41.43,41.43,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2018-07-22,39.45,39.45,39.45,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-07-29,39.38,39.38,39.38,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-08-05,39.66,39.66,39.66,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-08-12,39.16,39.16,39.16,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-08-19,40.48,40.48,40.48,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2018-08-26,39.88,39.88,39.88,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-09-02,40.14,40.14,40.14,0.0,0.0,40.29,40.29,40.29,0.0,0.0,39.87,39.87,39.87,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-09-09,40.16,40.16,40.16,0.0,0.0,40.46,40.46,40.46,0.0,0.0,39.98,39.98,39.98,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2018-09-16,39.91,39.91,39.91,0.0,0.0,40.04,40.04,40.04,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-09-23,38.64,38.64,38.64,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-09-30,37.43,37.43,37.43,0.0,0.0,37.66,37.66,37.66,0.0,0.0,36.71,36.71,36.71,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-10-07,35.46,35.46,35.46,0.0,0.0,35.55,35.55,35.55,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2018-10-14,34.35,34.35,34.35,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-10-21,32.92,32.92,32.92,0.0,0.0,33.42,33.42,33.42,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-10-28,35.27,35.27,35.27,0.0,0.0,35.42,35.42,35.42,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-11-04,34.85,34.85,34.85,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-11-11,33.61,33.61,33.61,0.0,0.0,34.27,34.27,34.27,0.0,0.0,33.58,33.58,33.58,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-11-18,34.26,34.26,34.26,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-11-25,35.36,35.36,35.36,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-12-02,34.68,34.68,34.68,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2018-12-09,33.23,33.23,33.23,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-12-16,32.35,32.35,32.35,0.0,0.0,32.85,32.85,32.85,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-12-23,32.59,32.59,32.59,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-12-30,32.82,32.82,32.82,0.0,0.0,33.83,33.83,33.83,0.0,0.0,32.76,32.76,32.76,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-01-06,35.16,35.16,35.16,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.39,35.39,35.39,0.0,0.0
