Date,Vanguard Global ex-US Real Estate_Open_average,Vanguard Global ex-US Real Estate_Open_max,Vanguard Global ex-US Real Estate_Open_min,Vanguard Global ex-US Real Estate_Open_volatility,Vanguard Global ex-US Real Estate_Open_change,Vanguard Global ex-US Real Estate_High_average,Vanguard Global ex-US Real Estate_High_max,Vanguard Global ex-US Real Estate_High_min,Vanguard Global ex-US Real Estate_High_volatility,Vanguard Global ex-US Real Estate_High_change,Vanguard Global ex-US Real Estate_Low_average,Vanguard Global ex-US Real Estate_Low_max,Vanguard Global ex-US Real Estate_Low_min,Vanguard Global ex-US Real Estate_Low_volatility,Vanguard Global ex-US Real Estate_Low_change,Vanguard Global ex-US Real Estate_Close_average,Vanguard Global ex-US Real Estate_Close_max,Vanguard Global ex-US Real Estate_Close_min,Vanguard Global ex-US Real Estate_Close_volatility,Vanguard Global ex-US Real Estate_Close_change
2018-01-14,63.5,63.5,63.5,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.47,63.47,63.47,0.0,0.0,63.87,63.87,63.87,0.0,0.0
2018-01-21,64.21,64.21,64.21,0.0,0.0,64.24,64.24,64.24,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.02,64.02,64.02,0.0,0.0
2018-01-28,61.45,61.45,61.45,0.0,0.0,61.69,61.69,61.69,0.0,0.0,59.8,59.8,59.8,0.0,0.0,59.85,59.85,59.85,0.0,0.0
2018-02-04,58.66,58.66,58.66,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-02-11,60.5,60.5,60.5,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.48,60.48,60.48,0.0,0.0,60.69,60.69,60.69,0.0,0.0
2018-02-18,60.87,60.87,60.87,0.0,0.0,61.36,61.36,61.36,0.0,0.0,60.8,60.8,60.8,0.0,0.0,61.34,61.34,61.34,0.0,0.0
2018-02-25,59.12,59.12,59.12,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.03,59.03,59.03,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2018-03-04,60.63,60.63,60.63,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2018-03-11,60.98,60.98,60.98,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2018-03-18,60.04,60.04,60.04,0.0,0.0,60.41,60.41,60.41,0.0,0.0,59.62,59.62,59.62,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-03-25,60.72,60.72,60.72,0.0,0.0,60.89,60.89,60.89,0.0,0.0,59.86,59.86,59.86,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2018-04-01,61.09,61.09,61.09,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.96,60.96,60.96,0.0,0.0,61.02,61.02,61.02,0.0,0.0
2018-04-08,61.3,61.3,61.3,0.0,0.0,61.38,61.38,61.38,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.33,61.33,61.33,0.0,0.0
2018-04-15,60.58,60.58,60.58,0.0,0.0,60.68,60.68,60.68,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.47,60.47,60.47,0.0,0.0
2018-04-22,61.58,61.58,61.58,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2018-04-29,60.83,60.83,60.83,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.73,60.73,60.73,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2018-05-06,62.1,62.1,62.1,0.0,0.0,62.19,62.19,62.19,0.0,0.0,61.84,61.84,61.84,0.0,0.0,61.89,61.89,61.89,0.0,0.0
