Date,SPDR S&P Software & ServicesEtf_Open_average,SPDR S&P Software & ServicesEtf_Open_max,SPDR S&P Software & ServicesEtf_Open_min,SPDR S&P Software & ServicesEtf_Open_volatility,SPDR S&P Software & ServicesEtf_Open_change,SPDR S&P Software & ServicesEtf_High_average,SPDR S&P Software & ServicesEtf_High_max,SPDR S&P Software & ServicesEtf_High_min,SPDR S&P Software & ServicesEtf_High_volatility,SPDR S&P Software & ServicesEtf_High_change,SPDR S&P Software & ServicesEtf_Low_average,SPDR S&P Software & ServicesEtf_Low_max,SPDR S&P Software & ServicesEtf_Low_min,SPDR S&P Software & ServicesEtf_Low_volatility,SPDR S&P Software & ServicesEtf_Low_change,SPDR S&P Software & ServicesEtf_Close_average,SPDR S&P Software & ServicesEtf_Close_max,SPDR S&P Software & ServicesEtf_Close_min,SPDR S&P Software & ServicesEtf_Close_volatility,SPDR S&P Software & ServicesEtf_Close_change
2018-01-14,73.93,73.93,73.93,0.0,0.0,74.11,74.11,74.11,0.0,0.0,73.67,73.67,73.67,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2018-01-21,75.31,75.31,75.31,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2018-01-28,73.88,73.88,73.88,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.19,73.19,73.19,0.0,0.0
2018-02-04,70.32,70.32,70.32,0.0,0.0,70.92,70.92,70.92,0.0,0.0,68.44,68.44,68.44,0.0,0.0,70.5,70.5,70.5,0.0,0.0
2018-02-11,74.78,74.78,74.78,0.0,0.0,75.43,75.43,75.43,0.0,0.0,74.78,74.78,74.78,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2018-02-18,75.52,75.52,75.52,0.0,0.0,76.09,76.09,76.09,0.0,0.0,75.14,75.14,75.14,0.0,0.0,75.86,75.86,75.86,0.0,0.0
2018-02-25,74.26,74.26,74.26,0.0,0.0,76.09,76.09,76.09,0.0,0.0,74.26,74.26,74.26,0.0,0.0,76.09,76.09,76.09,0.0,0.0
2018-03-04,78.91,78.91,78.91,0.0,0.0,79.2,79.2,79.2,0.0,0.0,78.91,78.91,78.91,0.0,0.0,79.17,79.17,79.17,0.0,0.0
2018-03-11,78.57,78.57,78.57,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.54,78.54,78.54,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2018-03-18,76.24,76.24,76.24,0.0,0.0,76.53,76.53,76.53,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2018-03-25,74.39,74.39,74.39,0.0,0.0,75.91,75.91,75.91,0.0,0.0,74.39,74.39,74.39,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-04-01,75.67,75.67,75.67,0.0,0.0,75.67,75.67,75.67,0.0,0.0,73.98,73.98,73.98,0.0,0.0,74.59,74.59,74.59,0.0,0.0
2018-04-08,76.95,76.95,76.95,0.0,0.0,76.95,76.95,76.95,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.3,76.3,76.3,0.0,0.0
2018-04-15,78.3,78.3,78.3,0.0,0.0,78.43,78.43,78.43,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.8,77.8,77.8,0.0,0.0
2018-04-22,77.12,77.12,77.12,0.0,0.0,77.35,77.35,77.35,0.0,0.0,77.12,77.12,77.12,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2018-04-29,77.94,77.94,77.94,0.0,0.0,78.94,78.94,78.94,0.0,0.0,77.94,77.94,77.94,0.0,0.0,78.81,78.81,78.81,0.0,0.0
2018-05-06,81.03,81.03,81.03,0.0,0.0,81.03,81.03,81.03,0.0,0.0,80.52,80.52,80.52,0.0,0.0,80.76,80.76,80.76,0.0,0.0
2018-05-13,80.04,80.04,80.04,0.0,0.0,80.59,80.59,80.59,0.0,0.0,80.03,80.03,80.03,0.0,0.0,80.47,80.47,80.47,0.0,0.0
2018-05-20,80.37,80.37,80.37,0.0,0.0,80.43,80.43,80.43,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.23,80.23,80.23,0.0,0.0
2018-05-27,81.28,81.28,81.28,0.0,0.0,81.74,81.74,81.74,0.0,0.0,81.23,81.23,81.23,0.0,0.0,81.64,81.64,81.64,0.0,0.0
2018-06-03,81.93,81.93,81.93,0.0,0.0,82.88,82.88,82.88,0.0,0.0,81.93,81.93,81.93,0.0,0.0,82.76,82.76,82.76,0.0,0.0
2018-06-10,84.68,84.68,84.68,0.0,0.0,84.99,84.99,84.99,0.0,0.0,84.2,84.2,84.2,0.0,0.0,84.99,84.99,84.99,0.0,0.0
2018-06-17,83.87,83.87,83.87,0.0,0.0,83.87,83.87,83.87,0.0,0.0,82.86,82.86,82.86,0.0,0.0,82.96,82.96,82.96,0.0,0.0
2018-06-24,81.1,81.1,81.1,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.0,81.0,81.0,0.0,0.0
2018-07-01,83.42,83.42,83.42,0.0,0.0,84.37,84.37,84.37,0.0,0.0,83.42,83.42,83.42,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2018-07-08,86.75,86.75,86.75,0.0,0.0,86.75,86.75,86.75,0.0,0.0,85.88,85.88,85.88,0.0,0.0,86.34,86.34,86.34,0.0,0.0
2018-07-15,86.81,86.81,86.81,0.0,0.0,86.82,86.82,86.82,0.0,0.0,86.43,86.43,86.43,0.0,0.0,86.43,86.43,86.43,0.0,0.0
2018-07-22,86.8,86.8,86.8,0.0,0.0,86.8,86.8,86.8,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.4,84.4,84.4,0.0,0.0
2018-07-29,84.73,84.73,84.73,0.0,0.0,84.73,84.73,84.73,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2018-08-05,85.56,85.56,85.56,0.0,0.0,86.56,86.56,86.56,0.0,0.0,85.56,85.56,85.56,0.0,0.0,86.29,86.29,86.29,0.0,0.0
2018-08-12,86.16,86.16,86.16,0.0,0.0,86.54,86.54,86.54,0.0,0.0,85.81,85.81,85.81,0.0,0.0,86.54,86.54,86.54,0.0,0.0
2018-08-19,88.44,88.44,88.44,0.0,0.0,89.94,89.94,89.94,0.0,0.0,88.44,88.44,88.44,0.0,0.0,89.94,89.94,89.94,0.0,0.0
2018-08-26,90.53,90.53,90.53,0.0,0.0,91.24,91.24,91.24,0.0,0.0,90.53,90.53,90.53,0.0,0.0,91.24,91.24,91.24,0.0,0.0
