Date,Schwab amental Intl Large CompanyEtf_Open_average,Schwab amental Intl Large CompanyEtf_Open_max,Schwab amental Intl Large CompanyEtf_Open_min,Schwab amental Intl Large CompanyEtf_Open_volatility,Schwab amental Intl Large CompanyEtf_Open_change,Schwab amental Intl Large CompanyEtf_High_average,Schwab amental Intl Large CompanyEtf_High_max,Schwab amental Intl Large CompanyEtf_High_min,Schwab amental Intl Large CompanyEtf_High_volatility,Schwab amental Intl Large CompanyEtf_High_change,Schwab amental Intl Large CompanyEtf_Low_average,Schwab amental Intl Large CompanyEtf_Low_max,Schwab amental Intl Large CompanyEtf_Low_min,Schwab amental Intl Large CompanyEtf_Low_volatility,Schwab amental Intl Large CompanyEtf_Low_change,Schwab amental Intl Large CompanyEtf_Close_average,Schwab amental Intl Large CompanyEtf_Close_max,Schwab amental Intl Large CompanyEtf_Close_min,Schwab amental Intl Large CompanyEtf_Close_volatility,Schwab amental Intl Large CompanyEtf_Close_change
2018-01-14,32.0,32.0,32.0,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-01-21,32.4,32.4,32.4,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-01-28,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-02-04,29.62,29.62,29.62,0.0,0.0,29.66,29.66,29.66,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2018-02-11,30.58,30.58,30.58,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-02-18,30.54,30.54,30.54,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-02-25,29.58,29.58,29.58,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-03-04,30.15,30.15,30.15,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-03-11,30.16,30.16,30.16,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-03-18,29.58,29.58,29.58,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-03-25,29.87,29.87,29.87,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-04-01,30.06,30.06,30.06,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-04-08,30.63,30.63,30.63,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-04-15,30.83,30.83,30.83,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-04-22,30.78,30.78,30.78,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-04-29,30.42,30.42,30.42,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-05-06,31.16,31.16,31.16,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-05-13,31.01,31.01,31.01,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-05-20,30.3,30.3,30.3,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-05-27,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-06-03,30.4,30.4,30.4,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-06-10,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-06-17,29.91,29.91,29.91,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-06-24,29.59,29.59,29.59,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-07-01,29.75,29.75,29.75,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-07-08,29.77,29.77,29.77,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-07-15,29.78,29.78,29.78,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-07-22,30.33,30.33,30.33,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.24,30.24,30.24,0.0,0.0
