Date,iShares MSCI EAFE_Open_average,iShares MSCI EAFE_Open_max,iShares MSCI EAFE_Open_min,iShares MSCI EAFE_Open_volatility,iShares MSCI EAFE_Open_change,iShares MSCI EAFE_High_average,iShares MSCI EAFE_High_max,iShares MSCI EAFE_High_min,iShares MSCI EAFE_High_volatility,iShares MSCI EAFE_High_change,iShares MSCI EAFE_Low_average,iShares MSCI EAFE_Low_max,iShares MSCI EAFE_Low_min,iShares MSCI EAFE_Low_volatility,iShares MSCI EAFE_Low_change,iShares MSCI EAFE_Close_average,iShares MSCI EAFE_Close_max,iShares MSCI EAFE_Close_min,iShares MSCI EAFE_Close_volatility,iShares MSCI EAFE_Close_change
2018-01-14,74.19,74.19,74.19,0.0,0.0,74.54,74.54,74.54,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.51,74.51,74.51,0.0,0.0
2018-01-21,74.65,74.65,74.65,0.0,0.0,74.72,74.72,74.72,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.56,74.56,74.56,0.0,0.0
2018-01-28,71.64,71.64,71.64,0.0,0.0,71.97,71.97,71.97,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.51,69.51,69.51,0.0,0.0
2018-02-04,69.1,69.1,69.1,0.0,0.0,69.78,69.78,69.78,0.0,0.0,68.88,68.88,68.88,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-02-11,71.21,71.21,71.21,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.18,71.18,71.18,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2018-02-18,71.64,71.64,71.64,0.0,0.0,72.03,72.03,72.03,0.0,0.0,71.39,71.39,71.39,0.0,0.0,72.01,72.01,72.01,0.0,0.0
2018-02-25,68.91,68.91,68.91,0.0,0.0,69.84,69.84,69.84,0.0,0.0,68.89,68.89,68.89,0.0,0.0,69.79,69.79,69.79,0.0,0.0
2018-03-04,70.86,70.86,70.86,0.0,0.0,71.01,71.01,71.01,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.86,70.86,70.86,0.0,0.0
2018-03-11,70.21,70.21,70.21,0.0,0.0,70.22,70.22,70.22,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2018-03-18,68.98,68.98,68.98,0.0,0.0,69.21,69.21,69.21,0.0,0.0,68.29,68.29,68.29,0.0,0.0,69.16,69.16,69.16,0.0,0.0
2018-03-25,69.41,69.41,69.41,0.0,0.0,69.57,69.57,69.57,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.72,68.72,68.72,0.0,0.0
2018-04-01,70.07,70.07,70.07,0.0,0.0,70.44,70.44,70.44,0.0,0.0,69.86,69.86,69.86,0.0,0.0,69.97,69.97,69.97,0.0,0.0
2018-04-08,70.97,70.97,70.97,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.9,70.9,70.9,0.0,0.0
2018-04-15,70.99,70.99,70.99,0.0,0.0,71.07,71.07,71.07,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.96,70.96,70.96,0.0,0.0
2018-04-22,70.89,70.89,70.89,0.0,0.0,71.14,71.14,71.14,0.0,0.0,70.69,70.69,70.69,0.0,0.0,70.74,70.74,70.74,0.0,0.0
