Date,WisdomTree MidCap Earnings_Open_average,WisdomTree MidCap Earnings_Open_max,WisdomTree MidCap Earnings_Open_min,WisdomTree MidCap Earnings_Open_volatility,WisdomTree MidCap Earnings_Open_change,WisdomTree MidCap Earnings_High_average,WisdomTree MidCap Earnings_High_max,WisdomTree MidCap Earnings_High_min,WisdomTree MidCap Earnings_High_volatility,WisdomTree MidCap Earnings_High_change,WisdomTree MidCap Earnings_Low_average,WisdomTree MidCap Earnings_Low_max,WisdomTree MidCap Earnings_Low_min,WisdomTree MidCap Earnings_Low_volatility,WisdomTree MidCap Earnings_Low_change,WisdomTree MidCap Earnings_Close_average,WisdomTree MidCap Earnings_Close_max,WisdomTree MidCap Earnings_Close_min,WisdomTree MidCap Earnings_Close_volatility,WisdomTree MidCap Earnings_Close_change
2018-01-14,41.38,41.38,41.38,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-01-21,41.55,41.55,41.55,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2018-01-28,39.59,39.59,39.59,0.0,0.0,39.95,39.95,39.95,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-02-04,38.19,38.19,38.19,0.0,0.0,38.75,38.75,38.75,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-02-11,39.48,39.48,39.48,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-02-18,39.61,39.61,39.61,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-02-25,38.69,38.69,38.69,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.59,38.59,38.59,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2018-03-04,40.2,40.2,40.2,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.98,39.98,39.98,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-03-11,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-03-18,38.27,38.27,38.27,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-03-25,38.56,38.56,38.56,0.0,0.0,38.66,38.66,38.66,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-04-01,38.46,38.46,38.46,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-04-08,38.7,38.7,38.7,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2018-04-15,38.99,38.99,38.99,0.0,0.0,39.16,39.16,39.16,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.97,38.97,38.97,0.0,0.0
