Date,KraneShares E China Commercial Paper_Open_average,KraneShares E China Commercial Paper_Open_max,KraneShares E China Commercial Paper_Open_min,KraneShares E China Commercial Paper_Open_volatility,KraneShares E China Commercial Paper_Open_change,KraneShares E China Commercial Paper_High_average,KraneShares E China Commercial Paper_High_max,KraneShares E China Commercial Paper_High_min,KraneShares E China Commercial Paper_High_volatility,KraneShares E China Commercial Paper_High_change,KraneShares E China Commercial Paper_Low_average,KraneShares E China Commercial Paper_Low_max,KraneShares E China Commercial Paper_Low_min,KraneShares E China Commercial Paper_Low_volatility,KraneShares E China Commercial Paper_Low_change,KraneShares E China Commercial Paper_Close_average,KraneShares E China Commercial Paper_Close_max,KraneShares E China Commercial Paper_Close_min,KraneShares E China Commercial Paper_Close_volatility,KraneShares E China Commercial Paper_Close_change
2018-01-14,36.13,36.13,36.13,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-01-21,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-01-28,36.83,36.83,36.83,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.83,36.83,36.83,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-02-04,36.85,36.85,36.85,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.88,36.88,36.88,0.0,0.0
2018-02-11,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-02-18,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2018-02-25,36.68,36.68,36.68,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-03-04,36.83,36.83,36.83,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2018-03-11,36.86,36.86,36.86,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-03-18,36.71,36.71,36.71,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.71,36.71,36.71,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-03-25,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-04-01,37.3,37.3,37.3,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2018-04-08,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-04-15,37.41,37.41,37.41,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-04-22,37.11,37.11,37.11,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-04-29,36.51,36.51,36.51,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.51,36.51,36.51,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-05-06,37.06,37.06,37.06,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-05-13,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.88,36.88,36.88,0.0,0.0
2018-05-20,36.8,36.8,36.8,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-05-27,36.84,36.84,36.84,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2018-06-03,36.64,36.64,36.64,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-06-10,36.66,36.66,36.66,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-06-17,36.0,36.0,36.0,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.45,35.45,35.45,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-06-24,35.4,35.4,35.4,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-07-01,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-07-08,34.06,34.06,34.06,0.0,0.0,35.27,35.27,35.27,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-07-15,34.2,34.2,34.2,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-07-22,34.0,34.0,34.0,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-07-29,33.99,33.99,33.99,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.87,33.87,33.87,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-08-05,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-08-12,33.88,33.88,33.88,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-08-19,33.85,33.85,33.85,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-08-26,34.27,34.27,34.27,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2018-09-02,33.96,33.96,33.96,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-09-09,33.9,33.9,33.9,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-09-16,34.32,34.32,34.32,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-09-23,34.59,34.59,34.59,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-09-30,34.01,34.01,34.01,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.02,34.02,34.02,0.0,0.0
2018-10-07,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-10-14,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-10-21,33.53,33.53,33.53,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-10-28,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2018-11-04,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-11-11,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-11-18,33.53,33.53,33.53,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-11-25,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-12-02,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-12-09,33.9,33.9,33.9,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-12-16,34.0,34.0,34.0,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-12-23,33.49,33.49,33.49,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-12-30,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2019-01-06,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2019-01-13,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2019-01-20,34.27,34.27,34.27,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2019-01-27,34.3,34.3,34.3,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2019-02-03,34.2,34.2,34.2,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2019-02-10,34.2,34.2,34.2,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2019-02-17,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2019-02-24,34.5,34.5,34.5,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2019-03-03,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2019-03-10,34.4,34.4,34.4,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.44,34.44,34.44,0.0,0.0
