Date,Legg Mason EM Low Volatility High Dividend_Open_average,Legg Mason EM Low Volatility High Dividend_Open_max,Legg Mason EM Low Volatility High Dividend_Open_min,Legg Mason EM Low Volatility High Dividend_Open_volatility,Legg Mason EM Low Volatility High Dividend_Open_change,Legg Mason EM Low Volatility High Dividend_High_average,Legg Mason EM Low Volatility High Dividend_High_max,Legg Mason EM Low Volatility High Dividend_High_min,Legg Mason EM Low Volatility High Dividend_High_volatility,Legg Mason EM Low Volatility High Dividend_High_change,Legg Mason EM Low Volatility High Dividend_Low_average,Legg Mason EM Low Volatility High Dividend_Low_max,Legg Mason EM Low Volatility High Dividend_Low_min,Legg Mason EM Low Volatility High Dividend_Low_volatility,Legg Mason EM Low Volatility High Dividend_Low_change,Legg Mason EM Low Volatility High Dividend_Close_average,Legg Mason EM Low Volatility High Dividend_Close_max,Legg Mason EM Low Volatility High Dividend_Close_min,Legg Mason EM Low Volatility High Dividend_Close_volatility,Legg Mason EM Low Volatility High Dividend_Close_change
2018-01-14,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-01-21,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-01-28,29.06,29.06,29.06,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2018-02-04,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-02-11,29.0,29.0,29.0,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-02-18,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-02-25,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-03-04,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-03-11,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-03-18,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-03-25,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-04-01,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,27.8,27.8,27.8,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2018-04-08,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-04-15,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-04-22,28.4,28.4,28.4,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-04-29,28.3,28.3,28.3,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2018-05-06,29.1,29.1,29.1,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-05-13,28.38,28.38,28.38,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-05-20,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2018-05-27,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-06-03,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0
