Date,ProShares Ultra MSCI EAFE_Open_average,ProShares Ultra MSCI EAFE_Open_max,ProShares Ultra MSCI EAFE_Open_min,ProShares Ultra MSCI EAFE_Open_volatility,ProShares Ultra MSCI EAFE_Open_change,ProShares Ultra MSCI EAFE_High_average,ProShares Ultra MSCI EAFE_High_max,ProShares Ultra MSCI EAFE_High_min,ProShares Ultra MSCI EAFE_High_volatility,ProShares Ultra MSCI EAFE_High_change,ProShares Ultra MSCI EAFE_Low_average,ProShares Ultra MSCI EAFE_Low_max,ProShares Ultra MSCI EAFE_Low_min,ProShares Ultra MSCI EAFE_Low_volatility,ProShares Ultra MSCI EAFE_Low_change,ProShares Ultra MSCI EAFE_Close_average,ProShares Ultra MSCI EAFE_Close_max,ProShares Ultra MSCI EAFE_Close_min,ProShares Ultra MSCI EAFE_Close_volatility,ProShares Ultra MSCI EAFE_Close_change
2018-01-14,49.02,49.02,49.02,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-01-21,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-01-28,45.61,45.61,45.61,0.0,0.0,45.66,45.66,45.66,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2018-02-04,42.5,42.5,42.5,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-02-11,45.14,45.14,45.14,0.0,0.0,45.39,45.39,45.39,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-02-18,45.46,45.46,45.46,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-02-25,41.91,41.91,41.91,0.0,0.0,42.76,42.76,42.76,0.0,0.0,41.91,41.91,41.91,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-03-04,44.17,44.17,44.17,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2018-03-11,41.69,41.69,41.69,0.0,0.0,41.69,41.69,41.69,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2018-03-18,41.85,41.85,41.85,0.0,0.0,41.88,41.88,41.88,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-03-25,42.51,42.51,42.51,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-04-01,43.09,43.09,43.09,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-04-08,44.07,44.07,44.07,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2018-04-15,44.93,44.93,44.93,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-04-22,44.11,44.11,44.11,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-04-29,44.13,44.13,44.13,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2018-05-06,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2018-05-13,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2018-05-20,42.88,42.88,42.88,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-05-27,42.15,42.15,42.15,0.0,0.0,42.15,42.15,42.15,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-06-03,42.82,42.82,42.82,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.82,42.82,42.82,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2018-06-10,42.47,42.47,42.47,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.52,42.52,42.52,0.0,0.0
2018-06-17,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-06-24,39.56,39.56,39.56,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-07-01,41.22,41.22,41.22,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2018-07-08,41.18,41.18,41.18,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-07-15,41.4,41.4,41.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-07-22,42.82,42.82,42.82,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.82,42.82,42.82,0.0,0.0
2018-07-29,41.12,41.12,41.12,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2018-08-05,39.94,39.94,39.94,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2018-08-12,39.53,39.53,39.53,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2018-08-19,41.58,41.58,41.58,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2018-08-26,40.67,40.67,40.67,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-09-02,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-09-09,40.18,40.18,40.18,0.0,0.0,40.18,40.18,40.18,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-09-16,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2018-09-23,41.15,41.15,41.15,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2018-09-30,38.41,38.41,38.41,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2018-10-07,36.0,36.0,36.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2018-10-14,36.8,36.8,36.8,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-10-21,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2018-10-28,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-11-04,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-11-11,34.34,34.34,34.34,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-11-18,34.26,34.26,34.26,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-11-25,35.64,35.64,35.64,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-12-02,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-12-09,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-12-16,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-12-23,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-12-30,31.86,31.86,31.86,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.86,31.86,31.86,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2019-01-06,32.72,32.72,32.72,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2019-01-13,33.96,33.96,33.96,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2019-01-20,33.62,33.62,33.62,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2019-01-27,34.57,34.57,34.57,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2019-02-03,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2019-02-10,35.19,35.19,35.19,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2019-02-17,36.37,36.37,36.37,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2019-02-24,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2019-03-03,35.51,35.51,35.51,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.78,35.78,35.78,0.0,0.0
