Date,BLDRS Asia 50 ADR_Open_average,BLDRS Asia 50 ADR_Open_max,BLDRS Asia 50 ADR_Open_min,BLDRS Asia 50 ADR_Open_volatility,BLDRS Asia 50 ADR_Open_change,BLDRS Asia 50 ADR_High_average,BLDRS Asia 50 ADR_High_max,BLDRS Asia 50 ADR_High_min,BLDRS Asia 50 ADR_High_volatility,BLDRS Asia 50 ADR_High_change,BLDRS Asia 50 ADR_Low_average,BLDRS Asia 50 ADR_Low_max,BLDRS Asia 50 ADR_Low_min,BLDRS Asia 50 ADR_Low_volatility,BLDRS Asia 50 ADR_Low_change,BLDRS Asia 50 ADR_Close_average,BLDRS Asia 50 ADR_Close_max,BLDRS Asia 50 ADR_Close_min,BLDRS Asia 50 ADR_Close_volatility,BLDRS Asia 50 ADR_Close_change
2018-01-14,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-01-21,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-01-28,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-02-04,34.69,34.69,34.69,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.69,34.69,34.69,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-02-11,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-02-18,36.23,36.23,36.23,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-02-25,35.16,35.16,35.16,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2018-03-04,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-03-11,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-03-18,34.11,34.11,34.11,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-03-25,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-04-01,33.61,33.61,33.61,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2018-04-08,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2018-04-15,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-04-22,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-04-29,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-05-06,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-05-13,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-05-20,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-05-27,34.35,34.35,34.35,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.35,34.35,34.35,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-06-03,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-06-10,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-06-17,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-06-24,32.77,32.77,32.77,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-07-01,33.68,33.68,33.68,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-07-08,33.63,33.63,33.63,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-07-15,33.83,33.83,33.83,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.83,33.83,33.83,0.0,0.0
