Date,Victory CEMP US Discovery Enhanced Volatility Weig_Open_average,Victory CEMP US Discovery Enhanced Volatility Weig_Open_max,Victory CEMP US Discovery Enhanced Volatility Weig_Open_min,Victory CEMP US Discovery Enhanced Volatility Weig_Open_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_Open_change,Victory CEMP US Discovery Enhanced Volatility Weig_High_average,Victory CEMP US Discovery Enhanced Volatility Weig_High_max,Victory CEMP US Discovery Enhanced Volatility Weig_High_min,Victory CEMP US Discovery Enhanced Volatility Weig_High_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_High_change,Victory CEMP US Discovery Enhanced Volatility Weig_Low_average,Victory CEMP US Discovery Enhanced Volatility Weig_Low_max,Victory CEMP US Discovery Enhanced Volatility Weig_Low_min,Victory CEMP US Discovery Enhanced Volatility Weig_Low_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_Low_change,Victory CEMP US Discovery Enhanced Volatility Weig_Close_average,Victory CEMP US Discovery Enhanced Volatility Weig_Close_max,Victory CEMP US Discovery Enhanced Volatility Weig_Close_min,Victory CEMP US Discovery Enhanced Volatility Weig_Close_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_Close_change
2018-01-14,46.57,46.57,46.57,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2018-01-21,46.51,46.51,46.51,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-01-28,44.79,44.79,44.79,0.0,0.0,44.83,44.83,44.83,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2018-02-04,44.69,44.69,44.69,0.0,0.0,44.69,44.69,44.69,0.0,0.0,42.99,42.99,42.99,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-02-11,44.26,44.26,44.26,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2018-02-18,46.18,46.18,46.18,0.0,0.0,46.18,46.18,46.18,0.0,0.0,44.72,44.72,44.72,0.0,0.0,45.12,45.12,45.12,0.0,0.0
2018-02-25,44.02,44.02,44.02,0.0,0.0,44.56,44.56,44.56,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2018-03-04,45.84,45.84,45.84,0.0,0.0,46.11,46.11,46.11,0.0,0.0,45.84,45.84,45.84,0.0,0.0,46.02,46.02,46.02,0.0,0.0
2018-03-11,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2018-03-18,43.77,43.77,43.77,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.77,43.77,43.77,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2018-03-25,45.16,45.16,45.16,0.0,0.0,45.16,45.16,45.16,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-04-01,44.32,44.32,44.32,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.11,44.11,44.11,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2018-04-08,45.29,45.29,45.29,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2018-04-15,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-04-22,44.8,44.8,44.8,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2018-04-29,44.9,44.9,44.9,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2018-05-06,45.82,45.82,45.82,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2018-05-13,46.45,46.45,46.45,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2018-05-20,46.95,46.95,46.95,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.68,46.68,46.68,0.0,0.0
