Date,FlexShares Currency Hedged Morningstar EM_etf_Open_average,FlexShares Currency Hedged Morningstar EM_etf_Open_max,FlexShares Currency Hedged Morningstar EM_etf_Open_min,FlexShares Currency Hedged Morningstar EM_etf_Open_volatility,FlexShares Currency Hedged Morningstar EM_etf_Open_change,FlexShares Currency Hedged Morningstar EM_etf_High_average,FlexShares Currency Hedged Morningstar EM_etf_High_max,FlexShares Currency Hedged Morningstar EM_etf_High_min,FlexShares Currency Hedged Morningstar EM_etf_High_volatility,FlexShares Currency Hedged Morningstar EM_etf_High_change,FlexShares Currency Hedged Morningstar EM_etf_Low_average,FlexShares Currency Hedged Morningstar EM_etf_Low_max,FlexShares Currency Hedged Morningstar EM_etf_Low_min,FlexShares Currency Hedged Morningstar EM_etf_Low_volatility,FlexShares Currency Hedged Morningstar EM_etf_Low_change,FlexShares Currency Hedged Morningstar EM_etf_Close_average,FlexShares Currency Hedged Morningstar EM_etf_Close_max,FlexShares Currency Hedged Morningstar EM_etf_Close_min,FlexShares Currency Hedged Morningstar EM_etf_Close_volatility,FlexShares Currency Hedged Morningstar EM_etf_Close_change
2018-01-14,32.29,32.29,32.29,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-01-21,32.98,32.98,32.98,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-01-28,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2018-02-04,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-02-11,31.81,31.81,31.81,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-02-18,31.82,31.82,31.82,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-02-25,30.89,30.89,30.89,0.0,0.0,31.28,31.28,31.28,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-03-04,31.68,31.68,31.68,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-03-11,31.59,31.59,31.59,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-03-18,30.72,30.72,30.72,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-03-25,30.78,30.78,30.78,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-04-01,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-04-08,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-04-15,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-04-22,31.0,31.0,31.0,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-04-29,30.74,30.74,30.74,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-05-06,31.18,31.18,31.18,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-05-13,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-05-20,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-05-27,30.48,30.48,30.48,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-06-03,30.94,30.94,30.94,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-06-10,30.19,30.19,30.19,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-06-17,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-06-24,28.92,28.92,28.92,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2018-07-01,28.48,28.48,28.48,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-07-08,28.93,28.93,28.93,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-07-15,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-07-22,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-07-29,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-08-05,29.15,29.15,29.15,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-08-12,28.12,28.12,28.12,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-08-19,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-08-26,28.91,28.91,28.91,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2018-09-02,28.11,28.11,28.11,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-09-09,28.16,28.16,28.16,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-09-16,28.73,28.73,28.73,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-09-23,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-09-30,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-10-07,26.45,26.45,26.45,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-10-14,26.32,26.32,26.32,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-10-21,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-10-28,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-11-04,26.31,26.31,26.31,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2018-11-11,26.65,26.65,26.65,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-11-18,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-11-25,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-12-02,26.58,26.58,26.58,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2018-12-09,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-12-16,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-12-23,26.05,26.05,26.05,0.0,0.0,26.48,26.48,26.48,0.0,0.0,25.73,25.73,25.73,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-12-30,26.14,26.14,26.14,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2019-01-06,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2019-01-13,27.66,27.66,27.66,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2019-01-20,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-01-27,28.38,28.38,28.38,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-02-03,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2019-02-10,28.41,28.41,28.41,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.57,27.57,27.57,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2019-02-17,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2019-02-24,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2019-03-03,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2019-03-10,29.21,29.21,29.21,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-03-17,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2019-03-24,28.78,28.78,28.78,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2019-03-31,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2019-04-07,29.75,29.75,29.75,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-04-14,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2019-04-21,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-04-28,29.5,29.5,29.5,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-05-05,28.06,28.06,28.06,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2019-05-12,27.23,27.23,27.23,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.25,27.25,27.25,0.0,0.0
