Date,LHX_Open_average,LHX_Open_max,LHX_Open_min,LHX_Open_volatility,LHX_Open_change,LHX_High_average,LHX_High_max,LHX_High_min,LHX_High_volatility,LHX_High_change,LHX_Low_average,LHX_Low_max,LHX_Low_min,LHX_Low_volatility,LHX_Low_change,LHX_Close_average,LHX_Close_max,LHX_Close_min,LHX_Close_volatility,LHX_Close_change,LHX_Volume_average,LHX_Volume_max,LHX_Volume_min,LHX_Volume_volatility,LHX_Volume_change
2018-01-14,146.914,148.56,145.76,2.8000000000000114,-2.8000000000000114,147.438,148.73,145.76,2.969999999999999,-2.969999999999999,145.038,145.71,142.64,3.0700000000000216,-3.0200000000000102,145.64000000000001,147.61,143.19,4.420000000000016,-2.5800000000000125,638411,880560,522193,358367,310261
2018-01-21,144.206,146.37,142.62,3.75,2.930000000000007,145.256,147.86,143.44,4.420000000000016,4.420000000000016,143.49,146.32,142.2,4.1200000000000045,4.1200000000000045,144.664,147.19,142.41,4.780000000000001,4.780000000000001,711368,1033035,449998,583037,155269
2018-01-28,155.326,158.87,148.95,9.920000000000016,5.320000000000022,158.698,160.67,156.15,4.519999999999982,-1.549999999999983,152.886,157.07,146.24,10.829999999999984,-2.0900000000000034,155.494,159.38,148.2,11.180000000000007,-8.110000000000014,1176037,1633276,788591,844685,-395347
2018-02-04,150.47,154.44,144.68,9.759999999999991,9.099999999999994,153.54,155.3,149.3,6.0,5.199999999999989,147.92600000000002,150.61,143.03,7.5800000000000125,7.5800000000000125,151.416,153.02,148.64,4.380000000000024,4.150000000000006,1186877,1432363,828664,603699,-389042
2018-02-11,153.9775,155.98,151.88,4.099999999999994,3.9099999999999966,155.68,157.23,153.28,3.9499999999999886,3.9499999999999886,152.8025,154.51,151.07,3.4399999999999977,3.4399999999999977,155.22,156.66,153.02,3.6399999999999864,3.6399999999999864,730052,928564,633916,294648,-294648
2018-02-18,157.946,159.46,156.31,3.1500000000000057,3.1500000000000057,159.82,161.04,158.5,2.539999999999992,2.3300000000000125,157.158,158.62,155.75,2.8700000000000045,2.8700000000000045,158.302,159.54,157.01,2.530000000000001,2.530000000000001,587061,901363,422714,478649,-87859
2018-02-25,156.028,159.88,151.59,8.289999999999992,-6.27000000000001,157.202,161.0,154.34,6.659999999999997,-6.659999999999997,153.42000000000002,159.0,150.05,8.949999999999989,-7.800000000000011,155.232,159.02,152.87,6.150000000000006,-4.760000000000019,776808,1140623,571237,569386,177481
2018-03-04,155.692,158.14,152.97,5.1699999999999875,3.5,156.974,159.58,154.96,4.6200000000000045,4.6200000000000045,154.62800000000001,157.55,152.51,5.0400000000000205,3.7700000000000102,156.382,158.02,154.67,3.3500000000000227,3.3500000000000227,644482,876039,483428,392611,348411
2018-03-11,157.90200000000002,159.06,156.05,3.009999999999991,-2.469999999999999,158.542,159.68,156.66,3.0200000000000102,-2.8400000000000034,156.202,157.6,154.76,2.8400000000000034,-2.8400000000000034,157.36,158.18,156.43,1.75,-1.6699999999999875,1047975,2300129,609380,1690749,231077
2018-03-18,157.594,159.14,154.63,4.509999999999991,1.8800000000000239,160.58,162.37,158.9,3.469999999999999,3.469999999999999,156.564,158.83,154.26,4.570000000000022,2.450000000000017,158.492,162.07,154.57,7.5,3.25,812809,1035674,610176,425498,260706
