Date,Hull Tactical US_etf_Open_average,Hull Tactical US_etf_Open_max,Hull Tactical US_etf_Open_min,Hull Tactical US_etf_Open_volatility,Hull Tactical US_etf_Open_change,Hull Tactical US_etf_High_average,Hull Tactical US_etf_High_max,Hull Tactical US_etf_High_min,Hull Tactical US_etf_High_volatility,Hull Tactical US_etf_High_change,Hull Tactical US_etf_Low_average,Hull Tactical US_etf_Low_max,Hull Tactical US_etf_Low_min,Hull Tactical US_etf_Low_volatility,Hull Tactical US_etf_Low_change,Hull Tactical US_etf_Close_average,Hull Tactical US_etf_Close_max,Hull Tactical US_etf_Close_min,Hull Tactical US_etf_Close_volatility,Hull Tactical US_etf_Close_change
2018-01-14,28.13,28.13,28.13,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-01-21,28.25,28.25,28.25,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-01-28,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-02-04,24.91,24.91,24.91,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.04,24.04,24.04,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-02-11,26.54,26.54,26.54,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-02-18,25.97,25.97,25.97,0.0,0.0,26.64,26.64,26.64,0.0,0.0,25.97,25.97,25.97,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-02-25,25.78,25.78,25.78,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.78,25.78,25.78,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-03-04,26.64,26.64,26.64,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-03-11,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-03-18,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-03-25,25.75,25.75,25.75,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-04-01,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-04-08,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2018-04-15,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-04-22,26.36,26.36,26.36,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-04-29,26.32,26.32,26.32,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-05-06,27.0,27.0,27.0,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-05-13,26.93,26.93,26.93,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-05-20,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2018-05-27,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-06-03,27.35,27.35,27.35,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-06-10,27.27,27.27,27.27,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-06-17,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2018-06-24,27.01,27.01,27.01,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-07-01,27.19,27.19,27.19,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.36,27.36,27.36,0.0,0.0
