Date,PowerShares Golden Dragon China PortEtf_Open_average,PowerShares Golden Dragon China PortEtf_Open_max,PowerShares Golden Dragon China PortEtf_Open_min,PowerShares Golden Dragon China PortEtf_Open_volatility,PowerShares Golden Dragon China PortEtf_Open_change,PowerShares Golden Dragon China PortEtf_High_average,PowerShares Golden Dragon China PortEtf_High_max,PowerShares Golden Dragon China PortEtf_High_min,PowerShares Golden Dragon China PortEtf_High_volatility,PowerShares Golden Dragon China PortEtf_High_change,PowerShares Golden Dragon China PortEtf_Low_average,PowerShares Golden Dragon China PortEtf_Low_max,PowerShares Golden Dragon China PortEtf_Low_min,PowerShares Golden Dragon China PortEtf_Low_volatility,PowerShares Golden Dragon China PortEtf_Low_change,PowerShares Golden Dragon China PortEtf_Close_average,PowerShares Golden Dragon China PortEtf_Close_max,PowerShares Golden Dragon China PortEtf_Close_min,PowerShares Golden Dragon China PortEtf_Close_volatility,PowerShares Golden Dragon China PortEtf_Close_change
2018-01-14,49.46,49.46,49.46,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-01-21,50.08,50.08,50.08,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-01-28,48.24,48.24,48.24,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-02-04,43.73,43.73,43.73,0.0,0.0,44.34,44.34,44.34,0.0,0.0,42.55,42.55,42.55,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-02-11,48.62,48.62,48.62,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-02-18,49.1,49.1,49.1,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-02-25,46.3,46.3,46.3,0.0,0.0,47.7,47.7,47.7,0.0,0.0,45.77,45.77,45.77,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-03-04,49.64,49.64,49.64,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.44,49.44,49.44,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-03-11,49.18,49.18,49.18,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-03-18,47.4,47.4,47.4,0.0,0.0,47.64,47.64,47.64,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2018-03-25,45.58,45.58,45.58,0.0,0.0,46.4,46.4,46.4,0.0,0.0,45.57,45.57,45.57,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-04-01,45.17,45.17,45.17,0.0,0.0,45.99,45.99,45.99,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.13,45.13,45.13,0.0,0.0
