Date,John Hancock Multifactor Energy_Open_average,John Hancock Multifactor Energy_Open_max,John Hancock Multifactor Energy_Open_min,John Hancock Multifactor Energy_Open_volatility,John Hancock Multifactor Energy_Open_change,John Hancock Multifactor Energy_High_average,John Hancock Multifactor Energy_High_max,John Hancock Multifactor Energy_High_min,John Hancock Multifactor Energy_High_volatility,John Hancock Multifactor Energy_High_change,John Hancock Multifactor Energy_Low_average,John Hancock Multifactor Energy_Low_max,John Hancock Multifactor Energy_Low_min,John Hancock Multifactor Energy_Low_volatility,John Hancock Multifactor Energy_Low_change,John Hancock Multifactor Energy_Close_average,John Hancock Multifactor Energy_Close_max,John Hancock Multifactor Energy_Close_min,John Hancock Multifactor Energy_Close_volatility,John Hancock Multifactor Energy_Close_change
2018-01-14,31.49,31.49,31.49,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-01-21,31.69,31.69,31.69,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-01-28,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-02-04,27.58,27.58,27.58,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-02-11,28.13,28.13,28.13,0.0,0.0,29.43,29.43,29.43,0.0,0.0,27.16,27.16,27.16,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-02-18,28.45,28.45,28.45,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-02-25,27.58,27.58,27.58,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.58,27.58,27.58,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-03-04,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-03-11,27.66,27.66,27.66,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2018-03-18,28.22,28.22,28.22,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-03-25,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-01,28.35,28.35,28.35,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-04-08,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-15,31.13,31.13,31.13,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-04-22,31.29,31.29,31.29,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-04-29,31.58,31.58,31.58,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-05-06,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-05-13,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-05-20,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-05-27,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-06-03,32.28,32.28,32.28,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-06-10,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-06-17,31.76,31.76,31.76,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.34,31.34,31.34,0.0,0.0
