Date,BOKFStock_Open_average,BOKFStock_Open_max,BOKFStock_Open_min,BOKFStock_Open_volatility,BOKFStock_Open_change,BOKFStock_High_average,BOKFStock_High_max,BOKFStock_High_min,BOKFStock_High_volatility,BOKFStock_High_change,BOKFStock_Low_average,BOKFStock_Low_max,BOKFStock_Low_min,BOKFStock_Low_volatility,BOKFStock_Low_change,BOKFStock_Close_average,BOKFStock_Close_max,BOKFStock_Close_min,BOKFStock_Close_volatility,BOKFStock_Close_change,BOKFStock_Volume_average,BOKFStock_Volume_max,BOKFStock_Volume_min,BOKFStock_Volume_volatility,BOKFStock_Volume_change
2018-01-14,95.8,96.41,95.0,1.4099999999999966,0.9200000000000017,96.655,96.95,96.41,0.5400000000000063,0.45000000000000284,95.2475,95.92,94.66,1.2600000000000051,1.2600000000000051,96.055,96.7,95.42,1.2800000000000011,1.2800000000000011,115922,149540,82796,66744,-39285
2018-01-21,96.488,97.79,94.41,3.3800000000000097,1.1899999999999977,98.032,98.41,97.61,0.7999999999999972,0.5400000000000063,95.778,96.86,94.41,2.450000000000003,-0.10000000000000853,97.48,98.07,96.7,1.3699999999999903,1.3699999999999903,175143,224521,92481,132040,78440
2018-01-28,97.348,98.08,96.38,1.7000000000000028,-0.8999999999999915,98.208,98.8,97.4,1.3999999999999915,-0.3199999999999932,96.44200000000001,97.56,95.98,1.5799999999999983,-1.5499999999999972,97.126,98.36,96.11,2.25,-2.25,114767,162975,82663,80312,17028
2018-02-04,92.884,95.11,90.58,4.530000000000001,-3.3100000000000023,94.242,96.41,93.11,3.299999999999997,-3.299999999999997,91.286,93.0,89.81,3.1899999999999977,-2.6499999999999915,92.616,93.7,90.63,3.0700000000000074,-0.11999999999999034,160744,272924,87623,185301,20983
2018-02-11,94.03,96.04,92.67,3.3700000000000045,2.0799999999999983,95.746,96.83,94.92,1.9099999999999966,1.9099999999999966,93.4,95.03,91.62,3.4099999999999966,2.5700000000000074,94.85,96.35,93.39,2.9599999999999937,2.519999999999996,142305,275927,71907,204020,-45261
2018-02-18,95.84,96.92,95.25,1.6700000000000017,-0.5900000000000034,96.9675,97.57,96.24,1.3299999999999983,-0.44000000000001194,95.0525,95.35,94.77,0.5799999999999983,-0.09000000000000341,95.7625,96.61,94.89,1.7199999999999989,0.8500000000000085,79108,89175,52735,36440,-36440
2018-02-25,95.574,96.87,94.23,2.6400000000000006,-2.3699999999999903,96.832,97.95,96.06,1.8900000000000006,-1.0300000000000011,94.316,95.36,92.88,2.480000000000004,-2.480000000000004,95.462,96.83,94.45,2.3799999999999955,-1.039999999999992,110990,162312,69670,92642,35097
2018-03-04,97.302,98.93,95.36,3.5700000000000074,3.5400000000000063,98.83,100.22,97.51,2.7099999999999937,2.7099999999999937,96.508,98.4,94.61,3.7900000000000063,3.7900000000000063,98.156,99.89,96.13,3.760000000000005,3.760000000000005,128226,169001,81185,87816,-57785
2018-03-11,100.41,101.14,99.97,1.1700000000000017,-0.1599999999999966,101.19800000000001,101.92,100.43,1.4899999999999949,-0.37999999999999545,99.61999999999999,100.11,99.02,1.0900000000000034,-0.1700000000000017,100.392,100.91,99.86,1.0499999999999972,-0.0799999999999983,226499,467071,113008,354063,233401
2018-03-18,100.208,100.97,98.84,2.1299999999999955,-2.1299999999999955,102.054,107.0,99.02,7.980000000000004,-7.980000000000004,98.554,100.0,95.28,4.719999999999999,-4.1299999999999955,99.25,100.99,95.68,5.309999999999988,-4.959999999999994,122358,152391,67416,84975,17346
