Date,Guggenheim CurrencyShares British Pound Sterling_Open_average,Guggenheim CurrencyShares British Pound Sterling_Open_max,Guggenheim CurrencyShares British Pound Sterling_Open_min,Guggenheim CurrencyShares British Pound Sterling_Open_volatility,Guggenheim CurrencyShares British Pound Sterling_Open_change,Guggenheim CurrencyShares British Pound Sterling_High_average,Guggenheim CurrencyShares British Pound Sterling_High_max,Guggenheim CurrencyShares British Pound Sterling_High_min,Guggenheim CurrencyShares British Pound Sterling_High_volatility,Guggenheim CurrencyShares British Pound Sterling_High_change,Guggenheim CurrencyShares British Pound Sterling_Low_average,Guggenheim CurrencyShares British Pound Sterling_Low_max,Guggenheim CurrencyShares British Pound Sterling_Low_min,Guggenheim CurrencyShares British Pound Sterling_Low_volatility,Guggenheim CurrencyShares British Pound Sterling_Low_change,Guggenheim CurrencyShares British Pound Sterling_Close_average,Guggenheim CurrencyShares British Pound Sterling_Close_max,Guggenheim CurrencyShares British Pound Sterling_Close_min,Guggenheim CurrencyShares British Pound Sterling_Close_volatility,Guggenheim CurrencyShares British Pound Sterling_Close_change
2018-01-14,135.25,135.25,135.25,0.0,0.0,135.94,135.94,135.94,0.0,0.0,135.25,135.25,135.25,0.0,0.0,135.91,135.91,135.91,0.0,0.0
2018-01-21,136.9,136.9,136.9,0.0,0.0,136.96,136.96,136.96,0.0,0.0,136.34,136.34,136.34,0.0,0.0,136.75,136.75,136.75,0.0,0.0
2018-01-28,136.3,136.3,136.3,0.0,0.0,136.32,136.32,136.32,0.0,0.0,135.68,135.68,135.68,0.0,0.0,135.68,135.68,135.68,0.0,0.0
2018-02-04,134.22,134.22,134.22,0.0,0.0,134.46,134.46,134.46,0.0,0.0,134.09,134.09,134.09,0.0,0.0,134.41,134.41,134.41,0.0,0.0
2018-02-11,136.13,136.13,136.13,0.0,0.0,136.67,136.67,136.67,0.0,0.0,136.06,136.06,136.06,0.0,0.0,136.18,136.18,136.18,0.0,0.0
2018-02-18,135.59,135.59,135.59,0.0,0.0,135.73,135.73,135.73,0.0,0.0,135.4,135.4,135.4,0.0,0.0,135.67,135.67,135.67,0.0,0.0
2018-02-25,134.17,134.17,134.17,0.0,0.0,134.76,134.76,134.76,0.0,0.0,134.09,134.09,134.09,0.0,0.0,134.54,134.54,134.54,0.0,0.0
2018-03-04,134.93,134.93,134.93,0.0,0.0,135.15,135.15,135.15,0.0,0.0,134.92,134.92,134.92,0.0,0.0,135.1,135.1,135.1,0.0,0.0
2018-03-11,136.6,136.6,136.6,0.0,0.0,136.63,136.63,136.63,0.0,0.0,136.19,136.19,136.19,0.0,0.0,136.3,136.3,136.3,0.0,0.0
2018-03-18,138.0,138.0,138.0,0.0,0.0,138.36,138.36,138.36,0.0,0.0,137.92,137.92,137.92,0.0,0.0,138.24,138.24,138.24,0.0,0.0
2018-03-25,136.44,136.44,136.44,0.0,0.0,136.55,136.55,136.55,0.0,0.0,136.25,136.25,136.25,0.0,0.0,136.47,136.47,136.47,0.0,0.0
2018-04-01,137.38,137.38,137.38,0.0,0.0,137.42,137.42,137.42,0.0,0.0,137.2,137.2,137.2,0.0,0.0,137.22,137.22,137.22,0.0,0.0
2018-04-08,139.17,139.17,139.17,0.0,0.0,139.24,139.24,139.24,0.0,0.0,139.03,139.03,139.03,0.0,0.0,139.18,139.18,139.18,0.0,0.0
2018-04-15,135.54,135.54,135.54,0.0,0.0,135.57,135.57,135.57,0.0,0.0,135.26,135.26,135.26,0.0,0.0,135.4,135.4,135.4,0.0,0.0
2018-04-22,133.32,133.32,133.32,0.0,0.0,133.74,133.74,133.74,0.0,0.0,133.32,133.32,133.32,0.0,0.0,133.67,133.67,133.67,0.0,0.0
2018-04-29,131.52,131.52,131.52,0.0,0.0,131.74,131.74,131.74,0.0,0.0,131.43,131.43,131.43,0.0,0.0,131.63,131.63,131.63,0.0,0.0
2018-05-06,132.0,132.0,132.0,0.0,0.0,132.09,132.09,132.09,0.0,0.0,131.61,131.61,131.61,0.0,0.0,131.63,131.63,131.63,0.0,0.0
2018-05-13,130.36,130.36,130.36,0.0,0.0,130.45,130.45,130.45,0.0,0.0,130.14,130.14,130.14,0.0,0.0,130.35,130.35,130.35,0.0,0.0
2018-05-20,129.36,129.36,129.36,0.0,0.0,129.41,129.41,129.41,0.0,0.0,129.21,129.21,129.21,0.0,0.0,129.26,129.26,129.26,0.0,0.0
2018-05-27,129.69,129.69,129.69,0.0,0.0,129.69,129.69,129.69,0.0,0.0,129.08,129.08,129.08,0.0,0.0,129.21,129.21,129.21,0.0,0.0
2018-06-03,129.9,129.9,129.9,0.0,0.0,130.06,130.06,130.06,0.0,0.0,129.78,129.78,129.78,0.0,0.0,129.91,129.91,129.91,0.0,0.0
2018-06-10,128.49,128.49,128.49,0.0,0.0,128.63,128.63,128.63,0.0,0.0,128.44,128.44,128.44,0.0,0.0,128.52,128.52,128.52,0.0,0.0
