Date,iShares Europe_etf_Open_average,iShares Europe_etf_Open_max,iShares Europe_etf_Open_min,iShares Europe_etf_Open_volatility,iShares Europe_etf_Open_change,iShares Europe_etf_High_average,iShares Europe_etf_High_max,iShares Europe_etf_High_min,iShares Europe_etf_High_volatility,iShares Europe_etf_High_change,iShares Europe_etf_Low_average,iShares Europe_etf_Low_max,iShares Europe_etf_Low_min,iShares Europe_etf_Low_volatility,iShares Europe_etf_Low_change,iShares Europe_etf_Close_average,iShares Europe_etf_Close_max,iShares Europe_etf_Close_min,iShares Europe_etf_Close_volatility,iShares Europe_etf_Close_change
2018-01-14,49.84,49.84,49.84,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-01-21,50.61,50.61,50.61,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2018-01-28,49.33,49.33,49.33,0.0,0.0,49.39,49.39,49.39,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-02-04,46.09,46.09,46.09,0.0,0.0,46.27,46.27,46.27,0.0,0.0,44.93,44.93,44.93,0.0,0.0,46.13,46.13,46.13,0.0,0.0
2018-02-11,47.83,47.83,47.83,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2018-02-18,47.5,47.5,47.5,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-02-25,46.03,46.03,46.03,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2018-03-04,47.19,47.19,47.19,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-03-11,47.12,47.12,47.12,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.21,47.21,47.21,0.0,0.0
2018-03-18,46.09,46.09,46.09,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-03-25,46.61,46.61,46.61,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2018-04-01,46.95,46.95,46.95,0.0,0.0,47.12,47.12,47.12,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.68,46.68,46.68,0.0,0.0
2018-04-08,47.88,47.88,47.88,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-04-15,47.96,47.96,47.96,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2018-04-22,47.69,47.69,47.69,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.82,47.82,47.82,0.0,0.0
2018-04-29,47.18,47.18,47.18,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-05-06,48.26,48.26,48.26,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-05-13,47.94,47.94,47.94,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-05-20,46.99,46.99,46.99,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-05-27,46.74,46.74,46.74,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-06-03,46.88,46.88,46.88,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2018-06-10,46.87,46.87,46.87,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2018-06-17,45.23,45.23,45.23,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2018-06-24,44.8,44.8,44.8,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2018-07-01,45.26,45.26,45.26,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-07-08,45.37,45.37,45.37,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2018-07-15,45.4,45.4,45.4,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.7,45.7,45.7,0.0,0.0
2018-07-22,46.13,46.13,46.13,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.98,45.98,45.98,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2018-07-29,45.45,45.45,45.45,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-08-05,44.64,44.64,44.64,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-08-12,43.82,43.82,43.82,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.82,43.82,43.82,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2018-08-19,45.06,45.06,45.06,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-08-26,45.05,45.05,45.05,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.91,44.91,44.91,0.0,0.0
2018-09-02,43.62,43.62,43.62,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2018-09-09,44.6,44.6,44.6,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-09-16,45.75,45.75,45.75,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2018-09-23,45.07,45.07,45.07,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2018-09-30,44.19,44.19,44.19,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.91,43.91,43.91,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-10-07,42.59,42.59,42.59,0.0,0.0,42.61,42.61,42.61,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2018-10-14,42.15,42.15,42.15,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-10-21,40.67,40.67,40.67,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-10-28,42.51,42.51,42.51,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-11-04,42.22,42.22,42.22,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-11-11,41.53,41.53,41.53,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.77,41.77,41.77,0.0,0.0
2018-11-18,40.83,40.83,40.83,0.0,0.0,41.02,41.02,41.02,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2018-11-25,41.45,41.45,41.45,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2018-12-02,40.53,40.53,40.53,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2018-12-09,40.02,40.02,40.02,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-12-16,38.8,38.8,38.8,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2018-12-23,39.11,39.11,39.11,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.89,38.89,38.89,0.0,0.0,39.01,39.01,39.01,0.0,0.0
