Date,First Trust Large Cap US Equity SelectEtf_Open_average,First Trust Large Cap US Equity SelectEtf_Open_max,First Trust Large Cap US Equity SelectEtf_Open_min,First Trust Large Cap US Equity SelectEtf_Open_volatility,First Trust Large Cap US Equity SelectEtf_Open_change,First Trust Large Cap US Equity SelectEtf_High_average,First Trust Large Cap US Equity SelectEtf_High_max,First Trust Large Cap US Equity SelectEtf_High_min,First Trust Large Cap US Equity SelectEtf_High_volatility,First Trust Large Cap US Equity SelectEtf_High_change,First Trust Large Cap US Equity SelectEtf_Low_average,First Trust Large Cap US Equity SelectEtf_Low_max,First Trust Large Cap US Equity SelectEtf_Low_min,First Trust Large Cap US Equity SelectEtf_Low_volatility,First Trust Large Cap US Equity SelectEtf_Low_change,First Trust Large Cap US Equity SelectEtf_Close_average,First Trust Large Cap US Equity SelectEtf_Close_max,First Trust Large Cap US Equity SelectEtf_Close_min,First Trust Large Cap US Equity SelectEtf_Close_volatility,First Trust Large Cap US Equity SelectEtf_Close_change
2018-01-14,22.67,22.67,22.67,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2018-01-21,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.08,23.08,23.08,0.0,0.0,23.08,23.08,23.08,0.0,0.0
2018-01-28,22.77,22.77,22.77,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2018-02-04,20.87,20.87,20.87,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-02-11,22.1,22.1,22.1,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2018-02-18,22.09,22.09,22.09,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.09,22.09,22.09,0.0,0.0
2018-02-25,21.49,21.49,21.49,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2018-03-04,22.32,22.32,22.32,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2018-03-11,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2018-03-18,21.54,21.54,21.54,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.54,21.54,21.54,0.0,0.0
