Date,ProShares Ultra Russell2000_Open_average,ProShares Ultra Russell2000_Open_max,ProShares Ultra Russell2000_Open_min,ProShares Ultra Russell2000_Open_volatility,ProShares Ultra Russell2000_Open_change,ProShares Ultra Russell2000_High_average,ProShares Ultra Russell2000_High_max,ProShares Ultra Russell2000_High_min,ProShares Ultra Russell2000_High_volatility,ProShares Ultra Russell2000_High_change,ProShares Ultra Russell2000_Low_average,ProShares Ultra Russell2000_Low_max,ProShares Ultra Russell2000_Low_min,ProShares Ultra Russell2000_Low_volatility,ProShares Ultra Russell2000_Low_change,ProShares Ultra Russell2000_Close_average,ProShares Ultra Russell2000_Close_max,ProShares Ultra Russell2000_Close_min,ProShares Ultra Russell2000_Close_volatility,ProShares Ultra Russell2000_Close_change
2018-01-14,76.07,76.07,76.07,0.0,0.0,77.03,77.03,77.03,0.0,0.0,76.03,76.03,76.03,0.0,0.0,77.03,77.03,77.03,0.0,0.0
2018-01-21,76.61,76.61,76.61,0.0,0.0,77.39,77.39,77.39,0.0,0.0,76.25,76.25,76.25,0.0,0.0,76.31,76.31,76.31,0.0,0.0
2018-01-28,70.5,70.5,70.5,0.0,0.0,71.5,71.5,71.5,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.22,66.22,66.22,0.0,0.0
2018-02-04,65.09,65.09,65.09,0.0,0.0,66.76,66.76,66.76,0.0,0.0,63.91,63.91,63.91,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-02-11,70.19,70.19,70.19,0.0,0.0,71.7,71.7,71.7,0.0,0.0,70.19,70.19,70.19,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2018-02-18,71.82,71.82,71.82,0.0,0.0,72.53,72.53,72.53,0.0,0.0,70.96,70.96,70.96,0.0,0.0,72.3,72.3,72.3,0.0,0.0
2018-02-25,69.37,69.37,69.37,0.0,0.0,71.52,71.52,71.52,0.0,0.0,69.0,69.0,69.0,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2018-03-04,76.11,76.11,76.11,0.0,0.0,76.52,76.52,76.52,0.0,0.0,75.45,75.45,75.45,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2018-03-11,74.1,74.1,74.1,0.0,0.0,74.11,74.11,74.11,0.0,0.0,71.58,71.58,71.58,0.0,0.0,73.31,73.31,73.31,0.0,0.0
2018-03-18,69.54,69.54,69.54,0.0,0.0,70.73,70.73,70.73,0.0,0.0,68.13,68.13,68.13,0.0,0.0,70.69,70.69,70.69,0.0,0.0
2018-03-25,69.0,69.0,69.0,0.0,0.0,69.48,69.48,69.48,0.0,0.0,65.06,65.06,65.06,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-04-01,68.65,68.65,68.65,0.0,0.0,69.81,69.81,69.81,0.0,0.0,67.88,67.88,67.88,0.0,0.0,67.92,67.92,67.92,0.0,0.0
2018-04-08,71.83,71.83,71.83,0.0,0.0,72.7,72.7,72.7,0.0,0.0,71.27,71.27,71.27,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-04-15,72.68,72.68,72.68,0.0,0.0,73.14,73.14,73.14,0.0,0.0,71.66,71.66,71.66,0.0,0.0,72.19,72.19,72.19,0.0,0.0
2018-04-22,71.9,71.9,71.9,0.0,0.0,72.44,72.44,72.44,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2018-04-29,72.96,72.96,72.96,0.0,0.0,74.45,74.45,74.45,0.0,0.0,72.88,72.88,72.88,0.0,0.0,73.66,73.66,73.66,0.0,0.0
2018-05-06,76.5,76.5,76.5,0.0,0.0,77.08,77.08,77.08,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.76,75.76,75.76,0.0,0.0
2018-05-13,78.66,78.66,78.66,0.0,0.0,79.48,79.48,79.48,0.0,0.0,78.66,78.66,78.66,0.0,0.0,79.16,79.16,79.16,0.0,0.0
2018-05-20,78.07,78.07,78.07,0.0,0.0,78.39,78.39,78.39,0.0,0.0,77.82,77.82,77.82,0.0,0.0,78.12,78.12,78.12,0.0,0.0
2018-05-27,80.48,80.48,80.48,0.0,0.0,80.79,80.79,80.79,0.0,0.0,79.58,79.58,79.58,0.0,0.0,80.79,80.79,80.79,0.0,0.0
2018-06-03,82.74,82.74,82.74,0.0,0.0,83.13,83.13,83.13,0.0,0.0,82.38,82.38,82.38,0.0,0.0,82.77,82.77,82.77,0.0,0.0
2018-06-10,82.97,82.97,82.97,0.0,0.0,84.55,84.55,84.55,0.0,0.0,82.75,82.75,82.75,0.0,0.0,84.51,84.51,84.51,0.0,0.0
2018-06-17,83.19,83.19,83.19,0.0,0.0,83.27,83.27,83.27,0.0,0.0,80.12,80.12,80.12,0.0,0.0,81.02,81.02,81.02,0.0,0.0
2018-06-24,78.64,78.64,78.64,0.0,0.0,80.8,80.8,80.8,0.0,0.0,78.43,78.43,78.43,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-07-01,85.44,85.44,85.44,0.0,0.0,85.69,85.69,85.69,0.0,0.0,84.9,84.9,84.9,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2018-07-08,83.98,83.98,83.98,0.0,0.0,84.32,84.32,84.32,0.0,0.0,82.31,82.31,82.31,0.0,0.0,83.1,83.1,83.1,0.0,0.0
2018-07-15,84.61,84.61,84.61,0.0,0.0,85.37,85.37,85.37,0.0,0.0,84.15,84.15,84.15,0.0,0.0,84.91,84.91,84.91,0.0,0.0
2018-07-22,81.34,81.34,81.34,0.0,0.0,82.09,82.09,82.09,0.0,0.0,80.31,80.31,80.31,0.0,0.0,80.45,80.45,80.45,0.0,0.0
2018-07-29,82.36,82.36,82.36,0.0,0.0,83.56,83.56,83.56,0.0,0.0,82.03,82.03,82.03,0.0,0.0,83.43,83.43,83.43,0.0,0.0
2018-08-05,83.84,83.84,83.84,0.0,0.0,84.06,84.06,84.06,0.0,0.0,81.94,81.94,81.94,0.0,0.0,82.62,82.62,82.62,0.0,0.0
2018-08-12,84.67,84.67,84.67,0.0,0.0,85.04,85.04,85.04,0.0,0.0,83.85,83.85,83.85,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2018-08-19,88.08,88.08,88.08,0.0,0.0,88.84,88.84,88.84,0.0,0.0,87.6,87.6,87.6,0.0,0.0,87.7,87.7,87.7,0.0,0.0
2018-08-26,87.9,87.9,87.9,0.0,0.0,89.24,89.24,89.24,0.0,0.0,87.89,87.89,87.89,0.0,0.0,88.97,88.97,88.97,0.0,0.0
2018-09-02,86.91,86.91,86.91,0.0,0.0,87.4,87.4,87.4,0.0,0.0,86.18,86.18,86.18,0.0,0.0,86.65,86.65,86.65,0.0,0.0
2018-09-09,87.12,87.12,87.12,0.0,0.0,87.18,87.18,87.18,0.0,0.0,85.08,85.08,85.08,0.0,0.0,85.21,85.21,85.21,0.0,0.0
2018-09-16,85.87,85.87,85.87,0.0,0.0,86.11,86.11,86.11,0.0,0.0,84.42,84.42,84.42,0.0,0.0,85.37,85.37,85.37,0.0,0.0
