Date,iShares MSCI Finland Capped_etf_Open_average,iShares MSCI Finland Capped_etf_Open_max,iShares MSCI Finland Capped_etf_Open_min,iShares MSCI Finland Capped_etf_Open_volatility,iShares MSCI Finland Capped_etf_Open_change,iShares MSCI Finland Capped_etf_High_average,iShares MSCI Finland Capped_etf_High_max,iShares MSCI Finland Capped_etf_High_min,iShares MSCI Finland Capped_etf_High_volatility,iShares MSCI Finland Capped_etf_High_change,iShares MSCI Finland Capped_etf_Low_average,iShares MSCI Finland Capped_etf_Low_max,iShares MSCI Finland Capped_etf_Low_min,iShares MSCI Finland Capped_etf_Low_volatility,iShares MSCI Finland Capped_etf_Low_change,iShares MSCI Finland Capped_etf_Close_average,iShares MSCI Finland Capped_etf_Close_max,iShares MSCI Finland Capped_etf_Close_min,iShares MSCI Finland Capped_etf_Close_volatility,iShares MSCI Finland Capped_etf_Close_change
2018-01-14,41.72,41.72,41.72,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2018-01-21,42.06,42.06,42.06,0.0,0.0,42.17,42.17,42.17,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2018-01-28,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-02-04,40.57,40.57,40.57,0.0,0.0,40.8,40.8,40.8,0.0,0.0,39.67,39.67,39.67,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2018-02-11,42.86,42.86,42.86,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-02-18,42.79,42.79,42.79,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-02-25,41.47,41.47,41.47,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-03-04,43.01,43.01,43.01,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-03-11,42.6,42.6,42.6,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.43,42.43,42.43,0.0,0.0
2018-03-18,41.7,41.7,41.7,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-03-25,42.01,42.01,42.01,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.94,41.94,41.94,0.0,0.0
