Date,Oppenheimer Fin Revenue_Open_average,Oppenheimer Fin Revenue_Open_max,Oppenheimer Fin Revenue_Open_min,Oppenheimer Fin Revenue_Open_volatility,Oppenheimer Fin Revenue_Open_change,Oppenheimer Fin Revenue_High_average,Oppenheimer Fin Revenue_High_max,Oppenheimer Fin Revenue_High_min,Oppenheimer Fin Revenue_High_volatility,Oppenheimer Fin Revenue_High_change,Oppenheimer Fin Revenue_Low_average,Oppenheimer Fin Revenue_Low_max,Oppenheimer Fin Revenue_Low_min,Oppenheimer Fin Revenue_Low_volatility,Oppenheimer Fin Revenue_Low_change,Oppenheimer Fin Revenue_Close_average,Oppenheimer Fin Revenue_Close_max,Oppenheimer Fin Revenue_Close_min,Oppenheimer Fin Revenue_Close_volatility,Oppenheimer Fin Revenue_Close_change
2018-01-14,72.67,72.67,72.67,0.0,0.0,72.84,72.84,72.84,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.84,72.84,72.84,0.0,0.0
2018-01-21,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2018-01-28,70.01,70.01,70.01,0.0,0.0,71.07,71.07,71.07,0.0,0.0,67.65,67.65,67.65,0.0,0.0,68.02,68.02,68.02,0.0,0.0
2018-02-04,68.23,68.23,68.23,0.0,0.0,68.77,68.77,68.77,0.0,0.0,67.67,67.67,67.67,0.0,0.0,68.19,68.19,68.19,0.0,0.0
2018-02-11,70.43,70.43,70.43,0.0,0.0,70.72,70.72,70.72,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.38,70.38,70.38,0.0,0.0
2018-02-18,71.3,71.3,71.3,0.0,0.0,71.55,71.55,71.55,0.0,0.0,70.68,70.68,70.68,0.0,0.0,71.55,71.55,71.55,0.0,0.0
2018-02-25,68.44,68.44,68.44,0.0,0.0,69.62,69.62,69.62,0.0,0.0,68.44,68.44,68.44,0.0,0.0,69.62,69.62,69.62,0.0,0.0
2018-03-04,72.11,72.11,72.11,0.0,0.0,72.11,72.11,72.11,0.0,0.0,71.56,71.56,71.56,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2018-03-11,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.36,69.36,69.36,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2018-03-18,66.85,66.85,66.85,0.0,0.0,67.42,67.42,67.42,0.0,0.0,66.31,66.31,66.31,0.0,0.0,67.39,67.39,67.39,0.0,0.0
2018-03-25,66.98,66.98,66.98,0.0,0.0,66.98,66.98,66.98,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.15,65.15,65.15,0.0,0.0
2018-04-01,66.45,66.45,66.45,0.0,0.0,67.3,67.3,67.3,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-04-08,67.4,67.4,67.4,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2018-04-15,68.1,68.1,68.1,0.0,0.0,68.12,68.12,68.12,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2018-04-22,67.56,67.56,67.56,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.15,67.15,67.15,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-04-29,66.28,66.28,66.28,0.0,0.0,66.66,66.66,66.66,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.66,66.66,66.66,0.0,0.0
2018-05-06,68.23,68.23,68.23,0.0,0.0,68.27,68.27,68.27,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.06,68.06,68.06,0.0,0.0
2018-05-13,67.95,67.95,67.95,0.0,0.0,68.27,68.27,68.27,0.0,0.0,67.95,67.95,67.95,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-05-20,67.33,67.33,67.33,0.0,0.0,67.35,67.35,67.35,0.0,0.0,67.14,67.14,67.14,0.0,0.0,67.29,67.29,67.29,0.0,0.0
2018-05-27,66.54,66.54,66.54,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2018-06-03,67.99,67.99,67.99,0.0,0.0,67.99,67.99,67.99,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2018-06-10,66.25,66.25,66.25,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-06-17,65.72,65.72,65.72,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.6,65.6,65.6,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-06-24,63.97,63.97,63.97,0.0,0.0,64.33,64.33,64.33,0.0,0.0,63.97,63.97,63.97,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2018-07-01,64.68,64.68,64.68,0.0,0.0,65.97,65.97,65.97,0.0,0.0,64.68,64.68,64.68,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2018-07-08,66.14,66.14,66.14,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-07-15,66.87,66.87,66.87,0.0,0.0,67.23,67.23,67.23,0.0,0.0,66.85,66.85,66.85,0.0,0.0,67.23,67.23,67.23,0.0,0.0
2018-07-22,67.71,67.71,67.71,0.0,0.0,68.08,68.08,68.08,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-07-29,67.88,67.88,67.88,0.0,0.0,67.96,67.96,67.96,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.96,67.96,67.96,0.0,0.0
2018-08-05,67.45,67.45,67.45,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.16,67.16,67.16,0.0,0.0,67.16,67.16,67.16,0.0,0.0
2018-08-12,68.36,68.36,68.36,0.0,0.0,68.38,68.38,68.38,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2018-08-19,69.23,69.23,69.23,0.0,0.0,69.54,69.54,69.54,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.54,69.54,69.54,0.0,0.0
2018-08-26,68.37,68.37,68.37,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.23,68.23,68.23,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-09-02,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.46,68.46,68.46,0.0,0.0,68.49,68.49,68.49,0.0,0.0
2018-09-09,68.53,68.53,68.53,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.31,68.31,68.31,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-09-16,70.12,70.12,70.12,0.0,0.0,70.12,70.12,70.12,0.0,0.0,69.67,69.67,69.67,0.0,0.0,69.67,69.67,69.67,0.0,0.0
2018-09-23,67.92,67.92,67.92,0.0,0.0,67.92,67.92,67.92,0.0,0.0,67.54,67.54,67.54,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2018-09-30,68.4,68.4,68.4,0.0,0.0,69.05,69.05,69.05,0.0,0.0,68.3,68.3,68.3,0.0,0.0,69.05,69.05,69.05,0.0,0.0
2018-10-07,64.41,64.41,64.41,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.46,64.46,64.46,0.0,0.0
2018-10-14,65.58,65.58,65.58,0.0,0.0,65.58,65.58,65.58,0.0,0.0,63.82,63.82,63.82,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-10-21,62.29,62.29,62.29,0.0,0.0,62.78,62.78,62.78,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.87,61.87,61.87,0.0,0.0
2018-10-28,65.05,65.05,65.05,0.0,0.0,65.08,65.08,65.08,0.0,0.0,64.81,64.81,64.81,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2018-11-04,65.72,65.72,65.72,0.0,0.0,65.9,65.9,65.9,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-11-11,64.38,64.38,64.38,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.32,64.32,64.32,0.0,0.0,64.49,64.49,64.49,0.0,0.0
2018-11-18,64.28,64.28,64.28,0.0,0.0,64.28,64.28,64.28,0.0,0.0,63.92,63.92,63.92,0.0,0.0,64.25,64.25,64.25,0.0,0.0
