Date,United States Oil_etf_Open_average,United States Oil_etf_Open_max,United States Oil_etf_Open_min,United States Oil_etf_Open_volatility,United States Oil_etf_Open_change,United States Oil_etf_High_average,United States Oil_etf_High_max,United States Oil_etf_High_min,United States Oil_etf_High_volatility,United States Oil_etf_High_change,United States Oil_etf_Low_average,United States Oil_etf_Low_max,United States Oil_etf_Low_min,United States Oil_etf_Low_volatility,United States Oil_etf_Low_change,United States Oil_etf_Close_average,United States Oil_etf_Close_max,United States Oil_etf_Close_min,United States Oil_etf_Close_volatility,United States Oil_etf_Close_change
2018-01-14,101.44,101.44,101.44,0.0,0.0,101.92,101.92,101.92,0.0,0.0,100.89,100.89,100.89,0.0,0.0,101.76,101.76,101.76,0.0,0.0
2018-01-21,104.88,104.88,104.88,0.0,0.0,106.32,106.32,106.32,0.0,0.0,104.8,104.8,104.8,0.0,0.0,105.92,105.92,105.92,0.0,0.0
2018-01-28,104.96,104.96,104.96,0.0,0.0,105.36,105.36,105.36,0.0,0.0,103.32,103.32,103.32,0.0,0.0,104.32,104.32,104.32,0.0,0.0
2018-02-04,96.88,96.88,96.88,0.0,0.0,97.12,97.12,97.12,0.0,0.0,93.19,93.19,93.19,0.0,0.0,94.88,94.88,94.88,0.0,0.0
2018-02-11,98.16,98.16,98.16,0.0,0.0,99.52,99.52,99.52,0.0,0.0,97.76,97.76,97.76,0.0,0.0,99.04,99.04,99.04,0.0,0.0
2018-02-18,100.88,100.88,100.88,0.0,0.0,102.56,102.56,102.56,0.0,0.0,100.76,100.76,100.76,0.0,0.0,102.16,102.16,102.16,0.0,0.0
2018-02-25,97.76,97.76,97.76,0.0,0.0,98.96,98.96,98.96,0.0,0.0,96.8,96.8,96.8,0.0,0.0,98.96,98.96,98.96,0.0,0.0
2018-03-04,98.16,98.16,98.16,0.0,0.0,100.0,100.0,100.0,0.0,0.0,98.08,98.08,98.08,0.0,0.0,99.76,99.76,99.76,0.0,0.0
2018-03-11,98.8,98.8,98.8,0.0,0.0,100.96,100.96,100.96,0.0,0.0,98.56,98.56,98.56,0.0,0.0,100.4,100.4,100.4,0.0,0.0
2018-03-18,104.72,104.72,104.72,0.0,0.0,106.4,106.4,106.4,0.0,0.0,104.64,104.64,104.64,0.0,0.0,106.24,106.24,106.24,0.0,0.0
2018-03-25,103.92,103.92,103.92,0.0,0.0,105.28,105.28,105.28,0.0,0.0,103.52,103.52,103.52,0.0,0.0,104.72,104.72,104.72,0.0,0.0
2018-04-01,102.4,102.4,102.4,0.0,0.0,102.76,102.76,102.76,0.0,0.0,99.76,99.76,99.76,0.0,0.0,100.08,100.08,100.08,0.0,0.0
2018-04-08,108.4,108.4,108.4,0.0,0.0,109.12,109.12,109.12,0.0,0.0,108.0,108.0,108.0,0.0,0.0,108.4,108.4,108.4,0.0,0.0
2018-04-15,109.28,109.28,109.28,0.0,0.0,110.72,110.72,110.72,0.0,0.0,108.96,108.96,108.96,0.0,0.0,110.0,110.0,110.0,0.0,0.0
2018-04-22,109.44,109.44,109.44,0.0,0.0,110.4,110.4,110.4,0.0,0.0,109.38,109.38,109.38,0.0,0.0,109.84,109.84,109.84,0.0,0.0
2018-04-29,110.64,110.64,110.64,0.0,0.0,113.04,113.04,113.04,0.0,0.0,110.62,110.62,110.62,0.0,0.0,112.72,112.72,112.72,0.0,0.0
2018-05-06,114.96,114.96,114.96,0.0,0.0,115.4,115.4,115.4,0.0,0.0,113.92,113.92,113.92,0.0,0.0,114.0,114.0,114.0,0.0,0.0
2018-05-13,115.52,115.52,115.52,0.0,0.0,116.0,116.0,116.0,0.0,0.0,114.96,114.96,114.96,0.0,0.0,115.44,115.44,115.44,0.0,0.0
