Date,RGLD_Open_average,RGLD_Open_max,RGLD_Open_min,RGLD_Open_volatility,RGLD_Open_change,RGLD_High_average,RGLD_High_max,RGLD_High_min,RGLD_High_volatility,RGLD_High_change,RGLD_Low_average,RGLD_Low_max,RGLD_Low_min,RGLD_Low_volatility,RGLD_Low_change,RGLD_Close_average,RGLD_Close_max,RGLD_Close_min,RGLD_Close_volatility,RGLD_Close_change,RGLD_Volume_average,RGLD_Volume_max,RGLD_Volume_min,RGLD_Volume_volatility,RGLD_Volume_change
2018-01-14,86.006,87.06,85.18,1.8799999999999955,1.8400000000000034,87.204,88.19,85.85,2.3400000000000034,1.5700000000000074,85.204,86.21,84.36,1.8499999999999943,1.0600000000000023,86.348,87.14,85.36,1.7800000000000011,1.75,528221,614902,450075,164827,-76541
2018-01-21,88.586,89.99,86.93,3.059999999999988,0.8899999999999864,89.438,90.51,88.72,1.7900000000000063,-0.009999999999990905,87.358,89.01,86.13,2.8800000000000097,0.7400000000000091,88.322,89.54,87.1,2.440000000000012,-1.4000000000000057,539496,760325,359452,400873,222447
2018-01-28,87.804,88.5,86.99,1.5100000000000051,-0.19000000000001194,88.742,89.6,87.94,1.6599999999999966,-0.5600000000000023,86.572,87.54,84.2,3.3400000000000034,-2.980000000000004,87.636,89.01,84.84,4.170000000000002,-3.25,797267,1129566,538476,591090,591090
2018-02-04,82.55799999999999,84.13,81.22,2.9099999999999966,-2.9099999999999966,84.174,86.46,82.98,3.4799999999999898,-0.4099999999999966,80.638,81.6,78.78,2.819999999999993,-0.4099999999999966,81.8,83.25,80.69,2.5600000000000023,1.2800000000000011,1009127,1389567,787770,601797,-289495
2018-02-11,84.09,85.3,82.72,2.5799999999999983,2.0799999999999983,85.3725,86.35,83.13,3.219999999999999,2.8000000000000114,83.1575,84.2,81.84,2.3599999999999994,2.219999999999999,84.6,85.59,82.74,2.8500000000000085,2.25,575607,682560,452174,230386,142063
2018-02-18,83.086,84.0,82.15,1.8499999999999943,0.0,84.234,84.79,83.56,1.230000000000004,0.3200000000000074,82.292,83.36,81.49,1.8700000000000045,1.8700000000000045,82.796,83.92,81.79,2.1299999999999955,2.1299999999999955,482497,970076,287895,682181,-652750
2018-02-25,81.596,83.62,80.45,3.1700000000000017,-2.6500000000000057,82.48,83.99,81.78,2.2099999999999937,-2.1099999999999994,80.56400000000001,81.27,79.67,1.5999999999999943,-0.9799999999999898,81.246,81.73,80.77,0.960000000000008,0.4200000000000017,456873,571455,308624,262831,-230707
2018-03-04,82.282,83.42,81.71,1.710000000000008,-0.75,83.19800000000001,84.42,82.28,2.1400000000000006,-1.2600000000000051,81.422,82.4,80.82,1.5800000000000125,-1.2000000000000028,82.444,83.56,81.91,1.6500000000000057,-0.8100000000000023,375640,564126,253004,311122,-187267
2018-03-11,83.714,84.2,82.82,1.3800000000000097,1.0700000000000074,84.172,84.4,83.9,0.5,-0.14000000000000057,82.832,83.1,82.49,0.6099999999999994,0.5600000000000023,83.7,83.8,83.45,0.3499999999999943,0.3199999999999932,728596,1739018,357260,1381758,267676
2018-03-18,84.304,85.83,83.4,2.4299999999999926,2.299999999999997,85.184,86.34,83.6,2.740000000000009,2.740000000000009,83.822,85.44,82.31,3.1299999999999955,3.1299999999999955,84.574,85.89,83.17,2.719999999999999,2.719999999999999,385129,470953,321381,149572,35189
2018-03-25,84.85,85.94,83.64,2.299999999999997,0.3499999999999943,85.9175,87.52,84.23,3.289999999999992,1.6599999999999966,83.875,85.78,82.45,3.3299999999999983,1.730000000000004,85.065,86.83,83.22,3.6099999999999994,2.489999999999995,494281,584576,357640,226936,-226936
2018-04-01,86.234,86.91,85.53,1.3799999999999955,-0.7399999999999949,86.716,86.91,86.5,0.4099999999999966,-0.4099999999999966,85.446,85.67,85.15,0.519999999999996,-0.1699999999999875,85.956,86.5,85.48,1.019999999999996,0.03999999999999204,382732,480096,257705,222391,-29927
