Date,Direxion Daily Small Cap Bear 3X Shares_Open_average,Direxion Daily Small Cap Bear 3X Shares_Open_max,Direxion Daily Small Cap Bear 3X Shares_Open_min,Direxion Daily Small Cap Bear 3X Shares_Open_volatility,Direxion Daily Small Cap Bear 3X Shares_Open_change,Direxion Daily Small Cap Bear 3X Shares_High_average,Direxion Daily Small Cap Bear 3X Shares_High_max,Direxion Daily Small Cap Bear 3X Shares_High_min,Direxion Daily Small Cap Bear 3X Shares_High_volatility,Direxion Daily Small Cap Bear 3X Shares_High_change,Direxion Daily Small Cap Bear 3X Shares_Low_average,Direxion Daily Small Cap Bear 3X Shares_Low_max,Direxion Daily Small Cap Bear 3X Shares_Low_min,Direxion Daily Small Cap Bear 3X Shares_Low_volatility,Direxion Daily Small Cap Bear 3X Shares_Low_change,Direxion Daily Small Cap Bear 3X Shares_Close_average,Direxion Daily Small Cap Bear 3X Shares_Close_max,Direxion Daily Small Cap Bear 3X Shares_Close_min,Direxion Daily Small Cap Bear 3X Shares_Close_volatility,Direxion Daily Small Cap Bear 3X Shares_Close_change
2018-01-14,54.6,54.6,54.6,0.0,0.0,54.65,54.65,54.65,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-01-21,53.95,53.95,53.95,0.0,0.0,54.3,54.3,54.3,0.0,0.0,53.1,53.1,53.1,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-01-28,60.8,60.8,60.8,0.0,0.0,66.3,66.3,66.3,0.0,0.0,59.47,59.47,59.47,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-02-04,67.25,67.25,67.25,0.0,0.0,69.3,69.3,69.3,0.0,0.0,64.6,64.6,64.6,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-02-11,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0,58.0,58.0,58.0,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-02-18,57.7,57.7,57.7,0.0,0.0,58.9,58.9,58.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2018-02-25,60.55,60.55,60.55,0.0,0.0,60.97,60.97,60.97,0.0,0.0,57.7,57.7,57.7,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2018-03-04,52.45,52.45,52.45,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2018-03-11,54.4,54.4,54.4,0.0,0.0,57.28,57.28,57.28,0.0,0.0,54.4,54.4,54.4,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2018-03-18,59.2,59.2,59.2,0.0,0.0,61.28,61.28,61.28,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.75,57.75,57.75,0.0,0.0
2018-03-25,59.75,59.75,59.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0,59.05,59.05,59.05,0.0,0.0,63.5,63.5,63.5,0.0,0.0
2018-04-01,59.4,59.4,59.4,0.0,0.0,60.63,60.63,60.63,0.0,0.0,58.0,58.0,58.0,0.0,0.0,60.55,60.55,60.55,0.0,0.0
