Date,WisdomTree Earnings 500_etf_Open_average,WisdomTree Earnings 500_etf_Open_max,WisdomTree Earnings 500_etf_Open_min,WisdomTree Earnings 500_etf_Open_volatility,WisdomTree Earnings 500_etf_Open_change,WisdomTree Earnings 500_etf_High_average,WisdomTree Earnings 500_etf_High_max,WisdomTree Earnings 500_etf_High_min,WisdomTree Earnings 500_etf_High_volatility,WisdomTree Earnings 500_etf_High_change,WisdomTree Earnings 500_etf_Low_average,WisdomTree Earnings 500_etf_Low_max,WisdomTree Earnings 500_etf_Low_min,WisdomTree Earnings 500_etf_Low_volatility,WisdomTree Earnings 500_etf_Low_change,WisdomTree Earnings 500_etf_Close_average,WisdomTree Earnings 500_etf_Close_max,WisdomTree Earnings 500_etf_Close_min,WisdomTree Earnings 500_etf_Close_volatility,WisdomTree Earnings 500_etf_Close_change
2018-03-25,30.2,30.2,30.2,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-04-01,30.42,30.42,30.42,0.0,0.0,30.46,30.46,30.46,0.0,0.0,29.76,29.76,29.76,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-04-08,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-04-15,30.71,30.71,30.71,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-04-22,30.48,30.48,30.48,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-04-29,29.75,29.75,29.75,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-05-06,30.93,30.93,30.93,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-05-13,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2018-05-20,31.02,31.02,31.02,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-05-27,30.91,30.91,30.91,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.91,30.91,30.91,0.0,0.0,31.04,31.04,31.04,0.0,0.0
