Date,SPDR Gold Shares_Open_average,SPDR Gold Shares_Open_max,SPDR Gold Shares_Open_min,SPDR Gold Shares_Open_volatility,SPDR Gold Shares_Open_change,SPDR Gold Shares_High_average,SPDR Gold Shares_High_max,SPDR Gold Shares_High_min,SPDR Gold Shares_High_volatility,SPDR Gold Shares_High_change,SPDR Gold Shares_Low_average,SPDR Gold Shares_Low_max,SPDR Gold Shares_Low_min,SPDR Gold Shares_Low_volatility,SPDR Gold Shares_Low_change,SPDR Gold Shares_Close_average,SPDR Gold Shares_Close_max,SPDR Gold Shares_Close_min,SPDR Gold Shares_Close_volatility,SPDR Gold Shares_Close_change
2018-01-14,126.51,126.51,126.51,0.0,0.0,126.75,126.75,126.75,0.0,0.0,126.28,126.28,126.28,0.0,0.0,126.65,126.65,126.65,0.0,0.0
2018-01-21,127.58,127.58,127.58,0.0,0.0,127.63,127.63,127.63,0.0,0.0,126.92,126.92,126.92,0.0,0.0,127.35,127.35,127.35,0.0,0.0
2018-01-28,126.82,126.82,126.82,0.0,0.0,127.31,127.31,127.31,0.0,0.0,126.44,126.44,126.44,0.0,0.0,126.71,126.71,126.71,0.0,0.0
2018-02-04,125.19,125.19,125.19,0.0,0.0,125.82,125.82,125.82,0.0,0.0,125.11,125.11,125.11,0.0,0.0,125.37,125.37,125.37,0.0,0.0
2018-02-11,128.3,128.3,128.3,0.0,0.0,128.7,128.7,128.7,0.0,0.0,127.57,127.57,127.57,0.0,0.0,127.96,127.96,127.96,0.0,0.0
2018-02-18,126.45,126.45,126.45,0.0,0.0,126.62,126.62,126.62,0.0,0.0,126.18,126.18,126.18,0.0,0.0,126.45,126.45,126.45,0.0,0.0
2018-02-25,125.35,125.35,125.35,0.0,0.0,125.48,125.48,125.48,0.0,0.0,124.96,124.96,124.96,0.0,0.0,125.18,125.18,125.18,0.0,0.0
2018-03-04,125.04,125.04,125.04,0.0,0.0,125.57,125.57,125.57,0.0,0.0,124.84,124.84,124.84,0.0,0.0,125.54,125.54,125.54,0.0,0.0
2018-03-11,124.57,124.57,124.57,0.0,0.0,125.16,125.16,125.16,0.0,0.0,124.42,124.42,124.42,0.0,0.0,124.87,124.87,124.87,0.0,0.0
2018-03-18,128.05,128.05,128.05,0.0,0.0,128.58,128.58,128.58,0.0,0.0,128.01,128.01,128.01,0.0,0.0,128.28,128.28,128.28,0.0,0.0
2018-03-25,126.65,126.65,126.65,0.0,0.0,127.54,127.54,127.54,0.0,0.0,126.38,126.38,126.38,0.0,0.0,127.26,127.26,127.26,0.0,0.0
2018-04-01,126.45,126.45,126.45,0.0,0.0,126.86,126.86,126.86,0.0,0.0,126.23,126.23,126.23,0.0,0.0,126.82,126.82,126.82,0.0,0.0
2018-04-08,127.74,127.74,127.74,0.0,0.0,128.05,128.05,128.05,0.0,0.0,127.57,127.57,127.57,0.0,0.0,127.63,127.63,127.63,0.0,0.0
2018-04-15,125.62,125.62,125.62,0.0,0.0,125.76,125.76,125.76,0.0,0.0,125.34,125.34,125.34,0.0,0.0,125.62,125.62,125.62,0.0,0.0
