Date,Natixis Seeyond International Minimum Volatility_Open_average,Natixis Seeyond International Minimum Volatility_Open_max,Natixis Seeyond International Minimum Volatility_Open_min,Natixis Seeyond International Minimum Volatility_Open_volatility,Natixis Seeyond International Minimum Volatility_Open_change,Natixis Seeyond International Minimum Volatility_High_average,Natixis Seeyond International Minimum Volatility_High_max,Natixis Seeyond International Minimum Volatility_High_min,Natixis Seeyond International Minimum Volatility_High_volatility,Natixis Seeyond International Minimum Volatility_High_change,Natixis Seeyond International Minimum Volatility_Low_average,Natixis Seeyond International Minimum Volatility_Low_max,Natixis Seeyond International Minimum Volatility_Low_min,Natixis Seeyond International Minimum Volatility_Low_volatility,Natixis Seeyond International Minimum Volatility_Low_change,Natixis Seeyond International Minimum Volatility_Close_average,Natixis Seeyond International Minimum Volatility_Close_max,Natixis Seeyond International Minimum Volatility_Close_min,Natixis Seeyond International Minimum Volatility_Close_volatility,Natixis Seeyond International Minimum Volatility_Close_change
2018-01-14,46.34,46.34,46.34,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-01-21,46.76,46.76,46.76,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-01-28,45.11,45.11,45.11,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-02-04,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.06,44.06,44.06,0.0,0.0
2018-02-11,45.24,45.24,45.24,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2018-02-18,45.65,45.65,45.65,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2018-02-25,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-03-04,45.55,45.55,45.55,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2018-03-11,45.06,45.06,45.06,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-03-18,44.87,44.87,44.87,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-03-25,44.76,44.76,44.76,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.57,44.57,44.57,0.0,0.0
2018-04-01,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-04-08,45.34,45.34,45.34,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-04-15,45.46,45.46,45.46,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2018-04-22,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-04-29,45.32,45.32,45.32,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-05-06,45.53,45.53,45.53,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-05-13,45.54,45.54,45.54,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.54,45.54,45.54,0.0,0.0
