Date,Claymore CEF GS Connect Due 12102037_etf_Open_average,Claymore CEF GS Connect Due 12102037_etf_Open_max,Claymore CEF GS Connect Due 12102037_etf_Open_min,Claymore CEF GS Connect Due 12102037_etf_Open_volatility,Claymore CEF GS Connect Due 12102037_etf_Open_change,Claymore CEF GS Connect Due 12102037_etf_High_average,Claymore CEF GS Connect Due 12102037_etf_High_max,Claymore CEF GS Connect Due 12102037_etf_High_min,Claymore CEF GS Connect Due 12102037_etf_High_volatility,Claymore CEF GS Connect Due 12102037_etf_High_change,Claymore CEF GS Connect Due 12102037_etf_Low_average,Claymore CEF GS Connect Due 12102037_etf_Low_max,Claymore CEF GS Connect Due 12102037_etf_Low_min,Claymore CEF GS Connect Due 12102037_etf_Low_volatility,Claymore CEF GS Connect Due 12102037_etf_Low_change,Claymore CEF GS Connect Due 12102037_etf_Close_average,Claymore CEF GS Connect Due 12102037_etf_Close_max,Claymore CEF GS Connect Due 12102037_etf_Close_min,Claymore CEF GS Connect Due 12102037_etf_Close_volatility,Claymore CEF GS Connect Due 12102037_etf_Close_change
2018-01-14,15.99,15.99,15.99,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.99,15.99,15.99,0.0,0.0
2018-01-21,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2018-01-28,15.77,15.77,15.77,0.0,0.0,16.52,16.52,16.52,0.0,0.0,15.77,15.77,15.77,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-02-04,16.09,16.09,16.09,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-02-11,15.27,15.27,15.27,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.18,15.18,15.18,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-02-18,15.24,15.24,15.24,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.24,15.24,15.24,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-02-25,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-03-04,15.38,15.38,15.38,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-03-11,15.33,15.33,15.33,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2018-03-18,14.85,14.85,14.85,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2018-03-25,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0
