Date,Direxion Daily FTSE Europe Bull 3X Shares_Open_average,Direxion Daily FTSE Europe Bull 3X Shares_Open_max,Direxion Daily FTSE Europe Bull 3X Shares_Open_min,Direxion Daily FTSE Europe Bull 3X Shares_Open_volatility,Direxion Daily FTSE Europe Bull 3X Shares_Open_change,Direxion Daily FTSE Europe Bull 3X Shares_High_average,Direxion Daily FTSE Europe Bull 3X Shares_High_max,Direxion Daily FTSE Europe Bull 3X Shares_High_min,Direxion Daily FTSE Europe Bull 3X Shares_High_volatility,Direxion Daily FTSE Europe Bull 3X Shares_High_change,Direxion Daily FTSE Europe Bull 3X Shares_Low_average,Direxion Daily FTSE Europe Bull 3X Shares_Low_max,Direxion Daily FTSE Europe Bull 3X Shares_Low_min,Direxion Daily FTSE Europe Bull 3X Shares_Low_volatility,Direxion Daily FTSE Europe Bull 3X Shares_Low_change,Direxion Daily FTSE Europe Bull 3X Shares_Close_average,Direxion Daily FTSE Europe Bull 3X Shares_Close_max,Direxion Daily FTSE Europe Bull 3X Shares_Close_min,Direxion Daily FTSE Europe Bull 3X Shares_Close_volatility,Direxion Daily FTSE Europe Bull 3X Shares_Close_change
2018-01-14,45.0,45.0,45.0,0.0,0.0,45.62,45.62,45.62,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-01-21,45.81,45.81,45.81,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-01-28,40.06,40.06,40.06,0.0,0.0,40.51,40.51,40.51,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-02-04,35.56,35.56,35.56,0.0,0.0,36.38,36.38,36.38,0.0,0.0,35.34,35.34,35.34,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-02-11,38.82,38.82,38.82,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.82,38.82,38.82,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-02-18,38.94,38.94,38.94,0.0,0.0,39.32,39.32,39.32,0.0,0.0,38.34,38.34,38.34,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2018-02-25,34.35,34.35,34.35,0.0,0.0,35.82,35.82,35.82,0.0,0.0,34.35,34.35,34.35,0.0,0.0,35.8,35.8,35.8,0.0,0.0
2018-03-04,37.68,37.68,37.68,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-03-11,36.79,36.79,36.79,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-03-18,34.96,34.96,34.96,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.19,34.19,34.19,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-03-25,35.48,35.48,35.48,0.0,0.0,35.55,35.55,35.55,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-04-01,36.5,36.5,36.5,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.25,36.25,36.25,0.0,0.0
