Date,ProShares Ultra QQQ_Open_average,ProShares Ultra QQQ_Open_max,ProShares Ultra QQQ_Open_min,ProShares Ultra QQQ_Open_volatility,ProShares Ultra QQQ_Open_change,ProShares Ultra QQQ_High_average,ProShares Ultra QQQ_High_max,ProShares Ultra QQQ_High_min,ProShares Ultra QQQ_High_volatility,ProShares Ultra QQQ_High_change,ProShares Ultra QQQ_Low_average,ProShares Ultra QQQ_Low_max,ProShares Ultra QQQ_Low_min,ProShares Ultra QQQ_Low_volatility,ProShares Ultra QQQ_Low_change,ProShares Ultra QQQ_Close_average,ProShares Ultra QQQ_Close_max,ProShares Ultra QQQ_Close_min,ProShares Ultra QQQ_Close_volatility,ProShares Ultra QQQ_Close_change
2018-01-14,83.37,83.37,83.37,0.0,0.0,85.25,85.25,85.25,0.0,0.0,83.23,83.23,83.23,0.0,0.0,85.25,85.25,85.25,0.0,0.0
2018-01-21,87.64,87.64,87.64,0.0,0.0,88.01,88.01,88.01,0.0,0.0,86.83,86.83,86.83,0.0,0.0,87.18,87.18,87.18,0.0,0.0
2018-01-28,80.01,80.01,80.01,0.0,0.0,82.69,82.69,82.69,0.0,0.0,75.06,75.06,75.06,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2018-02-04,74.46,74.46,74.46,0.0,0.0,76.56,76.56,76.56,0.0,0.0,73.29,73.29,73.29,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-02-11,81.59,81.59,81.59,0.0,0.0,83.13,83.13,83.13,0.0,0.0,81.1,81.1,81.1,0.0,0.0,81.43,81.43,81.43,0.0,0.0
2018-02-18,85.23,85.23,85.23,0.0,0.0,86.67,86.67,86.67,0.0,0.0,85.14,85.14,85.14,0.0,0.0,86.67,86.67,86.67,0.0,0.0
2018-02-25,81.47,81.47,81.47,0.0,0.0,84.45,84.45,84.45,0.0,0.0,80.87,80.87,80.87,0.0,0.0,84.0,84.0,84.0,0.0,0.0
2018-03-04,89.87,89.87,89.87,0.0,0.0,90.73,90.73,90.73,0.0,0.0,89.48,89.48,89.48,0.0,0.0,90.12,90.12,90.12,0.0,0.0
2018-03-11,85.61,85.61,85.61,0.0,0.0,85.61,85.61,85.61,0.0,0.0,81.91,81.91,81.91,0.0,0.0,83.47,83.47,83.47,0.0,0.0
2018-03-18,77.88,77.88,77.88,0.0,0.0,80.65,80.65,80.65,0.0,0.0,75.5,75.5,75.5,0.0,0.0,80.45,80.45,80.45,0.0,0.0
2018-03-25,75.09,75.09,75.09,0.0,0.0,75.79,75.79,75.79,0.0,0.0,70.22,70.22,70.22,0.0,0.0,71.82,71.82,71.82,0.0,0.0
2018-04-01,73.97,73.97,73.97,0.0,0.0,76.62,76.62,76.62,0.0,0.0,73.46,73.46,73.46,0.0,0.0,73.64,73.64,73.64,0.0,0.0
2018-04-08,78.09,78.09,78.09,0.0,0.0,78.79,78.79,78.79,0.0,0.0,77.19,77.19,77.19,0.0,0.0,78.18,78.18,78.18,0.0,0.0
2018-04-15,78.59,78.59,78.59,0.0,0.0,79.19,79.19,79.19,0.0,0.0,76.6,76.6,76.6,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2018-04-22,77.9,77.9,77.9,0.0,0.0,78.84,78.84,78.84,0.0,0.0,76.04,76.04,76.04,0.0,0.0,76.4,76.4,76.4,0.0,0.0
2018-04-29,80.87,80.87,80.87,0.0,0.0,81.95,81.95,81.95,0.0,0.0,80.74,80.74,80.74,0.0,0.0,81.36,81.36,81.36,0.0,0.0
2018-05-06,84.94,84.94,84.94,0.0,0.0,85.91,85.91,85.91,0.0,0.0,84.57,84.57,84.57,0.0,0.0,84.83,84.83,84.83,0.0,0.0
2018-05-13,83.77,83.77,83.77,0.0,0.0,84.52,84.52,84.52,0.0,0.0,82.74,82.74,82.74,0.0,0.0,83.46,83.46,83.46,0.0,0.0
2018-05-20,84.5,84.5,84.5,0.0,0.0,85.31,85.31,85.31,0.0,0.0,84.2,84.2,84.2,0.0,0.0,84.71,84.71,84.71,0.0,0.0
2018-05-27,88.11,88.11,88.11,0.0,0.0,89.3,89.3,89.3,0.0,0.0,88.01,88.01,88.01,0.0,0.0,89.18,89.18,89.18,0.0,0.0
2018-06-03,89.21,89.21,89.21,0.0,0.0,90.24,90.24,90.24,0.0,0.0,89.16,89.16,89.16,0.0,0.0,89.8,89.8,89.8,0.0,0.0
2018-06-10,90.73,90.73,90.73,0.0,0.0,91.92,91.92,91.92,0.0,0.0,90.14,90.14,90.14,0.0,0.0,91.8,91.8,91.8,0.0,0.0
2018-06-17,88.86,88.86,88.86,0.0,0.0,89.1,89.1,89.1,0.0,0.0,84.81,84.81,84.81,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2018-06-24,84.99,84.99,84.99,0.0,0.0,87.81,87.81,87.81,0.0,0.0,84.63,84.63,84.63,0.0,0.0,87.76,87.76,87.76,0.0,0.0
2018-07-01,91.44,91.44,91.44,0.0,0.0,92.2,92.2,92.2,0.0,0.0,90.78,90.78,90.78,0.0,0.0,92.17,92.17,92.17,0.0,0.0
2018-07-08,94.65,94.65,94.65,0.0,0.0,94.96,94.96,94.96,0.0,0.0,93.86,93.86,93.86,0.0,0.0,94.17,94.17,94.17,0.0,0.0
2018-07-15,93.3,93.3,93.3,0.0,0.0,94.56,94.56,94.56,0.0,0.0,92.59,92.59,92.59,0.0,0.0,94.47,94.47,94.47,0.0,0.0
2018-07-22,92.41,92.41,92.41,0.0,0.0,92.47,92.47,92.47,0.0,0.0,88.88,88.88,88.88,0.0,0.0,89.79,89.79,89.79,0.0,0.0
2018-07-29,94.77,94.77,94.77,0.0,0.0,96.0,96.0,96.0,0.0,0.0,94.47,94.47,94.47,0.0,0.0,96.0,96.0,96.0,0.0,0.0
2018-08-05,95.52,95.52,95.52,0.0,0.0,96.77,96.77,96.77,0.0,0.0,94.92,94.92,94.92,0.0,0.0,95.05,95.05,95.05,0.0,0.0
2018-08-12,94.92,94.92,94.92,0.0,0.0,94.94,94.94,94.94,0.0,0.0,93.56,93.56,93.56,0.0,0.0,94.32,94.32,94.32,0.0,0.0
2018-08-19,98.18,98.18,98.18,0.0,0.0,99.1,99.1,99.1,0.0,0.0,97.84,97.84,97.84,0.0,0.0,99.1,99.1,99.1,0.0,0.0
2018-08-26,101.02,101.02,101.02,0.0,0.0,102.12,102.12,102.12,0.0,0.0,100.82,100.82,100.82,0.0,0.0,101.52,101.52,101.52,0.0,0.0
2018-09-02,96.6,96.6,96.6,0.0,0.0,96.73,96.73,96.73,0.0,0.0,95.13,95.13,95.13,0.0,0.0,96.16,96.16,96.16,0.0,0.0
2018-09-09,98.16,98.16,98.16,0.0,0.0,98.29,98.29,98.29,0.0,0.0,95.49,95.49,95.49,0.0,0.0,95.7,95.7,95.7,0.0,0.0
2018-09-16,96.7,96.7,96.7,0.0,0.0,98.71,98.71,98.71,0.0,0.0,95.89,95.89,95.89,0.0,0.0,98.6,98.6,98.6,0.0,0.0
2018-09-23,101.77,101.77,101.77,0.0,0.0,102.5,102.5,102.5,0.0,0.0,100.54,100.54,100.54,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2018-09-30,93.66,93.66,93.66,0.0,0.0,95.02,95.02,95.02,0.0,0.0,91.14,91.14,91.14,0.0,0.0,93.38,93.38,93.38,0.0,0.0
2018-10-07,87.57,87.57,87.57,0.0,0.0,87.85,87.85,87.85,0.0,0.0,85.39,85.39,85.39,0.0,0.0,85.97,85.97,85.97,0.0,0.0
2018-10-14,87.69,87.69,87.69,0.0,0.0,88.86,88.86,88.86,0.0,0.0,86.22,86.22,86.22,0.0,0.0,87.59,87.59,87.59,0.0,0.0
2018-10-21,82.36,82.36,82.36,0.0,0.0,83.05,83.05,83.05,0.0,0.0,73.71,73.71,73.71,0.0,0.0,77.14,77.14,77.14,0.0,0.0
2018-10-28,82.68,82.68,82.68,0.0,0.0,82.72,82.72,82.72,0.0,0.0,80.22,80.22,80.22,0.0,0.0,82.06,82.06,82.06,0.0,0.0
2018-11-04,83.18,83.18,83.18,0.0,0.0,83.48,83.48,83.48,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.42,79.42,79.42,0.0,0.0
2018-11-11,79.59,79.59,79.59,0.0,0.0,79.72,79.72,79.72,0.0,0.0,74.62,74.62,74.62,0.0,0.0,75.07,75.07,75.07,0.0,0.0
2018-11-18,74.36,74.36,74.36,0.0,0.0,75.81,75.81,75.81,0.0,0.0,73.81,73.81,73.81,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-11-25,85.36,85.36,85.36,0.0,0.0,85.54,85.54,85.54,0.0,0.0,83.36,83.36,83.36,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2018-12-02,73.66,73.66,73.66,0.0,0.0,76.12,76.12,76.12,0.0,0.0,72.15,72.15,72.15,0.0,0.0,75.48,75.48,75.48,0.0,0.0
