Date,Utilities Select Sector SPDR_Open_average,Utilities Select Sector SPDR_Open_max,Utilities Select Sector SPDR_Open_min,Utilities Select Sector SPDR_Open_volatility,Utilities Select Sector SPDR_Open_change,Utilities Select Sector SPDR_High_average,Utilities Select Sector SPDR_High_max,Utilities Select Sector SPDR_High_min,Utilities Select Sector SPDR_High_volatility,Utilities Select Sector SPDR_High_change,Utilities Select Sector SPDR_Low_average,Utilities Select Sector SPDR_Low_max,Utilities Select Sector SPDR_Low_min,Utilities Select Sector SPDR_Low_volatility,Utilities Select Sector SPDR_Low_change,Utilities Select Sector SPDR_Close_average,Utilities Select Sector SPDR_Close_max,Utilities Select Sector SPDR_Close_min,Utilities Select Sector SPDR_Close_volatility,Utilities Select Sector SPDR_Close_change
2018-01-14,50.23,50.23,50.23,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-01-21,50.8,50.8,50.8,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2018-01-28,49.8,49.8,49.8,0.0,0.0,50.33,50.33,50.33,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-02-04,48.66,48.66,48.66,0.0,0.0,49.2,49.2,49.2,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-02-11,49.71,49.71,49.71,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.52,49.52,49.52,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-02-18,50.55,50.55,50.55,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-02-25,48.82,48.82,48.82,0.0,0.0,50.05,50.05,50.05,0.0,0.0,48.72,48.72,48.72,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-03-04,49.42,49.42,49.42,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-03-11,50.22,50.22,50.22,0.0,0.0,50.39,50.39,50.39,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-03-18,49.22,49.22,49.22,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-03-25,50.62,50.62,50.62,0.0,0.0,50.86,50.86,50.86,0.0,0.0,49.78,49.78,49.78,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-04-01,50.46,50.46,50.46,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-04-08,49.9,49.9,49.9,0.0,0.0,50.49,50.49,50.49,0.0,0.0,49.87,49.87,49.87,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-04-15,50.37,50.37,50.37,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-04-22,51.79,51.79,51.79,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2018-04-29,51.48,51.48,51.48,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-05-06,50.46,50.46,50.46,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-05-13,49.05,49.05,49.05,0.0,0.0,49.38,49.38,49.38,0.0,0.0,48.83,48.83,48.83,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-05-20,50.35,50.35,50.35,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-05-27,50.31,50.31,50.31,0.0,0.0,50.52,50.52,50.52,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2018-06-03,48.8,48.8,48.8,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-06-10,49.51,49.51,49.51,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-06-17,50.76,50.76,50.76,0.0,0.0,51.7,51.7,51.7,0.0,0.0,50.76,50.76,50.76,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-06-24,51.99,51.99,51.99,0.0,0.0,52.36,52.36,52.36,0.0,0.0,51.74,51.74,51.74,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2018-07-01,53.16,53.16,53.16,0.0,0.0,53.16,53.16,53.16,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.53,51.53,51.53,0.0,0.0
2018-07-08,52.5,52.5,52.5,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-07-15,52.3,52.3,52.3,0.0,0.0,52.4,52.4,52.4,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-07-22,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-07-29,53.35,53.35,53.35,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2018-08-05,53.08,53.08,53.08,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.81,52.81,52.81,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-08-12,54.63,54.63,54.63,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-08-19,53.77,53.77,53.77,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-08-26,53.78,53.78,53.78,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-09-02,54.21,54.21,54.21,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-09-09,54.2,54.2,54.2,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2018-09-16,52.88,52.88,52.88,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2018-09-23,52.49,52.49,52.49,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-09-30,53.84,53.84,53.84,0.0,0.0,54.44,54.44,54.44,0.0,0.0,53.59,53.59,53.59,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2018-10-07,52.94,52.94,52.94,0.0,0.0,53.53,53.53,53.53,0.0,0.0,52.88,52.88,52.88,0.0,0.0,53.2,53.2,53.2,0.0,0.0
