Date,iShares MSCI China Small-Cap_Open_average,iShares MSCI China Small-Cap_Open_max,iShares MSCI China Small-Cap_Open_min,iShares MSCI China Small-Cap_Open_volatility,iShares MSCI China Small-Cap_Open_change,iShares MSCI China Small-Cap_High_average,iShares MSCI China Small-Cap_High_max,iShares MSCI China Small-Cap_High_min,iShares MSCI China Small-Cap_High_volatility,iShares MSCI China Small-Cap_High_change,iShares MSCI China Small-Cap_Low_average,iShares MSCI China Small-Cap_Low_max,iShares MSCI China Small-Cap_Low_min,iShares MSCI China Small-Cap_Low_volatility,iShares MSCI China Small-Cap_Low_change,iShares MSCI China Small-Cap_Close_average,iShares MSCI China Small-Cap_Close_max,iShares MSCI China Small-Cap_Close_min,iShares MSCI China Small-Cap_Close_volatility,iShares MSCI China Small-Cap_Close_change
2018-01-14,54.12,54.12,54.12,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2018-01-21,55.11,55.11,55.11,0.0,0.0,55.11,55.11,55.11,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.85,54.85,54.85,0.0,0.0
2018-01-28,52.86,52.86,52.86,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-02-04,49.44,49.44,49.44,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-02-11,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-02-18,52.48,52.48,52.48,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.48,52.48,52.48,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2018-02-25,51.9,51.9,51.9,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-03-04,53.94,53.94,53.94,0.0,0.0,55.2,55.2,55.2,0.0,0.0,53.75,53.75,53.75,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-03-11,53.33,53.33,53.33,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-03-18,51.8,51.8,51.8,0.0,0.0,52.58,52.58,52.58,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2018-03-25,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-04-01,53.06,53.06,53.06,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-04-08,53.57,53.57,53.57,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.6,53.6,53.6,0.0,0.0
2018-04-15,52.13,52.13,52.13,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2018-04-22,52.53,52.53,52.53,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-04-29,53.3,53.3,53.3,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-05-06,55.0,55.0,55.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-05-13,55.99,55.99,55.99,0.0,0.0,56.4,56.4,56.4,0.0,0.0,55.95,55.95,55.95,0.0,0.0,56.12,56.12,56.12,0.0,0.0
2018-05-20,55.77,55.77,55.77,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.77,55.77,55.77,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-05-27,55.26,55.26,55.26,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-06-03,55.66,55.66,55.66,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2018-06-10,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-06-17,51.82,51.82,51.82,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-06-24,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-07-01,50.1,50.1,50.1,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2018-07-08,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-07-15,49.73,49.73,49.73,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-07-22,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-07-29,48.09,48.09,48.09,0.0,0.0,48.09,48.09,48.09,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2018-08-05,48.06,48.06,48.06,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-08-12,45.86,45.86,45.86,0.0,0.0,46.06,46.06,46.06,0.0,0.0,45.86,45.86,45.86,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2018-08-19,48.31,48.31,48.31,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-08-26,47.16,47.16,47.16,0.0,0.0,47.55,47.55,47.55,0.0,0.0,46.52,46.52,46.52,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-09-02,44.95,44.95,44.95,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-09-09,44.52,44.52,44.52,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2018-09-16,45.96,45.96,45.96,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.82,45.82,45.82,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-09-23,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2018-09-30,43.8,43.8,43.8,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.65,43.65,43.65,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-10-07,41.71,41.71,41.71,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-10-14,42.15,42.15,42.15,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2018-10-21,40.63,40.63,40.63,0.0,0.0,40.9,40.9,40.9,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2018-10-28,42.78,42.78,42.78,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.78,42.78,42.78,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-11-04,42.67,42.67,42.67,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-11-11,43.09,43.09,43.09,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-11-18,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-11-25,43.67,43.67,43.67,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-12-02,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-12-09,41.03,41.03,41.03,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.1,41.1,41.1,0.0,0.0
