Date,ALPS Alerian MLP_etf_Open_average,ALPS Alerian MLP_etf_Open_max,ALPS Alerian MLP_etf_Open_min,ALPS Alerian MLP_etf_Open_volatility,ALPS Alerian MLP_etf_Open_change,ALPS Alerian MLP_etf_High_average,ALPS Alerian MLP_etf_High_max,ALPS Alerian MLP_etf_High_min,ALPS Alerian MLP_etf_High_volatility,ALPS Alerian MLP_etf_High_change,ALPS Alerian MLP_etf_Low_average,ALPS Alerian MLP_etf_Low_max,ALPS Alerian MLP_etf_Low_min,ALPS Alerian MLP_etf_Low_volatility,ALPS Alerian MLP_etf_Low_change,ALPS Alerian MLP_etf_Close_average,ALPS Alerian MLP_etf_Close_max,ALPS Alerian MLP_etf_Close_min,ALPS Alerian MLP_etf_Close_volatility,ALPS Alerian MLP_etf_Close_change
2018-01-14,11.52,11.52,11.52,0.0,0.0,11.6,11.6,11.6,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.59,11.59,11.59,0.0,0.0
2018-01-21,11.8,11.8,11.8,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2018-01-28,11.42,11.42,11.42,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.17,11.17,11.17,0.0,0.0
2018-02-04,10.62,10.62,10.62,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.24,10.24,10.24,0.0,0.0,10.49,10.49,10.49,0.0,0.0
2018-02-11,10.75,10.75,10.75,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.57,10.57,10.57,0.0,0.0,10.61,10.61,10.61,0.0,0.0
2018-02-18,10.36,10.36,10.36,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2018-02-25,10.1,10.1,10.1,0.0,0.0,10.17,10.17,10.17,0.0,0.0,9.94,9.94,9.94,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2018-03-04,10.09,10.09,10.09,0.0,0.0,10.23,10.23,10.23,0.0,0.0,10.08,10.08,10.08,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2018-03-11,9.92,9.92,9.92,0.0,0.0,10.03,10.03,10.03,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.89,9.89,9.89,0.0,0.0
2018-03-18,9.42,9.42,9.42,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.31,9.31,9.31,0.0,0.0
2018-03-25,9.27,9.27,9.27,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.27,9.27,9.27,0.0,0.0,9.37,9.37,9.37,0.0,0.0
2018-04-01,9.43,9.43,9.43,0.0,0.0,9.51,9.51,9.51,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.35,9.35,9.35,0.0,0.0
2018-04-08,9.71,9.71,9.71,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.59,9.59,9.59,0.0,0.0,9.69,9.69,9.69,0.0,0.0
2018-04-15,10.05,10.05,10.05,0.0,0.0,10.11,10.11,10.11,0.0,0.0,9.97,9.97,9.97,0.0,0.0,10.02,10.02,10.02,0.0,0.0
2018-04-22,10.06,10.06,10.06,0.0,0.0,10.14,10.14,10.14,0.0,0.0,10.01,10.01,10.01,0.0,0.0,10.09,10.09,10.09,0.0,0.0
2018-04-29,9.89,9.89,9.89,0.0,0.0,10.06,10.06,10.06,0.0,0.0,9.84,9.84,9.84,0.0,0.0,10.05,10.05,10.05,0.0,0.0
2018-05-06,10.11,10.11,10.11,0.0,0.0,10.19,10.19,10.19,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2018-05-13,10.47,10.47,10.47,0.0,0.0,10.47,10.47,10.47,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2018-05-20,10.1,10.1,10.1,0.0,0.0,10.18,10.18,10.18,0.0,0.0,9.94,9.94,9.94,0.0,0.0,10.12,10.12,10.12,0.0,0.0
2018-05-27,10.32,10.32,10.32,0.0,0.0,10.44,10.44,10.44,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2018-06-03,10.54,10.54,10.54,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.41,10.41,10.41,0.0,0.0,10.47,10.47,10.47,0.0,0.0
2018-06-10,10.42,10.42,10.42,0.0,0.0,10.44,10.44,10.44,0.0,0.0,10.17,10.17,10.17,0.0,0.0,10.19,10.19,10.19,0.0,0.0
2018-06-17,10.43,10.43,10.43,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.33,10.33,10.33,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2018-06-24,10.15,10.15,10.15,0.0,0.0,10.23,10.23,10.23,0.0,0.0,10.07,10.07,10.07,0.0,0.0,10.1,10.1,10.1,0.0,0.0
2018-07-01,10.13,10.13,10.13,0.0,0.0,10.28,10.28,10.28,0.0,0.0,10.13,10.13,10.13,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2018-07-08,10.28,10.28,10.28,0.0,0.0,10.36,10.36,10.36,0.0,0.0,10.23,10.23,10.23,0.0,0.0,10.33,10.33,10.33,0.0,0.0
2018-07-15,10.62,10.62,10.62,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.47,10.47,10.47,0.0,0.0,10.49,10.49,10.49,0.0,0.0
2018-07-22,10.88,10.88,10.88,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.65,10.65,10.65,0.0,0.0
2018-07-29,11.17,11.17,11.17,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.2,11.2,11.2,0.0,0.0
