Date,iShares Global Clean Energy_Open_average,iShares Global Clean Energy_Open_max,iShares Global Clean Energy_Open_min,iShares Global Clean Energy_Open_volatility,iShares Global Clean Energy_Open_change,iShares Global Clean Energy_High_average,iShares Global Clean Energy_High_max,iShares Global Clean Energy_High_min,iShares Global Clean Energy_High_volatility,iShares Global Clean Energy_High_change,iShares Global Clean Energy_Low_average,iShares Global Clean Energy_Low_max,iShares Global Clean Energy_Low_min,iShares Global Clean Energy_Low_volatility,iShares Global Clean Energy_Low_change,iShares Global Clean Energy_Close_average,iShares Global Clean Energy_Close_max,iShares Global Clean Energy_Close_min,iShares Global Clean Energy_Close_volatility,iShares Global Clean Energy_Close_change
2018-01-14,9.62,9.62,9.62,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.63,9.63,9.63,0.0,0.0
2018-01-21,9.63,9.63,9.63,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.54,9.54,9.54,0.0,0.0,9.56,9.56,9.56,0.0,0.0
2018-01-28,9.25,9.25,9.25,0.0,0.0,9.28,9.28,9.28,0.0,0.0,9.02,9.02,9.02,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2018-02-04,8.9,8.9,8.9,0.0,0.0,9.04,9.04,9.04,0.0,0.0,8.89,8.89,8.89,0.0,0.0,9.01,9.01,9.01,0.0,0.0
2018-02-11,9.48,9.48,9.48,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.49,9.49,9.49,0.0,0.0
2018-02-18,9.48,9.48,9.48,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.46,9.46,9.46,0.0,0.0,9.58,9.58,9.58,0.0,0.0
2018-02-25,9.3,9.3,9.3,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.39,9.39,9.39,0.0,0.0
2018-03-04,9.58,9.58,9.58,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.59,9.59,9.59,0.0,0.0
2018-03-11,9.55,9.55,9.55,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.51,9.51,9.51,0.0,0.0,9.58,9.58,9.58,0.0,0.0
2018-03-18,9.59,9.59,9.59,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.72,9.72,9.72,0.0,0.0
2018-03-25,9.51,9.51,9.51,0.0,0.0,9.53,9.53,9.53,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.38,9.38,9.38,0.0,0.0
2018-04-01,9.75,9.75,9.75,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.68,9.68,9.68,0.0,0.0,9.75,9.75,9.75,0.0,0.0
2018-04-08,9.75,9.75,9.75,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.68,9.68,9.68,0.0,0.0
2018-04-15,9.79,9.79,9.79,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.71,9.71,9.71,0.0,0.0
2018-04-22,9.95,9.95,9.95,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.82,9.82,9.82,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2018-04-29,9.85,9.85,9.85,0.0,0.0,9.9,9.9,9.9,0.0,0.0,9.85,9.85,9.85,0.0,0.0,9.86,9.86,9.86,0.0,0.0
2018-05-06,9.99,9.99,9.99,0.0,0.0,10.04,10.04,10.04,0.0,0.0,9.96,9.96,9.96,0.0,0.0,9.98,9.98,9.98,0.0,0.0
2018-05-13,9.99,9.99,9.99,0.0,0.0,10.05,10.05,10.05,0.0,0.0,9.96,9.96,9.96,0.0,0.0,9.99,9.99,9.99,0.0,0.0
2018-05-20,9.92,9.92,9.92,0.0,0.0,9.92,9.92,9.92,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.74,9.74,9.74,0.0,0.0
2018-05-27,9.58,9.58,9.58,0.0,0.0,9.58,9.58,9.58,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.44,9.44,9.44,0.0,0.0
2018-06-03,9.2,9.2,9.2,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.21,9.21,9.21,0.0,0.0
2018-06-10,9.09,9.09,9.09,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.05,9.05,9.05,0.0,0.0,9.11,9.11,9.11,0.0,0.0
2018-06-17,8.93,8.93,8.93,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.9,8.9,8.9,0.0,0.0
2018-06-24,8.67,8.67,8.67,0.0,0.0,8.73,8.73,8.73,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.73,8.73,8.73,0.0,0.0
2018-07-01,9.0,9.0,9.0,0.0,0.0,9.01,9.01,9.01,0.0,0.0,8.94,8.94,8.94,0.0,0.0,9.0,9.0,9.0,0.0,0.0
2018-07-08,8.88,8.88,8.88,0.0,0.0,8.89,8.89,8.89,0.0,0.0,8.86,8.86,8.86,0.0,0.0,8.88,8.88,8.88,0.0,0.0
2018-07-15,8.98,8.98,8.98,0.0,0.0,9.0,9.0,9.0,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.94,8.94,8.94,0.0,0.0
2018-07-22,9.1,9.1,9.1,0.0,0.0,9.12,9.12,9.12,0.0,0.0,9.06,9.06,9.06,0.0,0.0,9.12,9.12,9.12,0.0,0.0
2018-07-29,8.9,8.9,8.9,0.0,0.0,8.95,8.95,8.95,0.0,0.0,8.89,8.89,8.89,0.0,0.0,8.94,8.94,8.94,0.0,0.0
2018-08-05,8.74,8.74,8.74,0.0,0.0,8.77,8.77,8.77,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.65,8.65,8.65,0.0,0.0
2018-08-12,8.59,8.59,8.59,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.65,8.65,8.65,0.0,0.0
2018-08-19,8.69,8.69,8.69,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.77,8.77,8.77,0.0,0.0
2018-08-26,8.65,8.65,8.65,0.0,0.0,8.72,8.72,8.72,0.0,0.0,8.65,8.65,8.65,0.0,0.0,8.72,8.72,8.72,0.0,0.0
