Date,KraneShares Zacks New China_Open_average,KraneShares Zacks New China_Open_max,KraneShares Zacks New China_Open_min,KraneShares Zacks New China_Open_volatility,KraneShares Zacks New China_Open_change,KraneShares Zacks New China_High_average,KraneShares Zacks New China_High_max,KraneShares Zacks New China_High_min,KraneShares Zacks New China_High_volatility,KraneShares Zacks New China_High_change,KraneShares Zacks New China_Low_average,KraneShares Zacks New China_Low_max,KraneShares Zacks New China_Low_min,KraneShares Zacks New China_Low_volatility,KraneShares Zacks New China_Low_change,KraneShares Zacks New China_Close_average,KraneShares Zacks New China_Close_max,KraneShares Zacks New China_Close_min,KraneShares Zacks New China_Close_volatility,KraneShares Zacks New China_Close_change
2018-01-14,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-01-21,35.98,35.98,35.98,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2018-01-28,35.01,35.01,35.01,0.0,0.0,36.58,36.58,36.58,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-02-04,30.78,30.78,30.78,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.07,30.07,30.07,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-02-11,33.75,33.75,33.75,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-02-18,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-02-25,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-03-04,34.5,34.5,34.5,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-03-11,34.16,34.16,34.16,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-03-18,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0
