Date,ProShares UltraShort Australian Dollar_Open_average,ProShares UltraShort Australian Dollar_Open_max,ProShares UltraShort Australian Dollar_Open_min,ProShares UltraShort Australian Dollar_Open_volatility,ProShares UltraShort Australian Dollar_Open_change,ProShares UltraShort Australian Dollar_High_average,ProShares UltraShort Australian Dollar_High_max,ProShares UltraShort Australian Dollar_High_min,ProShares UltraShort Australian Dollar_High_volatility,ProShares UltraShort Australian Dollar_High_change,ProShares UltraShort Australian Dollar_Low_average,ProShares UltraShort Australian Dollar_Low_max,ProShares UltraShort Australian Dollar_Low_min,ProShares UltraShort Australian Dollar_Low_volatility,ProShares UltraShort Australian Dollar_Low_change,ProShares UltraShort Australian Dollar_Close_average,ProShares UltraShort Australian Dollar_Close_max,ProShares UltraShort Australian Dollar_Close_min,ProShares UltraShort Australian Dollar_Close_volatility,ProShares UltraShort Australian Dollar_Close_change
2018-01-14,43.29,43.29,43.29,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-01-21,42.63,42.63,42.63,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
2018-01-28,44.32,44.32,44.32,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.73,44.73,44.73,0.0,0.0
2018-02-04,45.38,45.38,45.38,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2018-02-11,44.0,44.0,44.0,0.0,0.0,44.61,44.61,44.61,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-02-18,45.05,45.05,45.05,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-02-25,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.07,46.07,46.07,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2018-03-04,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2018-03-11,46.7,46.7,46.7,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-03-18,45.95,45.95,45.95,0.0,0.0,46.7,46.7,46.7,0.0,0.0,45.95,45.95,45.95,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-03-25,47.1,47.1,47.1,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-04-01,46.59,46.59,46.59,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-04-08,45.4,45.4,45.4,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2018-04-15,47.63,47.63,47.63,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2018-04-22,48.68,48.68,48.68,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-04-29,49.2,49.2,49.2,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-05-06,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-05-13,48.27,48.27,48.27,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-05-20,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-05-27,46.01,46.01,46.01,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.01,46.01,46.01,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-06-03,47.69,47.69,47.69,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.69,47.69,47.69,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-06-10,49.8,49.8,49.8,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-06-17,50.3,50.3,50.3,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2018-06-24,51.0,51.0,51.0,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.3,51.3,51.3,0.0,0.0
2018-07-01,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-07-08,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-07-15,50.62,50.62,50.62,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-07-22,50.79,50.79,50.79,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-07-29,50.6,50.6,50.6,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2018-08-05,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.93,51.93,51.93,0.0,0.0
2018-08-12,51.58,51.58,51.58,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.3,51.3,51.3,0.0,0.0
2018-08-19,51.6,51.6,51.6,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2018-08-26,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-09-02,54.42,54.42,54.42,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-09-09,53.41,53.41,53.41,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-09-16,51.74,51.74,51.74,0.0,0.0,52.2,52.2,52.2,0.0,0.0,51.74,51.74,51.74,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2018-09-23,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-09-30,55.51,55.51,55.51,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.17,55.17,55.17,0.0,0.0
2018-10-07,54.3,54.3,54.3,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-10-14,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2018-10-21,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-10-28,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-11-04,52.84,52.84,52.84,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.84,52.84,52.84,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2018-11-11,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2018-11-18,52.21,52.21,52.21,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-11-25,50.59,50.59,50.59,0.0,0.0,51.26,51.26,51.26,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-12-02,52.81,52.81,52.81,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.81,52.81,52.81,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2018-12-09,53.35,53.35,53.35,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2018-12-16,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.12,55.12,55.12,0.0,0.0
2018-12-23,55.14,55.14,55.14,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-12-30,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2019-01-06,53.14,53.14,53.14,0.0,0.0,53.14,53.14,53.14,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2019-01-13,53.07,53.07,53.07,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.03,53.03,53.03,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2019-01-20,53.25,53.25,53.25,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-01-27,52.63,52.63,52.63,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2019-02-03,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2019-02-10,54.02,54.02,54.02,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2019-02-17,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2019-02-24,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0
2019-03-03,55.09,55.09,55.09,0.0,0.0,55.09,55.09,55.09,0.0,0.0,54.89,54.89,54.89,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2019-03-10,54.55,54.55,54.55,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.41,54.41,54.41,0.0,0.0
2019-03-17,54.26,54.26,54.26,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2019-03-24,54.26,54.26,54.26,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.16,54.16,54.16,0.0,0.0
2019-03-31,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2019-04-07,53.07,53.07,53.07,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-04-14,53.83,53.83,53.83,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2019-04-21,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2019-04-28,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.01,56.01,56.01,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2019-05-05,56.62,56.62,56.62,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2019-05-12,57.43,57.43,57.43,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2019-05-19,57.46,57.46,57.46,0.0,0.0,57.48,57.48,57.48,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2019-05-26,56.64,56.64,56.64,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2019-06-02,56.74,56.74,56.74,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2019-06-09,58.25,58.25,58.25,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2019-06-16,56.77,56.77,56.77,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.61,56.61,56.61,0.0,0.0
2019-06-23,56.41,56.41,56.41,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2019-06-30,56.46,56.46,56.46,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.52,56.52,56.52,0.0,0.0
2019-07-07,55.47,55.47,55.47,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2019-07-14,55.09,55.09,55.09,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2019-07-21,57.73,57.73,57.73,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2019-07-28,60.0,60.0,60.0,0.0,0.0,60.09,60.09,60.09,0.0,0.0,59.88,59.88,59.88,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2019-08-04,60.55,60.55,60.55,0.0,0.0,60.57,60.57,60.57,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2019-08-11,60.1,60.1,60.1,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.99,59.99,59.99,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2019-08-18,60.37,60.37,60.37,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2019-08-25,60.99,60.99,60.99,0.0,0.0,61.15,61.15,61.15,0.0,0.0,60.8,60.8,60.8,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2019-09-01,58.58,58.58,58.58,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2019-09-08,59.56,59.56,59.56,0.0,0.0,59.56,59.56,59.56,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2019-09-15,60.37,60.37,60.37,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.91,59.91,59.91,0.0,0.0
2019-09-22,60.44,60.44,60.44,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.42,60.42,60.42,0.0,0.0
2019-09-29,60.2,60.2,60.2,0.0,0.0,60.84,60.84,60.84,0.0,0.0,60.11,60.11,60.11,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2019-10-06,60.3,60.3,60.3,0.0,0.0,60.3,60.3,60.3,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2019-10-13,58.6,58.6,58.6,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2019-10-20,59.03,59.03,59.03,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2019-10-27,57.75,57.75,57.75,0.0,0.0,58.35,58.35,58.35,0.0,0.0,57.75,57.75,57.75,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2019-11-03,58.8,58.8,58.8,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.8,58.8,58.8,0.0,0.0
2019-11-10,59.8,59.8,59.8,0.0,0.0,59.8,59.8,59.8,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2019-11-17,60.12,60.12,60.12,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2019-11-24,59.34,59.34,59.34,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2019-12-01,59.23,59.23,59.23,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2019-12-08,58.13,58.13,58.13,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2019-12-15,57.91,57.91,57.91,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2019-12-22,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,53.71,53.71,53.71,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2019-12-29,56.99,56.99,56.99,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.99,56.99,56.99,0.0,0.0
