Date,First Trust Capital Strength_Open_average,First Trust Capital Strength_Open_max,First Trust Capital Strength_Open_min,First Trust Capital Strength_Open_volatility,First Trust Capital Strength_Open_change,First Trust Capital Strength_High_average,First Trust Capital Strength_High_max,First Trust Capital Strength_High_min,First Trust Capital Strength_High_volatility,First Trust Capital Strength_High_change,First Trust Capital Strength_Low_average,First Trust Capital Strength_Low_max,First Trust Capital Strength_Low_min,First Trust Capital Strength_Low_volatility,First Trust Capital Strength_Low_change,First Trust Capital Strength_Close_average,First Trust Capital Strength_Close_max,First Trust Capital Strength_Close_min,First Trust Capital Strength_Close_volatility,First Trust Capital Strength_Close_change
2018-01-14,53.84,53.84,53.84,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.8,53.8,53.8,0.0,0.0,54.11,54.11,54.11,0.0,0.0
2018-01-21,54.91,54.91,54.91,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-01-28,52.35,52.35,52.35,0.0,0.0,52.76,52.76,52.76,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-02-04,50.39,50.39,50.39,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2018-02-11,52.2,52.2,52.2,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-02-18,52.84,52.84,52.84,0.0,0.0,53.27,53.27,53.27,0.0,0.0,52.78,52.78,52.78,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-02-25,51.27,51.27,51.27,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-03-04,53.28,53.28,53.28,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-03-11,52.52,52.52,52.52,0.0,0.0,52.52,52.52,52.52,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-03-18,50.2,50.2,50.2,0.0,0.0,50.84,50.84,50.84,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-03-25,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-04-01,50.21,50.21,50.21,0.0,0.0,50.65,50.65,50.65,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-04-08,51.22,51.22,51.22,0.0,0.0,51.4,51.4,51.4,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-04-15,51.05,51.05,51.05,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-04-22,50.65,50.65,50.65,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-29,50.43,50.43,50.43,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-05-06,51.31,51.31,51.31,0.0,0.0,51.43,51.43,51.43,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2018-05-13,51.74,51.74,51.74,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-05-20,51.74,51.74,51.74,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-05-27,51.9,51.9,51.9,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.9,51.9,51.9,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-06-03,53.05,53.05,53.05,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2018-06-10,52.94,52.94,52.94,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.69,52.69,52.69,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2018-06-17,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-06-24,50.92,50.92,50.92,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-07-01,51.74,51.74,51.74,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.72,51.72,51.72,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-07-08,52.62,52.62,52.62,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2018-07-15,52.59,52.59,52.59,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2018-07-22,52.98,52.98,52.98,0.0,0.0,53.14,53.14,53.14,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-07-29,53.24,53.24,53.24,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2018-08-05,53.22,53.22,53.22,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-08-12,53.76,53.76,53.76,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-08-19,54.18,54.18,54.18,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-08-26,54.37,54.37,54.37,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.64,54.64,54.64,0.0,0.0
