Date,PowerShares International Dividend Achievers Portf_etf_Open_average,PowerShares International Dividend Achievers Portf_etf_Open_max,PowerShares International Dividend Achievers Portf_etf_Open_min,PowerShares International Dividend Achievers Portf_etf_Open_volatility,PowerShares International Dividend Achievers Portf_etf_Open_change,PowerShares International Dividend Achievers Portf_etf_High_average,PowerShares International Dividend Achievers Portf_etf_High_max,PowerShares International Dividend Achievers Portf_etf_High_min,PowerShares International Dividend Achievers Portf_etf_High_volatility,PowerShares International Dividend Achievers Portf_etf_High_change,PowerShares International Dividend Achievers Portf_etf_Low_average,PowerShares International Dividend Achievers Portf_etf_Low_max,PowerShares International Dividend Achievers Portf_etf_Low_min,PowerShares International Dividend Achievers Portf_etf_Low_volatility,PowerShares International Dividend Achievers Portf_etf_Low_change,PowerShares International Dividend Achievers Portf_etf_Close_average,PowerShares International Dividend Achievers Portf_etf_Close_max,PowerShares International Dividend Achievers Portf_etf_Close_min,PowerShares International Dividend Achievers Portf_etf_Close_volatility,PowerShares International Dividend Achievers Portf_etf_Close_change
2018-01-14,17.04,17.04,17.04,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-01-21,17.32,17.32,17.32,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.36,17.36,17.36,0.0,0.0
2018-01-28,16.9,16.9,16.9,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2018-02-04,15.9,15.9,15.9,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-02-11,16.44,16.44,16.44,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2018-02-18,16.36,16.36,16.36,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2018-02-25,15.66,15.66,15.66,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-03-04,15.96,15.96,15.96,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.94,15.94,15.94,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-03-11,15.87,15.87,15.87,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-03-18,15.63,15.63,15.63,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2018-03-25,15.67,15.67,15.67,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-04-01,15.94,15.94,15.94,0.0,0.0,16.01,16.01,16.01,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2018-04-08,16.04,16.04,16.04,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2018-04-15,15.94,15.94,15.94,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-04-22,15.86,15.86,15.86,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-04-29,15.65,15.65,15.65,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-05-06,16.03,16.03,16.03,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-05-13,15.89,15.89,15.89,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-05-20,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-05-27,15.77,15.77,15.77,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-06-03,15.73,15.73,15.73,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2018-06-10,15.72,15.72,15.72,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.72,15.72,15.72,0.0,0.0
2018-06-17,15.57,15.57,15.57,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2018-06-24,15.55,15.55,15.55,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2018-07-01,15.76,15.76,15.76,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-07-08,15.91,15.91,15.91,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-07-15,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-07-22,16.09,16.09,16.09,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2018-07-29,16.04,16.04,16.04,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2018-08-05,15.86,15.86,15.86,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2018-08-12,15.74,15.74,15.74,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-08-19,15.94,15.94,15.94,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-08-26,15.94,15.94,15.94,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-09-02,15.6,15.6,15.6,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2018-09-09,15.84,15.84,15.84,0.0,0.0,15.88,15.88,15.88,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2018-09-16,15.98,15.98,15.98,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.98,15.98,15.98,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2018-09-23,15.8,15.8,15.8,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-09-30,15.66,15.66,15.66,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-10-07,15.17,15.17,15.17,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2018-10-14,15.11,15.11,15.11,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.13,15.13,15.13,0.0,0.0
2018-10-21,14.59,14.59,14.59,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2018-10-28,15.11,15.11,15.11,0.0,0.0,15.13,15.13,15.13,0.0,0.0,14.94,14.94,14.94,0.0,0.0,15.02,15.02,15.02,0.0,0.0
