Date,FlexShares International Quality Dividend DynamicEtf_Open_average,FlexShares International Quality Dividend DynamicEtf_Open_max,FlexShares International Quality Dividend DynamicEtf_Open_min,FlexShares International Quality Dividend DynamicEtf_Open_volatility,FlexShares International Quality Dividend DynamicEtf_Open_change,FlexShares International Quality Dividend DynamicEtf_High_average,FlexShares International Quality Dividend DynamicEtf_High_max,FlexShares International Quality Dividend DynamicEtf_High_min,FlexShares International Quality Dividend DynamicEtf_High_volatility,FlexShares International Quality Dividend DynamicEtf_High_change,FlexShares International Quality Dividend DynamicEtf_Low_average,FlexShares International Quality Dividend DynamicEtf_Low_max,FlexShares International Quality Dividend DynamicEtf_Low_min,FlexShares International Quality Dividend DynamicEtf_Low_volatility,FlexShares International Quality Dividend DynamicEtf_Low_change,FlexShares International Quality Dividend DynamicEtf_Close_average,FlexShares International Quality Dividend DynamicEtf_Close_max,FlexShares International Quality Dividend DynamicEtf_Close_min,FlexShares International Quality Dividend DynamicEtf_Close_volatility,FlexShares International Quality Dividend DynamicEtf_Close_change
2018-01-14,30.06,30.06,30.06,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-01-21,30.54,30.54,30.54,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-01-28,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-02-04,27.85,27.85,27.85,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-02-11,29.22,29.22,29.22,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-02-18,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-02-25,28.31,28.31,28.31,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-03-04,28.76,28.76,28.76,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.75,28.75,28.75,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-03-11,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-03-18,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0
