Date,MTX_stock_Open_average,MTX_stock_Open_max,MTX_stock_Open_min,MTX_stock_Open_volatility,MTX_stock_Open_change,MTX_stock_High_average,MTX_stock_High_max,MTX_stock_High_min,MTX_stock_High_volatility,MTX_stock_High_change,MTX_stock_Low_average,MTX_stock_Low_max,MTX_stock_Low_min,MTX_stock_Low_volatility,MTX_stock_Low_change,MTX_stock_Close_average,MTX_stock_Close_max,MTX_stock_Close_min,MTX_stock_Close_volatility,MTX_stock_Close_change,MTX_stock_Volume_average,MTX_stock_Volume_max,MTX_stock_Volume_min,MTX_stock_Volume_volatility,MTX_stock_Volume_change
2018-01-14,75.475,76.25,74.75,1.5,-1.5,76.0875,76.8,75.3,1.5,0.45000000000000284,74.945,75.33,74.7,0.6299999999999955,-0.5799999999999983,75.6875,76.75,75.05,1.7000000000000028,1.2000000000000028,313114,400870,197805,203065,-198463
2018-01-21,76.7,76.9,76.55,0.3500000000000085,-0.05000000000001137,76.9,77.15,76.55,0.6000000000000085,0.0,75.96000000000001,76.4,75.65,0.75,-0.4000000000000057,76.52,76.95,75.85,1.1000000000000085,0.04999999999999716,142124,188001,116913,71088,-41774
2018-01-28,75.27,76.6,73.5,3.0999999999999943,-3.0999999999999943,75.77,76.6,74.05,2.549999999999997,-2.549999999999997,74.07000000000001,75.5,71.7,3.799999999999997,-3.799999999999997,74.88,75.85,72.4,3.4499999999999886,-3.25,224211,373774,128938,244836,244836
2018-02-04,68.79,71.55,66.75,4.799999999999997,-3.5999999999999943,69.74,72.25,68.05,4.200000000000003,-4.200000000000003,67.08,68.55,65.45,3.0999999999999943,-2.799999999999997,68.22,69.15,66.95,2.200000000000003,-0.9500000000000028,273851,517334,155313,362021,-82673
2018-02-11,69.09,70.65,67.8,2.8500000000000085,2.8500000000000085,70.27,71.55,69.25,2.299999999999997,2.1499999999999915,68.69,70.1,67.4,2.6999999999999886,2.6999999999999886,70.06,71.25,69.0,2.25,2.25,146680,208931,86639,122292,-64906
2018-02-18,70.9125,71.7,69.9,1.7999999999999972,1.0,71.95,72.35,71.7,0.6499999999999915,0.6499999999999915,70.45,71.25,69.7,1.5499999999999972,1.5499999999999972,70.9875,72.25,69.7,2.549999999999997,2.549999999999997,96040,127787,76142,51645,-50962
2018-02-25,70.58,72.35,68.4,3.9499999999999886,-3.9499999999999886,71.32,72.6,70.05,2.549999999999997,-2.049999999999997,69.43,71.65,67.75,3.9000000000000057,-3.5500000000000114,70.19,72.1,68.7,3.3999999999999915,-2.0,104900,128738,88990,39748,-5423
2018-03-04,71.65,72.75,69.7,3.049999999999997,3.049999999999997,72.766,74.1,71.38,2.719999999999999,2.719999999999999,71.12,72.45,69.35,3.1000000000000085,3.1000000000000085,72.38,74.05,71.2,2.8499999999999943,2.8499999999999943,121621,159261,83662,75599,11040
2018-03-11,73.44,74.3,72.25,2.049999999999997,-2.049999999999997,73.8,74.7,72.75,1.9500000000000028,-1.25,72.38,73.4,71.8,1.6000000000000085,-1.6000000000000085,72.83,73.9,72.25,1.6500000000000057,-1.6000000000000085,140320,237592,63336,174256,148898
2018-03-18,70.86,72.05,69.0,3.049999999999997,-3.049999999999997,71.32000000000001,72.3,69.15,3.1499999999999915,-3.0,69.41,70.65,66.6,4.050000000000011,-3.8500000000000085,69.86,71.7,66.6,5.1000000000000085,-5.1000000000000085,96280,150746,60118,90628,51153
2018-03-25,67.1875,68.2,66.3,1.9000000000000057,-1.4500000000000028,67.82499999999999,68.6,66.8,1.7999999999999972,-1.0,66.0675,66.3,65.67,0.6299999999999955,-0.04999999999999716,66.9125,68.15,66.1,2.0500000000000114,-1.2000000000000028,173373,247075,124113,122962,-66668
2018-04-01,66.42999999999999,67.75,64.9,2.8499999999999943,1.2000000000000028,67.606,68.8,66.38,2.4200000000000017,1.0500000000000114,65.59,67.6,64.45,3.1499999999999915,1.6499999999999915,66.6,68.45,65.1,3.3500000000000085,1.4500000000000028,95354,135372,57820,77552,-56096
2018-04-08,68.16,69.05,67.2,1.8499999999999943,1.8499999999999943,68.76,69.05,68.2,0.8499999999999943,0.8499999999999943,67.498,68.15,66.3,1.8500000000000085,1.8500000000000085,68.19,68.65,66.7,1.9500000000000028,1.7000000000000028,99983,151883,68036,83847,59251
2018-04-15,70.84,71.85,69.15,2.6999999999999886,2.6999999999999886,71.7,73.25,70.35,2.9000000000000057,2.9000000000000057,70.53999999999999,71.85,68.7,3.1499999999999915,3.1499999999999915,71.47,73.1,69.85,3.25,3.25,91095,122763,71353,51410,48560
