Date,VanEck Vectors Russia Small-Cap_etf_Open_average,VanEck Vectors Russia Small-Cap_etf_Open_max,VanEck Vectors Russia Small-Cap_etf_Open_min,VanEck Vectors Russia Small-Cap_etf_Open_volatility,VanEck Vectors Russia Small-Cap_etf_Open_change,VanEck Vectors Russia Small-Cap_etf_High_average,VanEck Vectors Russia Small-Cap_etf_High_max,VanEck Vectors Russia Small-Cap_etf_High_min,VanEck Vectors Russia Small-Cap_etf_High_volatility,VanEck Vectors Russia Small-Cap_etf_High_change,VanEck Vectors Russia Small-Cap_etf_Low_average,VanEck Vectors Russia Small-Cap_etf_Low_max,VanEck Vectors Russia Small-Cap_etf_Low_min,VanEck Vectors Russia Small-Cap_etf_Low_volatility,VanEck Vectors Russia Small-Cap_etf_Low_change,VanEck Vectors Russia Small-Cap_etf_Close_average,VanEck Vectors Russia Small-Cap_etf_Close_max,VanEck Vectors Russia Small-Cap_etf_Close_min,VanEck Vectors Russia Small-Cap_etf_Close_volatility,VanEck Vectors Russia Small-Cap_etf_Close_change
2018-01-14,42.64,42.64,42.64,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-01-21,43.3,43.3,43.3,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-01-28,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-02-04,40.77,40.77,40.77,0.0,0.0,40.77,40.77,40.77,0.0,0.0,39.26,39.26,39.26,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2018-02-11,42.83,42.83,42.83,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-02-18,42.57,42.57,42.57,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-25,42.12,42.12,42.12,0.0,0.0,42.42,42.42,42.42,0.0,0.0,41.96,41.96,41.96,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-03-04,43.35,43.35,43.35,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2018-03-11,42.38,42.38,42.38,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-03-18,42.33,42.33,42.33,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.14,42.14,42.14,0.0,0.0
