Date,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Open_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Open_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Open_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Open_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_High_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_High_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_High_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_High_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_High_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Low_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Low_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Low_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Low_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Close_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Close_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Close_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_Close_change
2018-01-14,106.09,106.09,106.09,0.0,0.0,107.29,107.29,107.29,0.0,0.0,106.09,106.09,106.09,0.0,0.0,107.29,107.29,107.29,0.0,0.0
2018-01-21,107.5,107.5,107.5,0.0,0.0,107.86,107.86,107.86,0.0,0.0,107.23,107.23,107.23,0.0,0.0,107.62,107.62,107.62,0.0,0.0
2018-01-28,102.22,102.22,102.22,0.0,0.0,103.13,103.13,103.13,0.0,0.0,99.4,99.4,99.4,0.0,0.0,99.4,99.4,99.4,0.0,0.0
2018-02-04,100.34,100.34,100.34,0.0,0.0,100.36,100.36,100.36,0.0,0.0,99.0,99.0,99.0,0.0,0.0,100.36,100.36,100.36,0.0,0.0
2018-02-11,103.64,103.64,103.64,0.0,0.0,103.75,103.75,103.75,0.0,0.0,102.8,102.8,102.8,0.0,0.0,102.99,102.99,102.99,0.0,0.0
2018-02-18,102.5,102.5,102.5,0.0,0.0,103.29,103.29,103.29,0.0,0.0,102.5,102.5,102.5,0.0,0.0,103.16,103.16,103.16,0.0,0.0
2018-02-25,99.52,99.52,99.52,0.0,0.0,100.82,100.82,100.82,0.0,0.0,99.47,99.47,99.47,0.0,0.0,100.74,100.74,100.74,0.0,0.0
2018-03-04,102.22,102.22,102.22,0.0,0.0,102.22,102.22,102.22,0.0,0.0,101.74,101.74,101.74,0.0,0.0,101.76,101.76,101.76,0.0,0.0
2018-03-11,100.05,100.05,100.05,0.0,0.0,100.16,100.16,100.16,0.0,0.0,98.96,98.96,98.96,0.0,0.0,99.41,99.41,99.41,0.0,0.0
2018-03-18,96.72,96.72,96.72,0.0,0.0,97.3,97.3,97.3,0.0,0.0,96.59,96.59,96.59,0.0,0.0,97.3,97.3,97.3,0.0,0.0
2018-03-25,97.55,97.55,97.55,0.0,0.0,97.66,97.66,97.66,0.0,0.0,94.9,94.9,94.9,0.0,0.0,95.52,95.52,95.52,0.0,0.0
2018-04-01,98.25,98.25,98.25,0.0,0.0,98.6,98.6,98.6,0.0,0.0,98.22,98.22,98.22,0.0,0.0,98.6,98.6,98.6,0.0,0.0
2018-04-08,99.02,99.02,99.02,0.0,0.0,99.14,99.14,99.14,0.0,0.0,98.95,98.95,98.95,0.0,0.0,99.14,99.14,99.14,0.0,0.0
2018-04-15,98.47,98.47,98.47,0.0,0.0,99.08,99.08,99.08,0.0,0.0,98.43,98.43,98.43,0.0,0.0,98.74,98.74,98.74,0.0,0.0
2018-04-22,100.51,100.51,100.51,0.0,0.0,100.51,100.51,100.51,0.0,0.0,99.22,99.22,99.22,0.0,0.0,99.24,99.24,99.24,0.0,0.0
2018-04-29,98.48,98.48,98.48,0.0,0.0,98.48,98.48,98.48,0.0,0.0,98.21,98.21,98.21,0.0,0.0,98.35,98.35,98.35,0.0,0.0
2018-05-06,100.04,100.04,100.04,0.0,0.0,100.04,100.04,100.04,0.0,0.0,99.88,99.88,99.88,0.0,0.0,99.9,99.9,99.9,0.0,0.0
2018-05-13,101.34,101.34,101.34,0.0,0.0,101.34,101.34,101.34,0.0,0.0,100.96,100.96,100.96,0.0,0.0,101.08,101.08,101.08,0.0,0.0
2018-05-20,101.63,101.63,101.63,0.0,0.0,101.63,101.63,101.63,0.0,0.0,101.56,101.56,101.56,0.0,0.0,101.6,101.6,101.6,0.0,0.0
2018-05-27,101.14,101.14,101.14,0.0,0.0,102.61,102.61,102.61,0.0,0.0,101.14,101.14,101.14,0.0,0.0,102.56,102.56,102.56,0.0,0.0
2018-06-03,105.73,105.73,105.73,0.0,0.0,106.34,106.34,106.34,0.0,0.0,105.73,105.73,105.73,0.0,0.0,106.34,106.34,106.34,0.0,0.0
2018-06-10,105.89,105.89,105.89,0.0,0.0,106.86,106.86,106.86,0.0,0.0,105.89,105.89,105.89,0.0,0.0,106.78,106.78,106.78,0.0,0.0
2018-06-17,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0,103.72,103.72,103.72,0.0,0.0,103.72,103.72,103.72,0.0,0.0
2018-06-24,102.93,102.93,102.93,0.0,0.0,103.01,103.01,103.01,0.0,0.0,102.5,102.5,102.5,0.0,0.0,102.95,102.95,102.95,0.0,0.0
2018-07-01,105.14,105.14,105.14,0.0,0.0,105.93,105.93,105.93,0.0,0.0,105.14,105.14,105.14,0.0,0.0,105.93,105.93,105.93,0.0,0.0
2018-07-08,105.13,105.13,105.13,0.0,0.0,105.28,105.28,105.28,0.0,0.0,105.08,105.08,105.08,0.0,0.0,105.2,105.2,105.2,0.0,0.0
2018-07-15,105.57,105.57,105.57,0.0,0.0,106.0,106.0,106.0,0.0,0.0,105.32,105.32,105.32,0.0,0.0,105.48,105.48,105.48,0.0,0.0
