Date,ProShares VIX Short-Term Futures_Open_average,ProShares VIX Short-Term Futures_Open_max,ProShares VIX Short-Term Futures_Open_min,ProShares VIX Short-Term Futures_Open_volatility,ProShares VIX Short-Term Futures_Open_change,ProShares VIX Short-Term Futures_High_average,ProShares VIX Short-Term Futures_High_max,ProShares VIX Short-Term Futures_High_min,ProShares VIX Short-Term Futures_High_volatility,ProShares VIX Short-Term Futures_High_change,ProShares VIX Short-Term Futures_Low_average,ProShares VIX Short-Term Futures_Low_max,ProShares VIX Short-Term Futures_Low_min,ProShares VIX Short-Term Futures_Low_volatility,ProShares VIX Short-Term Futures_Low_change,ProShares VIX Short-Term Futures_Close_average,ProShares VIX Short-Term Futures_Close_max,ProShares VIX Short-Term Futures_Close_min,ProShares VIX Short-Term Futures_Close_volatility,ProShares VIX Short-Term Futures_Close_change
2018-01-14,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2018-01-21,23.49,23.49,23.49,0.0,0.0,24.65,24.65,24.65,0.0,0.0,22.55,22.55,22.55,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2018-01-28,28.69,28.69,28.69,0.0,0.0,36.96,36.96,36.96,0.0,0.0,26.75,26.75,26.75,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-02-04,39.99,39.99,39.99,0.0,0.0,42.0,42.0,42.0,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-02-11,35.42,35.42,35.42,0.0,0.0,35.56,35.56,35.56,0.0,0.0,33.46,33.46,33.46,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-02-18,32.63,32.63,32.63,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-02-25,38.29,38.29,38.29,0.0,0.0,38.31,38.31,38.31,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-03-04,32.25,32.25,32.25,0.0,0.0,33.34,33.34,33.34,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-03-11,33.46,33.46,33.46,0.0,0.0,37.44,37.44,37.44,0.0,0.0,33.4,33.4,33.4,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-03-18,38.52,38.52,38.52,0.0,0.0,40.93,40.93,40.93,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-03-25,40.28,40.28,40.28,0.0,0.0,44.51,44.51,44.51,0.0,0.0,39.86,39.86,39.86,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-04-01,40.52,40.52,40.52,0.0,0.0,41.51,41.51,41.51,0.0,0.0,39.95,39.95,39.95,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2018-04-08,36.64,36.64,36.64,0.0,0.0,36.66,36.66,36.66,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-04-15,34.59,34.59,34.59,0.0,0.0,35.44,35.44,35.44,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-04-22,33.92,33.92,33.92,0.0,0.0,34.51,34.51,34.51,0.0,0.0,33.31,33.31,33.31,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-04-29,33.02,33.02,33.02,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-05-06,29.27,29.27,29.27,0.0,0.0,29.34,29.34,29.34,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-05-13,28.11,28.11,28.11,0.0,0.0,28.58,28.58,28.58,0.0,0.0,27.65,27.65,27.65,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-05-20,28.36,28.36,28.36,0.0,0.0,28.55,28.55,28.55,0.0,0.0,27.75,27.75,27.75,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-05-27,28.62,28.62,28.62,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-06-03,26.96,26.96,26.96,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-06-10,26.88,26.88,26.88,0.0,0.0,27.26,27.26,27.26,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-06-17,28.23,28.23,28.23,0.0,0.0,32.79,32.79,32.79,0.0,0.0,28.23,28.23,28.23,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-06-24,32.0,32.0,32.0,0.0,0.0,32.36,32.36,32.36,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-07-01,27.51,27.51,27.51,0.0,0.0,27.53,27.53,27.53,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2018-07-08,25.8,25.8,25.8,0.0,0.0,26.21,26.21,26.21,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-07-15,25.84,25.84,25.84,0.0,0.0,26.23,26.23,26.23,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-07-22,25.72,25.72,25.72,0.0,0.0,26.95,26.95,26.95,0.0,0.0,25.65,25.65,25.65,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-07-29,24.8,24.8,24.8,0.0,0.0,24.9,24.9,24.9,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-08-05,24.95,24.95,24.95,0.0,0.0,26.19,26.19,26.19,0.0,0.0,24.13,24.13,24.13,0.0,0.0,26.16,26.16,26.16,0.0,0.0
