Date,ProShares Russell 2000 Dividend Gro_Open_average,ProShares Russell 2000 Dividend Gro_Open_max,ProShares Russell 2000 Dividend Gro_Open_min,ProShares Russell 2000 Dividend Gro_Open_volatility,ProShares Russell 2000 Dividend Gro_Open_change,ProShares Russell 2000 Dividend Gro_High_average,ProShares Russell 2000 Dividend Gro_High_max,ProShares Russell 2000 Dividend Gro_High_min,ProShares Russell 2000 Dividend Gro_High_volatility,ProShares Russell 2000 Dividend Gro_High_change,ProShares Russell 2000 Dividend Gro_Low_average,ProShares Russell 2000 Dividend Gro_Low_max,ProShares Russell 2000 Dividend Gro_Low_min,ProShares Russell 2000 Dividend Gro_Low_volatility,ProShares Russell 2000 Dividend Gro_Low_change,ProShares Russell 2000 Dividend Gro_Close_average,ProShares Russell 2000 Dividend Gro_Close_max,ProShares Russell 2000 Dividend Gro_Close_min,ProShares Russell 2000 Dividend Gro_Close_volatility,ProShares Russell 2000 Dividend Gro_Close_change
2018-01-14,55.59,55.59,55.59,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2018-01-21,56.1,56.1,56.1,0.0,0.0,56.1,56.1,56.1,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.75,55.75,55.75,0.0,0.0
2018-01-28,53.57,53.57,53.57,0.0,0.0,54.03,54.03,54.03,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-02-04,52.27,52.27,52.27,0.0,0.0,52.69,52.69,52.69,0.0,0.0,51.76,51.76,51.76,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2018-02-11,53.53,53.53,53.53,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-02-18,53.99,53.99,53.99,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.74,53.74,53.74,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2018-02-25,52.78,52.78,52.78,0.0,0.0,53.59,53.59,53.59,0.0,0.0,52.66,52.66,52.66,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-03-04,54.64,54.64,54.64,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2018-03-11,54.35,54.35,54.35,0.0,0.0,54.44,54.44,54.44,0.0,0.0,53.78,53.78,53.78,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2018-03-18,52.61,52.61,52.61,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.35,52.35,52.35,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2018-03-25,53.53,53.53,53.53,0.0,0.0,53.65,53.65,53.65,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2018-04-01,53.67,53.67,53.67,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.36,53.36,53.36,0.0,0.0
2018-04-08,53.99,53.99,53.99,0.0,0.0,54.74,54.74,54.74,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-04-15,54.56,54.56,54.56,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-04-22,54.93,54.93,54.93,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-04-29,54.91,54.91,54.91,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2018-05-06,54.96,54.96,54.96,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-05-13,55.63,55.63,55.63,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2018-05-20,56.02,56.02,56.02,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-05-27,56.63,56.63,56.63,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.76,56.76,56.76,0.0,0.0
2018-06-03,56.89,56.89,56.89,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2018-06-10,57.49,57.49,57.49,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2018-06-17,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-06-24,56.9,56.9,56.9,0.0,0.0,57.57,57.57,57.57,0.0,0.0,56.65,56.65,56.65,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2018-07-01,58.95,58.95,58.95,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.64,58.64,58.64,0.0,0.0
2018-07-08,58.07,58.07,58.07,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.77,57.77,57.77,0.0,0.0
2018-07-15,58.65,58.65,58.65,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.24,58.24,58.24,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-07-22,57.99,57.99,57.99,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2018-07-29,58.3,58.3,58.3,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-08-05,57.88,57.88,57.88,0.0,0.0,58.27,58.27,58.27,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-08-12,59.66,59.66,59.66,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-08-19,59.64,59.64,59.64,0.0,0.0,59.81,59.81,59.81,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2018-08-26,59.11,59.11,59.11,0.0,0.0,59.46,59.46,59.46,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-09-02,59.97,59.97,59.97,0.0,0.0,59.97,59.97,59.97,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-09-09,59.97,59.97,59.97,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.93,59.93,59.93,0.0,0.0
2018-09-16,60.1,60.1,60.1,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.34,59.34,59.34,0.0,0.0
2018-09-23,59.23,59.23,59.23,0.0,0.0,59.36,59.36,59.36,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2018-09-30,57.87,57.87,57.87,0.0,0.0,58.74,58.74,58.74,0.0,0.0,57.87,57.87,57.87,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2018-10-07,55.61,55.61,55.61,0.0,0.0,56.62,56.62,56.62,0.0,0.0,55.61,55.61,55.61,0.0,0.0,56.35,56.35,56.35,0.0,0.0
2018-10-14,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.61,56.61,56.61,0.0,0.0
2018-10-21,55.74,55.74,55.74,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2018-10-28,57.04,57.04,57.04,0.0,0.0,57.52,57.52,57.52,0.0,0.0,56.95,56.95,56.95,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2018-11-04,58.57,58.57,58.57,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.02,58.02,58.02,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2018-11-11,58.96,58.96,58.96,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-11-18,58.33,58.33,58.33,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2018-11-25,59.48,59.48,59.48,0.0,0.0,59.48,59.48,59.48,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2018-12-02,56.6,56.6,56.6,0.0,0.0,56.71,56.71,56.71,0.0,0.0,55.82,55.82,55.82,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2018-12-09,56.46,56.46,56.46,0.0,0.0,56.55,56.55,56.55,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.12,55.12,55.12,0.0,0.0
