Date,PowerShares Dynamic Networking_etf_Open_average,PowerShares Dynamic Networking_etf_Open_max,PowerShares Dynamic Networking_etf_Open_min,PowerShares Dynamic Networking_etf_Open_volatility,PowerShares Dynamic Networking_etf_Open_change,PowerShares Dynamic Networking_etf_High_average,PowerShares Dynamic Networking_etf_High_max,PowerShares Dynamic Networking_etf_High_min,PowerShares Dynamic Networking_etf_High_volatility,PowerShares Dynamic Networking_etf_High_change,PowerShares Dynamic Networking_etf_Low_average,PowerShares Dynamic Networking_etf_Low_max,PowerShares Dynamic Networking_etf_Low_min,PowerShares Dynamic Networking_etf_Low_volatility,PowerShares Dynamic Networking_etf_Low_change,PowerShares Dynamic Networking_etf_Close_average,PowerShares Dynamic Networking_etf_Close_max,PowerShares Dynamic Networking_etf_Close_min,PowerShares Dynamic Networking_etf_Close_volatility,PowerShares Dynamic Networking_etf_Close_change
2018-01-14,48.3,48.3,48.3,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-01-21,49.0,49.0,49.0,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-01-28,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2018-02-04,45.28,45.28,45.28,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.17,45.17,45.17,0.0,0.0,46.28,46.28,46.28,0.0,0.0
2018-02-11,49.3,49.3,49.3,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-02-18,49.15,49.15,49.15,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.81,48.81,48.81,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-02-25,48.57,48.57,48.57,0.0,0.0,49.73,49.73,49.73,0.0,0.0,48.57,48.57,48.57,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-03-04,51.34,51.34,51.34,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-03-11,51.53,51.53,51.53,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-03-18,50.07,50.07,50.07,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-03-25,48.95,48.95,48.95,0.0,0.0,49.57,49.57,49.57,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.53,49.53,49.53,0.0,0.0
